Date,AwayTeam,HomeTeam,temperature,windSpeed,windDirection,precipitation
28-07-2020,Seattle Mariners,Los Angeles Angels,79,8,in unknown direction,NoPrecipitation
29-07-2020,Seattle Mariners,Los Angeles Angels,77,8,in unknown direction,NoPrecipitation
30-07-2020,Seattle Mariners,Los Angeles Angels,86,7,out to Centerfield,NoPrecipitation
31-07-2020,Houston Astros,Los Angeles Angels,92,8,from Right to Left,NoPrecipitation
01-08-2020,Houston Astros,Los Angeles Angels,84,11,out to Centerfield,NoPrecipitation
02-08-2020,Houston Astros,Los Angeles Angels,82,10,out to Centerfield,NoPrecipitation
10-08-2020,Oakland Athletics,Los Angeles Angels,79,9,from Right to Left,NoPrecipitation
11-08-2020,Oakland Athletics,Los Angeles Angels,83,7,out to Centerfield,NoPrecipitation
12-08-2020,Oakland Athletics,Los Angeles Angels,86,9,out to Rightfield,NoPrecipitation
14-08-2020,Los Angeles Dodgers,Los Angeles Angels,93,8,out to Centerfield,NoPrecipitation
15-08-2020,Los Angeles Dodgers,Los Angeles Angels,88,8,out to Centerfield,NoPrecipitation
16-08-2020,Los Angeles Dodgers,Los Angeles Angels,93,7,from Right to Left,NoPrecipitation
17-08-2020,San Francisco Giants,Los Angeles Angels,90,5,in unknown direction,NoPrecipitation
18-08-2020,San Francisco Giants,Los Angeles Angels,99,9,out to Centerfield,NoPrecipitation
28-08-2020,Seattle Mariners,Los Angeles Angels,82,10,in unknown direction,NoPrecipitation
29-08-2020,Seattle Mariners,Los Angeles Angels,75,9,in unknown direction,NoPrecipitation
30-08-2020,Seattle Mariners,Los Angeles Angels,81,12,out to Rightfield,NoPrecipitation
31-08-2020,Seattle Mariners,Los Angeles Angels,79,9,from Right to Left,NoPrecipitation
02-09-2020,San Diego Padres,Los Angeles Angels,79,7,from Right to Left,NoPrecipitation
03-09-2020,San Diego Padres,Los Angeles Angels,84,7,from Left to Right,NoPrecipitation
04-09-2020,Houston Astros,Los Angeles Angels,84,6,out to Centerfield,NoPrecipitation
