Date,AwayTeam,HomeTeam,A_SP_Hand,H_SP_Hand
04-04-2019,Texas Rangers,Los Angeles Angels,R,R
05-04-2019,Texas Rangers,Los Angeles Angels,R,R
06-04-2019,Texas Rangers,Los Angeles Angels,L,L
07-04-2019,Texas Rangers,Los Angeles Angels,R,R
08-04-2019,Milwaukee Brewers,Los Angeles Angels,R,R
09-04-2019,Milwaukee Brewers,Los Angeles Angels,R,R
10-04-2019,Milwaukee Brewers,Los Angeles Angels,R,R
18-04-2019,Seattle Mariners,Los Angeles Angels,R,R
19-04-2019,Seattle Mariners,Los Angeles Angels,L,R
20-04-2019,Seattle Mariners,Los Angeles Angels,L,R
21-04-2019,Seattle Mariners,Los Angeles Angels,R,R
22-04-2019,New York Yankees,Los Angeles Angels,L,R
23-04-2019,New York Yankees,Los Angeles Angels,R,R
24-04-2019,New York Yankees,Los Angeles Angels,nan,R
25-04-2019,New York Yankees,Los Angeles Angels,R,R
30-04-2019,Toronto Blue Jays,Los Angeles Angels,R,R
01-05-2019,Toronto Blue Jays,Los Angeles Angels,R,R
02-05-2019,Toronto Blue Jays,Los Angeles Angels,R,L
04-05-2019,Houston Astros,Los Angeles Angels,L,R
05-05-2019,Houston Astros,Los Angeles Angels,R,R
17-05-2019,Kansas City Royals,Los Angeles Angels,R,R
18-05-2019,Kansas City Royals,Los Angeles Angels,R,R
19-05-2019,Kansas City Royals,Los Angeles Angels,L,L
20-05-2019,Minnesota Twins,Los Angeles Angels,R,R
21-05-2019,Minnesota Twins,Los Angeles Angels,R,R
23-05-2019,Minnesota Twins,Los Angeles Angels,L,R
24-05-2019,Texas Rangers,Los Angeles Angels,L,R
25-05-2019,Texas Rangers,Los Angeles Angels,L,L
26-05-2019,Texas Rangers,Los Angeles Angels,R,L
04-06-2019,Oakland Athletics,Los Angeles Angels,R,R
05-06-2019,Oakland Athletics,Los Angeles Angels,R,R
06-06-2019,Oakland Athletics,Los Angeles Angels,R,L
07-06-2019,Seattle Mariners,Los Angeles Angels,L,L
08-06-2019,Seattle Mariners,Los Angeles Angels,L,R
09-06-2019,Seattle Mariners,Los Angeles Angels,R,L
10-06-2019,Los Angeles Dodgers,Los Angeles Angels,L,R
11-06-2019,Los Angeles Dodgers,Los Angeles Angels,R,R
25-06-2019,Cincinnati Reds,Los Angeles Angels,R,L
26-06-2019,Cincinnati Reds,Los Angeles Angels,R,R
27-06-2019,Oakland Athletics,Los Angeles Angels,R,R
28-06-2019,Oakland Athletics,Los Angeles Angels,R,R
29-06-2019,Oakland Athletics,Los Angeles Angels,L,L
30-06-2019,Oakland Athletics,Los Angeles Angels,R,L
12-07-2019,Seattle Mariners,Los Angeles Angels,R,R
13-07-2019,Seattle Mariners,Los Angeles Angels,L,R
14-07-2019,Seattle Mariners,Los Angeles Angels,L,L
15-07-2019,Houston Astros,Los Angeles Angels,R,R
16-07-2019,Houston Astros,Los Angeles Angels,R,L
17-07-2019,Houston Astros,Los Angeles Angels,R,R
18-07-2019,Houston Astros,Los Angeles Angels,L,R
25-07-2019,Baltimore Orioles,Los Angeles Angels,R,L
26-07-2019,Baltimore Orioles,Los Angeles Angels,R,R
27-07-2019,Baltimore Orioles,Los Angeles Angels,R,L
28-07-2019,Baltimore Orioles,Los Angeles Angels,R,R
29-07-2019,Detroit Tigers,Los Angeles Angels,R,R
30-07-2019,Detroit Tigers,Los Angeles Angels,R,R
31-07-2019,Detroit Tigers,Los Angeles Angels,L,L
12-08-2019,Pittsburgh Pirates,Los Angeles Angels,R,L
13-08-2019,Pittsburgh Pirates,Los Angeles Angels,R,R
14-08-2019,Pittsburgh Pirates,Los Angeles Angels,R,L
15-08-2019,Chicago White Sox,Los Angeles Angels,R,L
16-08-2019,Chicago White Sox,Los Angeles Angels,R,L
17-08-2019,Chicago White Sox,Los Angeles Angels,L,R
18-08-2019,Chicago White Sox,Los Angeles Angels,R,R
27-08-2019,Texas Rangers,Los Angeles Angels,L,L
28-08-2019,Texas Rangers,Los Angeles Angels,R,L
30-08-2019,Boston Red Sox,Los Angeles Angels,R,L
31-08-2019,Boston Red Sox,Los Angeles Angels,L,L
01-09-2019,Boston Red Sox,Los Angeles Angels,L,L
09-09-2019,Cleveland Indians,Los Angeles Angels,R,L
10-09-2019,Cleveland Indians,Los Angeles Angels,R,L
11-09-2019,Cleveland Indians,Los Angeles Angels,R,L
13-09-2019,Tampa Bay Rays,Los Angeles Angels,R,L
14-09-2019,Tampa Bay Rays,Los Angeles Angels,R,R
15-09-2019,Tampa Bay Rays,Los Angeles Angels,L,L
24-09-2019,Oakland Athletics,Los Angeles Angels,R,L
25-09-2019,Oakland Athletics,Los Angeles Angels,R,L
26-09-2019,Houston Astros,Los Angeles Angels,L,R
27-09-2019,Houston Astros,Los Angeles Angels,R,L
28-09-2019,Houston Astros,Los Angeles Angels,R,L
29-09-2019,Houston Astros,Los Angeles Angels,R,L
05-04-2019,Boston Red Sox,Arizona Diamondbacks,R,R
06-04-2019,Boston Red Sox,Arizona Diamondbacks,L,R
07-04-2019,Boston Red Sox,Arizona Diamondbacks,R,R
09-04-2019,Texas Rangers,Arizona Diamondbacks,L,R
10-04-2019,Texas Rangers,Arizona Diamondbacks,R,L
11-04-2019,San Diego Padres,Arizona Diamondbacks,R,R
12-04-2019,San Diego Padres,Arizona Diamondbacks,R,R
13-04-2019,San Diego Padres,Arizona Diamondbacks,L,R
14-04-2019,San Diego Padres,Arizona Diamondbacks,L,R
26-04-2019,Chicago Cubs,Arizona Diamondbacks,R,L
27-04-2019,Chicago Cubs,Arizona Diamondbacks,R,R
28-04-2019,Chicago Cubs,Arizona Diamondbacks,L,R
30-04-2019,New York Yankees,Arizona Diamondbacks,nan,R
01-05-2019,New York Yankees,Arizona Diamondbacks,R,R
09-05-2019,Atlanta Braves,Arizona Diamondbacks,R,R
10-05-2019,Atlanta Braves,Arizona Diamondbacks,R,R
11-05-2019,Atlanta Braves,Arizona Diamondbacks,R,R
12-05-2019,Atlanta Braves,Arizona Diamondbacks,L,R
13-05-2019,Pittsburgh Pirates,Arizona Diamondbacks,R,L
14-05-2019,Pittsburgh Pirates,Arizona Diamondbacks,R,R
15-05-2019,Pittsburgh Pirates,Arizona Diamondbacks,R,R
17-05-2019,San Francisco Giants,Arizona Diamondbacks,R,R
18-05-2019,San Francisco Giants,Arizona Diamondbacks,L,R
19-05-2019,San Francisco Giants,Arizona Diamondbacks,L,L
31-05-2019,New York Mets,Arizona Diamondbacks,R,R
01-06-2019,New York Mets,Arizona Diamondbacks,R,R
02-06-2019,New York Mets,Arizona Diamondbacks,L,R
03-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,R,L
04-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,L,R
05-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,R,R
18-06-2019,Colorado Rockies,Arizona Diamondbacks,R,R
19-06-2019,Colorado Rockies,Arizona Diamondbacks,R,R
20-06-2019,Colorado Rockies,Arizona Diamondbacks,R,L
21-06-2019,San Francisco Giants,Arizona Diamondbacks,R,R
22-06-2019,San Francisco Giants,Arizona Diamondbacks,R,R
23-06-2019,San Francisco Giants,Arizona Diamondbacks,R,R
24-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,L,R
25-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,R,L
26-06-2019,Los Angeles Dodgers,Arizona Diamondbacks,R,R
05-07-2019,Colorado Rockies,Arizona Diamondbacks,R,R
06-07-2019,Colorado Rockies,Arizona Diamondbacks,R,L
07-07-2019,Colorado Rockies,Arizona Diamondbacks,R,L
18-07-2019,Milwaukee Brewers,Arizona Diamondbacks,R,R
19-07-2019,Milwaukee Brewers,Arizona Diamondbacks,R,R
20-07-2019,Milwaukee Brewers,Arizona Diamondbacks,L,R
21-07-2019,Milwaukee Brewers,Arizona Diamondbacks,R,L
22-07-2019,Baltimore Orioles,Arizona Diamondbacks,R,L
23-07-2019,Baltimore Orioles,Arizona Diamondbacks,R,R
24-07-2019,Baltimore Orioles,Arizona Diamondbacks,L,R
