Date,AwayTeam,HomeTeam,A_SeaWinPct,A_last3WinPct,A_last5WinPct,A_last10WinPct,H_SeaWinPct,H_last3WinPct,H_last5WinPct,H_last10WinPct
04-04-2016,Chicago Cubs,Los Angeles Angels,0,0.0,0.2,0.4,0,0.0,0.4,0.6
05-04-2016,Chicago Cubs,Los Angeles Angels,100.0,nan,nan,nan,0.0,nan,nan,nan
07-04-2016,Texas Rangers,Los Angeles Angels,33.33,0.0,nan,nan,0.0,0.0,nan,nan
08-04-2016,Texas Rangers,Los Angeles Angels,25.0,0.0,0.2,nan,33.33,0.0,nan,nan
09-04-2016,Texas Rangers,Los Angeles Angels,40.0,0.0,0.0,nan,25.0,0.33,0.2,nan
10-04-2016,Texas Rangers,Los Angeles Angels,50.0,0.33,0.2,nan,20.0,0.0,0.2,nan
22-04-2016,Seattle Mariners,Los Angeles Angels,46.67,0.33,0.2,0.4,43.75,0.0,0.2,0.3
23-04-2016,Seattle Mariners,Los Angeles Angels,50.0,0.33,0.4,0.5,41.18,0.33,0.2,0.3
24-04-2016,Seattle Mariners,Los Angeles Angels,47.06,0.33,0.6,0.6,44.44,0.0,0.2,0.2
25-04-2016,Kansas City Royals,Los Angeles Angels,66.67,0.0,0.4,0.4,42.11,0.33,0.4,0.3
26-04-2016,Kansas City Royals,Los Angeles Angels,63.16,0.33,0.4,0.4,45.0,0.0,0.2,0.3
27-04-2016,Kansas City Royals,Los Angeles Angels,60.0,0.0,0.2,0.4,47.62,0.33,0.4,0.4
06-05-2016,Tampa Bay Rays,Los Angeles Angels,46.15,0.0,0.2,0.4,46.43,0.0,0.2,0.4
07-05-2016,Tampa Bay Rays,Los Angeles Angels,48.15,0.33,0.2,0.4,44.83,0.33,0.2,0.4
08-05-2016,Tampa Bay Rays,Los Angeles Angels,50.0,0.33,0.4,0.4,43.33,0.0,0.2,0.3
10-05-2016,St. Louis Cardinals,Los Angeles Angels,50.0,0.33,0.4,0.4,41.94,0.0,0.2,0.2
11-05-2016,St. Louis Cardinals,Los Angeles Angels,51.52,0.0,0.2,0.4,40.62,0.0,0.0,0.2
12-05-2016,St. Louis Cardinals,Los Angeles Angels,52.94,0.33,0.4,0.5,39.39,0.0,0.0,0.2
18-05-2016,Los Angeles Dodgers,Los Angeles Angels,52.5,0.0,0.2,0.4,43.59,0.33,0.6,0.4
19-05-2016,Los Angeles Dodgers,Los Angeles Angels,51.22,0.33,0.2,0.5,45.0,0.0,0.4,0.4
20-05-2016,Baltimore Orioles,Los Angeles Angels,61.54,0.33,0.2,0.6,46.34,0.33,0.4,0.5
21-05-2016,Baltimore Orioles,Los Angeles Angels,62.5,0.0,0.2,0.5,45.24,0.33,0.4,0.6
22-05-2016,Baltimore Orioles,Los Angeles Angels,63.41,0.33,0.4,0.5,44.19,0.0,0.4,0.6
27-05-2016,Houston Astros,Los Angeles Angels,41.67,0.33,0.4,0.4,44.68,0.0,0.4,0.4
28-05-2016,Houston Astros,Los Angeles Angels,40.82,0.33,0.6,0.4,45.83,0.0,0.2,0.4
29-05-2016,Houston Astros,Los Angeles Angels,42.0,0.0,0.4,0.3,44.9,0.33,0.2,0.4
30-05-2016,Detroit Tigers,Los Angeles Angels,48.98,0.0,0.2,0.5,44.0,0.0,0.2,0.3
31-05-2016,Detroit Tigers,Los Angeles Angels,48.0,0.0,0.2,0.5,45.1,0.0,0.2,0.3
01-06-2016,Detroit Tigers,Los Angeles Angels,47.06,0.0,0.0,0.4,46.15,0.33,0.2,0.4
10-06-2016,Cleveland Indians,Los Angeles Angels,55.93,0.0,0.2,0.6,43.33,0.0,0.0,0.3
11-06-2016,Cleveland Indians,Los Angeles Angels,56.67,0.33,0.2,0.6,42.62,0.0,0.0,0.2
12-06-2016,Cleveland Indians,Los Angeles Angels,55.74,0.33,0.4,0.6,43.55,0.0,0.0,0.2
13-06-2016,Minnesota Twins,Los Angeles Angels,30.65,0.0,0.0,0.2,42.86,0.33,0.2,0.2
14-06-2016,Minnesota Twins,Los Angeles Angels,31.75,0.33,0.2,0.3,42.19,0.0,0.2,0.2
15-06-2016,Minnesota Twins,Los Angeles Angels,31.25,0.33,0.4,0.4,43.08,0.0,0.2,0.1
