Date,AwayTeam,HomeTeam,A_SP_recFIP,H_SP_recFIP
28-07-2020,Seattle Mariners,Los Angeles Angels,nan,nan
29-07-2020,Seattle Mariners,Los Angeles Angels,nan,nan
30-07-2020,Seattle Mariners,Los Angeles Angels,nan,nan
31-07-2020,Houston Astros,Los Angeles Angels,nan,nan
01-08-2020,Houston Astros,Los Angeles Angels,nan,nan
02-08-2020,Houston Astros,Los Angeles Angels,nan,nan
10-08-2020,Oakland Athletics,Los Angeles Angels,nan,nan
11-08-2020,Oakland Athletics,Los Angeles Angels,nan,nan
12-08-2020,Oakland Athletics,Los Angeles Angels,nan,nan
14-08-2020,Los Angeles Dodgers,Los Angeles Angels,nan,nan
15-08-2020,Los Angeles Dodgers,Los Angeles Angels,nan,-0.6174918603345686
16-08-2020,Los Angeles Dodgers,Los Angeles Angels,0.967014075427098,nan
17-08-2020,San Francisco Giants,Los Angeles Angels,1.9718680163007756,2.40978018102739
18-08-2020,San Francisco Giants,Los Angeles Angels,nan,-0.5949075910208614
28-08-2020,Seattle Mariners,Los Angeles Angels,0.3330742755634507,0.1135460429204042
29-08-2020,Seattle Mariners,Los Angeles Angels,-1.084189686056378,0.4496852203457581
30-08-2020,Seattle Mariners,Los Angeles Angels,1.5103985128383874,3.5684548590460348
31-08-2020,Seattle Mariners,Los Angeles Angels,-0.4947066389630949,nan
02-09-2020,San Diego Padres,Los Angeles Angels,0.7286353700426773,2.7415620811502373
03-09-2020,San Diego Padres,Los Angeles Angels,2.2088987062164724,-0.18506523549551213
04-09-2020,Houston Astros,Los Angeles Angels,-0.24982512241431004,1.4119691539046382
06-09-2020,Houston Astros,Los Angeles Angels,-0.4397537379067723,nan
15-09-2020,Arizona Diamondbacks,Los Angeles Angels,7.527789503306599,1.122712473335579
16-09-2020,Arizona Diamondbacks,Los Angeles Angels,nan,-1.216650734335622
17-09-2020,Arizona Diamondbacks,Los Angeles Angels,2.3140843588934477,0.2855239364233369
18-09-2020,Texas Rangers,Los Angeles Angels,0.9655616350177019,1.387809481514378
19-09-2020,Texas Rangers,Los Angeles Angels,1.1200137847850435,-0.04501665616278023
20-09-2020,Texas Rangers,Los Angeles Angels,1.8942655415877392,3.6632476355401633
21-09-2020,Texas Rangers,Los Angeles Angels,1.0519856228631546,-1.420593710198883
30-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
31-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
01-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
02-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,nan,nan
04-08-2020,Houston Astros,Arizona Diamondbacks,nan,nan
05-08-2020,Houston Astros,Arizona Diamondbacks,nan,nan
