Date,AwayTeam,HomeTeam,A_SeaWinPct,A_last3WinPct,A_last5WinPct,A_last10WinPct,H_SeaWinPct,H_last3WinPct,H_last5WinPct,H_last10WinPct
28-07-2020,Seattle Mariners,Los Angeles Angels,25.0,0.33,0.2,nan,25.0,0.33,0.2,nan
29-07-2020,Seattle Mariners,Los Angeles Angels,20.0,0.0,0.2,nan,40.0,0.0,0.2,nan
30-07-2020,Seattle Mariners,Los Angeles Angels,33.33,0.0,0.2,nan,33.33,0.0,0.2,nan
31-07-2020,Houston Astros,Los Angeles Angels,50.0,0.0,0.2,nan,28.57,0.0,0.2,nan
01-08-2020,Houston Astros,Los Angeles Angels,57.14,0.0,0.2,nan,25.0,0.0,0.2,nan
02-08-2020,Houston Astros,Los Angeles Angels,50.0,0.33,0.2,nan,33.33,0.33,0.2,nan
10-08-2020,Oakland Athletics,Los Angeles Angels,75.0,0.33,0.6,0.8,31.25,0.33,0.6,0.8
11-08-2020,Oakland Athletics,Los Angeles Angels,70.59,0.33,0.6,0.8,35.29,0.33,0.6,0.8
12-08-2020,Oakland Athletics,Los Angeles Angels,66.67,0.0,0.4,0.7,38.89,0.0,0.4,0.7
14-08-2020,Los Angeles Dodgers,Los Angeles Angels,65.0,0.33,0.2,0.5,36.84,0.33,0.2,0.5
15-08-2020,Los Angeles Dodgers,Los Angeles Angels,66.67,0.33,0.4,0.5,35.0,0.33,0.4,0.5
16-08-2020,Los Angeles Dodgers,Los Angeles Angels,68.18,0.33,0.6,0.5,33.33,0.33,0.6,0.5
17-08-2020,San Francisco Giants,Los Angeles Angels,34.78,0.0,0.0,0.2,31.82,0.0,0.0,0.2
18-08-2020,San Francisco Giants,Los Angeles Angels,33.33,0.0,0.0,0.2,34.78,0.0,0.0,0.2
28-08-2020,Seattle Mariners,Los Angeles Angels,39.39,0.0,0.4,0.5,31.25,0.0,0.4,0.5
29-08-2020,Seattle Mariners,Los Angeles Angels,38.24,0.33,0.4,0.6,33.33,0.33,0.4,0.6
30-08-2020,Seattle Mariners,Los Angeles Angels,37.14,0.0,0.2,0.5,35.29,0.0,0.2,0.5
31-08-2020,Seattle Mariners,Los Angeles Angels,38.89,0.0,0.2,0.5,34.29,0.0,0.2,0.5
02-09-2020,San Diego Padres,Los Angeles Angels,59.46,0.33,0.4,0.5,33.33,0.33,0.4,0.5
03-09-2020,San Diego Padres,Los Angeles Angels,60.53,0.33,0.4,0.5,32.43,0.33,0.4,0.5
04-09-2020,Houston Astros,Los Angeles Angels,58.33,0.33,0.4,0.5,34.21,0.33,0.4,0.5
06-09-2020,Houston Astros,Los Angeles Angels,53.85,0.0,0.2,0.4,39.02,0.0,0.2,0.4
15-09-2020,Arizona Diamondbacks,Los Angeles Angels,35.42,0.0,0.4,0.2,41.67,0.0,0.4,0.2
16-09-2020,Arizona Diamondbacks,Los Angeles Angels,36.73,0.0,0.2,0.2,40.82,0.0,0.2,0.2
17-09-2020,Arizona Diamondbacks,Los Angeles Angels,38.0,0.33,0.2,0.3,40.0,0.33,0.2,0.3
18-09-2020,Texas Rangers,Los Angeles Angels,36.0,0.33,0.4,0.4,41.18,0.33,0.4,0.4
19-09-2020,Texas Rangers,Los Angeles Angels,35.29,0.0,0.2,0.3,42.31,0.0,0.2,0.3
20-09-2020,Texas Rangers,Los Angeles Angels,34.62,0.0,0.2,0.3,43.4,0.0,0.2,0.3
21-09-2020,Texas Rangers,Los Angeles Angels,35.85,0.0,0.0,0.3,42.59,0.0,0.0,0.3
30-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,66.67,0.33,0.2,nan,33.33,0.33,0.2,nan
31-07-2020,Los Angeles Dodgers,Arizona Diamondbacks,71.43,0.33,0.4,nan,28.57,0.33,0.4,nan
01-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,62.5,0.33,0.6,nan,37.5,0.33,0.6,nan
02-08-2020,Los Angeles Dodgers,Arizona Diamondbacks,66.67,0.0,0.4,0.5,33.33,0.0,0.4,0.5
04-08-2020,Houston Astros,Arizona Diamondbacks,55.56,0.0,0.2,0.4,30.0,0.0,0.2,0.4
05-08-2020,Houston Astros,Arizona Diamondbacks,60.0,0.33,0.4,0.4,27.27,0.33,0.4,0.4
06-08-2020,Houston Astros,Arizona Diamondbacks,54.55,0.33,0.4,0.4,33.33,0.33,0.4,0.4
14-08-2020,San Diego Padres,Arizona Diamondbacks,55.0,0.0,0.4,0.4,42.11,0.0,0.4,0.4
15-08-2020,San Diego Padres,Arizona Diamondbacks,52.38,0.0,0.2,0.4,45.0,0.0,0.2,0.4
16-08-2020,San Diego Padres,Arizona Diamondbacks,50.0,0.0,0.0,0.4,47.62,0.0,0.0,0.4
17-08-2020,Oakland Athletics,Arizona Diamondbacks,72.73,0.33,0.6,0.6,50.0,0.33,0.6,0.6
18-08-2020,Oakland Athletics,Arizona Diamondbacks,69.57,0.33,0.6,0.6,52.17,0.33,0.6,0.6
24-08-2020,Colorado Rockies,Arizona Diamondbacks,46.43,0.0,0.0,0.1,44.83,0.0,0.0,0.1
25-08-2020,Colorado Rockies,Arizona Diamondbacks,48.28,0.0,0.0,0.1,43.33,0.0,0.0,0.1
26-08-2020,Colorado Rockies,Arizona Diamondbacks,50.0,0.33,0.2,0.1,41.94,0.33,0.2,0.1
28-08-2020,San Francisco Giants,Arizona Diamondbacks,45.45,0.0,0.4,0.7,40.62,0.0,0.4,0.7
29-08-2020,San Francisco Giants,Arizona Diamondbacks,44.12,0.0,0.2,0.6,42.42,0.0,0.2,0.6
30-08-2020,San Francisco Giants,Arizona Diamondbacks,45.71,0.0,0.0,0.5,41.18,0.0,0.0,0.5
08-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,71.43,0.0,0.4,0.6,35.71,0.0,0.4,0.6
09-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,72.09,0.0,0.2,0.6,34.88,0.0,0.2,0.6
10-09-2020,Los Angeles Dodgers,Arizona Diamondbacks,72.73,0.33,0.2,0.6,34.09,0.33,0.2,0.6
11-09-2020,Seattle Mariners,Arizona Diamondbacks,44.19,0.0,0.4,0.6,35.56,0.0,0.4,0.6
12-09-2020,Seattle Mariners,Arizona Diamondbacks,43.18,0.0,0.2,0.6,36.96,0.0,0.2,0.6
13-09-2020,Seattle Mariners,Arizona Diamondbacks,44.44,0.0,0.0,0.5,36.17,0.0,0.0,0.5
22-09-2020,Texas Rangers,Arizona Diamondbacks,35.19,0.33,0.2,0.3,37.04,0.33,0.2,0.3
23-09-2020,Texas Rangers,Arizona Diamondbacks,34.55,0.0,0.2,0.3,38.18,0.0,0.2,0.3
26-09-2020,Colorado Rockies,Arizona Diamondbacks,43.1,0.0,0.2,0.3,41.38,0.0,0.2,0.3
27-09-2020,Colorado Rockies,Arizona Diamondbacks,44.07,0.0,0.2,0.3,40.68,0.0,0.2,0.3
29-07-2020,Tampa Bay Rays,Atlanta Braves,80.0,0.33,0.6,nan,40.0,0.33,0.6,nan
30-07-2020,Tampa Bay Rays,Atlanta Braves,66.67,0.33,0.6,nan,50.0,0.33,0.6,nan
31-07-2020,New York Mets,Atlanta Braves,42.86,0.0,0.4,nan,57.14,0.0,0.4,nan
01-08-2020,New York Mets,Atlanta Braves,37.5,0.0,0.2,nan,62.5,0.0,0.2,nan
02-08-2020,New York Mets,Atlanta Braves,33.33,0.0,0.0,0.3,66.67,0.0,0.0,0.3
03-08-2020,New York Mets,Atlanta Braves,30.0,0.0,0.0,0.2,70.0,0.0,0.0,0.2
04-08-2020,Toronto Blue Jays,Atlanta Braves,42.86,0.0,0.4,nan,63.64,0.0,0.4,nan
05-08-2020,Toronto Blue Jays,Atlanta Braves,37.5,0.0,0.2,nan,66.67,0.0,0.2,nan
06-08-2020,Toronto Blue Jays,Atlanta Braves,44.44,0.0,0.0,0.3,61.54,0.0,0.0,0.3
17-08-2020,Washington Nationals,Atlanta Braves,42.11,0.0,0.2,0.3,56.52,0.0,0.2,0.3
18-08-2020,Washington Nationals,Atlanta Braves,40.0,0.33,0.4,0.4,58.33,0.33,0.4,0.4
21-08-2020,Philadelphia Phillies,Atlanta Braves,42.86,0.0,0.2,0.4,56.0,0.0,0.2,0.4
22-08-2020,Philadelphia Phillies,Atlanta Braves,40.91,0.0,0.0,0.4,57.69,0.0,0.0,0.4
23-08-2020,Philadelphia Phillies,Atlanta Braves,39.13,0.0,0.0,0.4,59.26,0.0,0.0,0.4
05-09-2020,Washington Nationals,Atlanta Braves,35.14,0.0,0.0,0.1,60.53,0.0,0.0,0.1
06-09-2020,Washington Nationals,Atlanta Braves,36.84,0.33,0.2,0.1,58.97,0.33,0.2,0.1
07-09-2020,Miami Marlins,Atlanta Braves,48.57,0.33,0.2,0.3,60.0,0.33,0.2,0.3
08-09-2020,Miami Marlins,Atlanta Braves,50.0,0.0,0.2,0.3,58.54,0.0,0.2,0.3
09-09-2020,Miami Marlins,Atlanta Braves,51.35,0.33,0.4,0.4,57.14,0.33,0.4,0.4
21-09-2020,Miami Marlins,Atlanta Braves,52.83,0.33,0.6,0.5,58.49,0.33,0.6,0.5
22-09-2020,Miami Marlins,Atlanta Braves,51.85,0.0,0.4,0.4,59.26,0.0,0.4,0.4
23-09-2020,Miami Marlins,Atlanta Braves,50.91,0.0,0.2,0.4,60.0,0.0,0.2,0.4
24-09-2020,Miami Marlins,Atlanta Braves,50.0,0.0,0.0,0.3,60.71,0.0,0.0,0.3
25-09-2020,Boston Red Sox,Atlanta Braves,38.6,0.33,0.6,0.5,59.65,0.33,0.6,0.5
26-09-2020,Boston Red Sox,Atlanta Braves,37.93,0.0,0.4,0.4,60.34,0.0,0.4,0.4
27-09-2020,Boston Red Sox,Atlanta Braves,38.98,0.0,0.2,0.4,59.32,0.0,0.2,0.4
29-07-2020,New York Yankees,Baltimore Orioles,66.67,0.0,nan,nan,66.67,0.0,nan,nan
30-07-2020,New York Yankees,Baltimore Orioles,75.0,0.33,0.4,nan,50.0,0.33,0.4,nan
31-07-2020,Tampa Bay Rays,Baltimore Orioles,57.14,0.0,0.4,nan,40.0,0.0,0.4,nan
01-08-2020,Tampa Bay Rays,Baltimore Orioles,50.0,0.0,0.2,nan,50.0,0.0,0.2,nan
02-08-2020,Tampa Bay Rays,Baltimore Orioles,44.44,0.0,0.0,0.4,57.14,0.0,0.0,0.4
04-08-2020,Miami Marlins,Baltimore Orioles,66.67,0.0,nan,nan,62.5,0.0,nan,nan
06-08-2020,Miami Marlins,Baltimore Orioles,83.33,0.33,0.6,nan,45.45,0.33,0.6,nan
14-08-2020,Washington Nationals,Baltimore Orioles,37.5,0.0,0.4,0.3,61.11,0.0,0.4,0.3
15-08-2020,Washington Nationals,Baltimore Orioles,41.18,0.0,0.2,0.2,57.89,0.0,0.2,0.2
16-08-2020,Washington Nationals,Baltimore Orioles,38.89,0.33,0.2,0.3,60.0,0.33,0.2,0.3
17-08-2020,Toronto Blue Jays,Baltimore Orioles,38.89,0.0,0.2,0.3,57.14,0.0,0.2,0.3
18-08-2020,Toronto Blue Jays,Baltimore Orioles,42.11,0.0,0.2,0.3,54.55,0.0,0.2,0.3
19-08-2020,Toronto Blue Jays,Baltimore Orioles,45.0,0.33,0.2,0.4,52.17,0.33,0.2,0.4
20-08-2020,Boston Red Sox,Baltimore Orioles,28.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
21-08-2020,Boston Red Sox,Baltimore Orioles,30.77,0.33,0.2,0.1,48.0,0.33,0.2,0.1
22-08-2020,Boston Red Sox,Baltimore Orioles,33.33,0.33,0.4,0.2,46.15,0.33,0.4,0.2
23-08-2020,Boston Red Sox,Baltimore Orioles,32.14,0.33,0.6,0.3,48.15,0.33,0.6,0.3
01-09-2020,New York Mets,Baltimore Orioles,42.86,0.0,0.0,0.3,44.12,0.0,0.0,0.3
02-09-2020,New York Mets,Baltimore Orioles,41.67,0.0,0.0,0.3,45.71,0.0,0.0,0.3
05-09-2020,New York Yankees,Baltimore Orioles,55.26,0.33,0.2,0.5,44.74,0.33,0.2,0.5
06-09-2020,New York Yankees,Baltimore Orioles,53.85,0.0,0.2,0.4,46.15,0.0,0.2,0.4
14-09-2020,Atlanta Braves,Baltimore Orioles,59.57,0.33,0.4,0.4,43.48,0.33,0.4,0.4
15-09-2020,Atlanta Braves,Baltimore Orioles,58.33,0.33,0.4,0.5,44.68,0.33,0.4,0.5
16-09-2020,Atlanta Braves,Baltimore Orioles,59.18,0.0,0.4,0.4,43.75,0.0,0.4,0.4
18-09-2020,Tampa Bay Rays,Baltimore Orioles,64.71,0.33,0.4,0.4,43.14,0.33,0.4,0.4
19-09-2020,Tampa Bay Rays,Baltimore Orioles,65.38,0.33,0.4,0.5,42.31,0.33,0.4,0.5
20-09-2020,Tampa Bay Rays,Baltimore Orioles,66.04,0.33,0.6,0.6,41.51,0.33,0.6,0.6
24-07-2020,Baltimore Orioles,Boston Red Sox,0,0.0,0.2,0.2,0,0.0,0.2,0.2
25-07-2020,Baltimore Orioles,Boston Red Sox,0.0,nan,nan,nan,100.0,nan,nan,nan
26-07-2020,Baltimore Orioles,Boston Red Sox,50.0,0.0,nan,nan,50.0,0.0,nan,nan
27-07-2020,New York Mets,Boston Red Sox,33.33,0.0,nan,nan,33.33,0.0,nan,nan
28-07-2020,New York Mets,Boston Red Sox,50.0,0.0,0.2,nan,25.0,0.0,0.2,nan
07-08-2020,Toronto Blue Jays,Boston Red Sox,40.0,0.33,0.2,0.3,33.33,0.33,0.2,0.3
08-08-2020,Toronto Blue Jays,Boston Red Sox,36.36,0.0,0.2,0.3,38.46,0.0,0.2,0.3
09-08-2020,Toronto Blue Jays,Boston Red Sox,41.67,0.0,0.2,0.3,35.71,0.0,0.2,0.3
10-08-2020,Tampa Bay Rays,Boston Red Sox,50.0,0.33,0.4,0.3,40.0,0.33,0.4,0.3
11-08-2020,Tampa Bay Rays,Boston Red Sox,52.94,0.33,0.4,0.4,37.5,0.33,0.4,0.4
12-08-2020,Tampa Bay Rays,Boston Red Sox,55.56,0.33,0.6,0.5,35.29,0.33,0.6,0.5
13-08-2020,Tampa Bay Rays,Boston Red Sox,57.89,0.33,0.6,0.6,33.33,0.33,0.6,0.6
18-08-2020,Philadelphia Phillies,Boston Red Sox,47.06,0.33,0.4,0.3,26.09,0.33,0.4,0.3
19-08-2020,Philadelphia Phillies,Boston Red Sox,50.0,0.33,0.6,0.4,25.0,0.33,0.6,0.4
28-08-2020,Washington Nationals,Boston Red Sox,39.29,0.0,0.2,0.3,32.26,0.0,0.2,0.3
29-08-2020,Washington Nationals,Boston Red Sox,41.38,0.0,0.0,0.3,31.25,0.0,0.0,0.3
30-08-2020,Washington Nationals,Boston Red Sox,40.0,0.33,0.2,0.3,33.33,0.33,0.2,0.3
31-08-2020,Atlanta Braves,Boston Red Sox,57.58,0.0,0.2,0.4,35.29,0.0,0.2,0.4
01-09-2020,Atlanta Braves,Boston Red Sox,58.82,0.33,0.2,0.5,34.29,0.33,0.2,0.5
02-09-2020,Atlanta Braves,Boston Red Sox,60.0,0.33,0.4,0.5,33.33,0.33,0.4,0.5
03-09-2020,Toronto Blue Jays,Boston Red Sox,54.29,0.0,0.2,0.5,32.43,0.0,0.2,0.5
05-09-2020,Toronto Blue Jays,Boston Red Sox,55.26,0.33,0.6,0.6,32.5,0.33,0.6,0.6
06-09-2020,Toronto Blue Jays,Boston Red Sox,53.85,0.0,0.4,0.5,34.15,0.0,0.4,0.5
18-09-2020,New York Yankees,Boston Red Sox,58.0,0.33,0.6,0.7,37.25,0.33,0.6,0.7
19-09-2020,New York Yankees,Boston Red Sox,58.82,0.33,0.6,0.8,36.54,0.33,0.6,0.8
20-09-2020,New York Yankees,Boston Red Sox,59.62,0.33,0.6,0.8,35.85,0.33,0.6,0.8
22-09-2020,Baltimore Orioles,Boston Red Sox,42.59,0.0,0.0,0.2,37.04,0.0,0.0,0.2
23-09-2020,Baltimore Orioles,Boston Red Sox,41.82,0.33,0.2,0.3,38.18,0.33,0.2,0.3
24-09-2020,Baltimore Orioles,Boston Red Sox,41.07,0.0,0.2,0.2,39.29,0.0,0.2,0.2
24-07-2020,Minnesota Twins,Chicago White Sox,0,0.33,0.4,0.5,0,0.33,0.4,0.5
