Date,AwayTeam,HomeTeam,A_SP_recFIP,H_SP_recFIP
05-04-2010,Minnesota Twins,Los Angeles Angels of Anaheim,nan,nan
06-04-2010,Minnesota Twins,Los Angeles Angels of Anaheim,nan,nan
07-04-2010,Minnesota Twins,Los Angeles Angels of Anaheim,nan,nan
08-04-2010,Minnesota Twins,Los Angeles Angels of Anaheim,nan,nan
09-04-2010,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
10-04-2010,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
11-04-2010,Oakland Athletics,Los Angeles Angels of Anaheim,nan,nan
19-04-2010,Detroit Tigers,Los Angeles Angels of Anaheim,nan,nan
20-04-2010,Detroit Tigers,Los Angeles Angels of Anaheim,nan,nan
21-04-2010,Detroit Tigers,Los Angeles Angels of Anaheim,nan,nan
22-04-2010,Detroit Tigers,Los Angeles Angels of Anaheim,nan,nan
24-04-2010,New York Yankees,Los Angeles Angels of Anaheim,nan,nan
25-04-2010,New York Yankees,Los Angeles Angels of Anaheim,nan,nan
26-04-2010,Cleveland Indians,Los Angeles Angels of Anaheim,nan,0.8184716119583011
27-04-2010,Cleveland Indians,Los Angeles Angels of Anaheim,nan,0.8494054162086542
28-04-2010,Cleveland Indians,Los Angeles Angels of Anaheim,0.9517464547444563,1.8322645123677859
10-05-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,0.45016656162780233,2.739873213710111
11-05-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,0.6553616777258949,2.892605448616809
12-05-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,-0.5381717536711003,-1.1674605398337543
14-05-2010,Oakland Athletics,Los Angeles Angels of Anaheim,-0.47385198587059535,3.719329410458533
15-05-2010,Oakland Athletics,Los Angeles Angels of Anaheim,-0.6511829824180595,0.4199210548416899
16-05-2010,Oakland Athletics,Los Angeles Angels of Anaheim,nan,2.1563058798779853
24-05-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,1.5281532855295643,0.11621600681800577
25-05-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,-0.8601622020152371,1.5208134179195276
26-05-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,0.1998135073930998,0.6939946331081704
28-05-2010,Seattle Mariners,Los Angeles Angels of Anaheim,-1.3992164387942754,0.6752498424417035
29-05-2010,Seattle Mariners,Los Angeles Angels of Anaheim,-0.9907814250021539,0.8565718092700106
30-05-2010,Seattle Mariners,Los Angeles Angels of Anaheim,0.14271442842871418,-0.1892935564473386
14-06-2010,Milwaukee Brewers,Los Angeles Angels of Anaheim,4.794589684061776,1.0170690722561244
15-06-2010,Milwaukee Brewers,Los Angeles Angels of Anaheim,1.4730370180607149,-0.18855472800980486
16-06-2010,Milwaukee Brewers,Los Angeles Angels of Anaheim,1.5444716998273829,0.3814755474174106
22-06-2010,Los Angeles Dodgers,Los Angeles Angels of Anaheim,-0.53248136315229,0.7806807536171542
23-06-2010,Los Angeles Dodgers,Los Angeles Angels of Anaheim,4.885089374930611,0.2670328831921874
24-06-2010,Los Angeles Dodgers,Los Angeles Angels of Anaheim,0.6511829824180595,1.6008537886872996
25-06-2010,Colorado Rockies,Los Angeles Angels of Anaheim,-0.5928686372490894,-0.7202664986044837
26-06-2010,Colorado Rockies,Los Angeles Angels of Anaheim,0.8246822547783058,2.0659171711348137
27-06-2010,Colorado Rockies,Los Angeles Angels of Anaheim,1.1420957456933476,0.6925892945483328
29-06-2010,Texas Rangers,Los Angeles Angels of Anaheim,-0.9003331232556047,0.03621351488375461
30-06-2010,Texas Rangers,Los Angeles Angels of Anaheim,nan,1.6098589985566785
01-07-2010,Texas Rangers,Los Angeles Angels of Anaheim,1.6800206771775654,-1.1200137847850435
02-07-2010,Kansas City Royals,Los Angeles Angels of Anaheim,2.1573748154876804,2.498139683214627
03-07-2010,Kansas City Royals,Los Angeles Angels of Anaheim,2.3483561506945145,0.7268102116834743
04-07-2010,Kansas City Royals,Los Angeles Angels of Anaheim,nan,0.40627285284797265
15-07-2010,Seattle Mariners,Los Angeles Angels of Anaheim,0.943710447429777,1.033858878263117
16-07-2010,Seattle Mariners,Los Angeles Angels of Anaheim,-0.6379811441128518,0.5748651277969399
17-07-2010,Seattle Mariners,Los Angeles Angels of Anaheim,2.1767092114376174,-0.08328475056217208
18-07-2010,Seattle Mariners,Los Angeles Angels of Anaheim,0.6118078923218108,0.37858711289467706
26-07-2010,Boston Red Sox,Los Angeles Angels of Anaheim,2.464366591181564,1.2372703911677931
27-07-2010,Boston Red Sox,Los Angeles Angels of Anaheim,0.9124880507517165,0.6302331862789232
28-07-2010,Boston Red Sox,Los Angeles Angels of Anaheim,1.0929530550640159,3.8813418353202103
30-07-2010,Texas Rangers,Los Angeles Angels of Anaheim,2.5625694029213304,0.686655985351339
31-07-2010,Texas Rangers,Los Angeles Angels of Anaheim,4.996356823149787,1.5251919638161358
01-08-2010,Texas Rangers,Los Angeles Angels of Anaheim,-1.0130343756331464,0.08615490652192642
09-08-2010,Kansas City Royals,Los Angeles Angels of Anaheim,1.3765677577240742,1.8083182640144668
10-08-2010,Kansas City Royals,Los Angeles Angels of Anaheim,2.496201432602561,0.6833518407790214
11-08-2010,Kansas City Royals,Los Angeles Angels of Anaheim,0.9453497794183848,-0.3303873792021145
13-08-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,-0.6511829824180595,4.690527174467216
14-08-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,-0.12923235978288963,1.648295044813022
15-08-2010,Toronto Blue Jays,Los Angeles Angels of Anaheim,0.2306450372876144,0.6246583899429998
23-08-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,4.94431143957531,1.6134068908087853
24-08-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,0.884407888918369,2.371474548996358
25-08-2010,Tampa Bay Rays,Los Angeles Angels of Anaheim,1.6969925520882436,0.536879491203436
27-08-2010,Baltimore Orioles,Los Angeles Angels of Anaheim,1.4625822702527014,1.2054417082831066
28-08-2010,Baltimore Orioles,Los Angeles Angels of Anaheim,1.4867432064095152,2.7531355154481485
29-08-2010,Baltimore Orioles,Los Angeles Angels of Anaheim,1.4574831348380115,1.8006662465112093
06-09-2010,Cleveland Indians,Los Angeles Angels of Anaheim,nan,0.3876970793486689
07-09-2010,Cleveland Indians,Los Angeles Angels of Anaheim,-0.39106630746502136,-0.14553216260793633
08-09-2010,Cleveland Indians,Los Angeles Angels of Anaheim,2.1767092114376174,2.523003858711784
10-09-2010,Seattle Mariners,Los Angeles Angels of Anaheim,2.189016845912249,-0.04129842240026431
11-09-2010,Seattle Mariners,Los Angeles Angels of Anaheim,-0.7027406886858748,0.9369144284821985
12-09-2010,Seattle Mariners,Los Angeles Angels of Anaheim,1.7463859512952358,0.08615490652192642
20-09-2010,Texas Rangers,Los Angeles Angels of Anaheim,-0.8058450628559151,-1.0708336638375506
21-09-2010,Texas Rangers,Los Angeles Angels of Anaheim,1.905841145565056,0.6906638498415535
22-09-2010,Texas Rangers,Los Angeles Angels of Anaheim,0.05098399102681757,0.08259684480052862
24-09-2010,Chicago White Sox,Los Angeles Angels of Anaheim,0.7401011471567781,0.4051499054650221
25-09-2010,Chicago White Sox,Los Angeles Angels of Anaheim,1.6803749889449011,1.8487059058658943
26-09-2010,Chicago White Sox,Los Angeles Angels of Anaheim,-0.3842016290149071,-0.9594627008875032
27-09-2010,Oakland Athletics,Los Angeles Angels of Anaheim,0.9238263206517178,-0.07242702976750923
28-09-2010,Oakland Athletics,Los Angeles Angels of Anaheim,0.9124880507517165,0.16519368960105724
29-09-2010,Oakland Athletics,Los Angeles Angels of Anaheim,nan,0.9907814250021539
05-04-2010,San Diego Padres,Arizona Diamondbacks,nan,nan
06-04-2010,San Diego Padres,Arizona Diamondbacks,nan,nan
07-04-2010,San Diego Padres,Arizona Diamondbacks,nan,nan
09-04-2010,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
10-04-2010,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
11-04-2010,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
19-04-2010,St. Louis Cardinals,Arizona Diamondbacks,nan,nan
20-04-2010,St. Louis Cardinals,Arizona Diamondbacks,nan,nan
21-04-2010,St. Louis Cardinals,Arizona Diamondbacks,nan,nan
23-04-2010,Philadelphia Phillies,Arizona Diamondbacks,nan,nan
24-04-2010,Philadelphia Phillies,Arizona Diamondbacks,nan,nan
25-04-2010,Philadelphia Phillies,Arizona Diamondbacks,nan,nan
07-05-2010,Milwaukee Brewers,Arizona Diamondbacks,-1.2256057320637315,2.384466901328489
08-05-2010,Milwaukee Brewers,Arizona Diamondbacks,2.0257495273251105,nan
09-05-2010,Milwaukee Brewers,Arizona Diamondbacks,1.4802022943135562,1.0763435073422005
10-05-2010,Los Angeles Dodgers,Arizona Diamondbacks,0.0,1.3054830287206267
11-05-2010,Los Angeles Dodgers,Arizona Diamondbacks,nan,-0.6103608758678569
12-05-2010,Los Angeles Dodgers,Arizona Diamondbacks,0.884407888918369,3.3104610569399306
19-05-2010,San Francisco Giants,Arizona Diamondbacks,0.9992228266903522,0.6406423507303326
20-05-2010,San Francisco Giants,Arizona Diamondbacks,-0.6194763360039647,1.0311731577694931
21-05-2010,Toronto Blue Jays,Arizona Diamondbacks,0.4264652126233703,0.08690362388111586
22-05-2010,Toronto Blue Jays,Arizona Diamondbacks,2.800043922257604,0.7195970256656273
23-05-2010,Toronto Blue Jays,Arizona Diamondbacks,0.6396418005916688,nan
04-06-2010,Colorado Rockies,Arizona Diamondbacks,0.5234605501094509,0.9903664355811651
05-06-2010,Colorado Rockies,Arizona Diamondbacks,-0.19594396002743228,1.9524520500746532
06-06-2010,Colorado Rockies,Arizona Diamondbacks,-0.624678474314691,2.5659494012784734
07-06-2010,Atlanta Braves,Arizona Diamondbacks,-0.43077453260963217,2.420551261029124
08-06-2010,Atlanta Braves,Arizona Diamondbacks,0.356919782278933,0.22210705560079963
09-06-2010,Atlanta Braves,Arizona Diamondbacks,1.1153743196216657,3.116651825467498
10-06-2010,Atlanta Braves,Arizona Diamondbacks,1.1356409557554286,1.5988807834515841
11-06-2010,St. Louis Cardinals,Arizona Diamondbacks,0.659941548034317,1.2802510944081937
12-06-2010,St. Louis Cardinals,Arizona Diamondbacks,nan,0.939608781071154
13-06-2010,St. Louis Cardinals,Arizona Diamondbacks,-0.1199328376109379,-0.1189815182041723
22-06-2010,New York Yankees,Arizona Diamondbacks,0.7082710317148028,0.35066187428771817
23-06-2010,New York Yankees,Arizona Diamondbacks,0.9085652928058149,2.1961128802020426
02-07-2010,Los Angeles Dodgers,Arizona Diamondbacks,-0.4851072086931211,0.6339971656597302
03-07-2010,Los Angeles Dodgers,Arizona Diamondbacks,0.20480052428934217,1.5280416288097796
04-07-2010,Los Angeles Dodgers,Arizona Diamondbacks,0.09517464547444562,0.3331390022486883
05-07-2010,Chicago Cubs,Arizona Diamondbacks,0.4161811220243051,1.8212384421406567
06-07-2010,Chicago Cubs,Arizona Diamondbacks,-0.13035543582167378,nan
07-07-2010,Chicago Cubs,Arizona Diamondbacks,0.5281547087023644,0.5596865755177102
08-07-2010,Florida Marlins,Arizona Diamondbacks,0.6939946331081704,2.331778814123918
09-07-2010,Florida Marlins,Arizona Diamondbacks,0.6194763360039647,-0.43626556674863176
10-07-2010,Florida Marlins,Arizona Diamondbacks,0.8515953219030318,1.6969925520882436
11-07-2010,Florida Marlins,Arizona Diamondbacks,nan,nan
19-07-2010,New York Mets,Arizona Diamondbacks,1.665278934221482,1.463611587766226
21-07-2010,New York Mets,Arizona Diamondbacks,0.5596865755177102,0.2271281911510857
22-07-2010,San Francisco Giants,Arizona Diamondbacks,1.9155492629299578,5.146397521734786
23-07-2010,San Francisco Giants,Arizona Diamondbacks,0.9493354651743782,1.2745997756704393
24-07-2010,San Francisco Giants,Arizona Diamondbacks,0.39106630746502136,0.8756567425569176
25-07-2010,San Francisco Giants,Arizona Diamondbacks,0.5413508786541186,0.7268102116834743
02-08-2010,Washington Nationals,Arizona Diamondbacks,-0.7075263111346952,3.6296785141887433
03-08-2010,Washington Nationals,Arizona Diamondbacks,1.7881560955085731,0.6892392521754114
04-08-2010,Washington Nationals,Arizona Diamondbacks,0.0,1.4752070048539072
05-08-2010,Washington Nationals,Arizona Diamondbacks,nan,0.43077453260963217
06-08-2010,San Diego Padres,Arizona Diamondbacks,0.9041591320072334,-0.04345181194055793
07-08-2010,San Diego Padres,Arizona Diamondbacks,-0.6306393713010574,2.160799495813451
08-08-2010,San Diego Padres,Arizona Diamondbacks,0.9894132779261898,0.8010986495765622
17-08-2010,Cincinnati Reds,Arizona Diamondbacks,0.585216530116143,0.6534942723149074
18-08-2010,Cincinnati Reds,Arizona Diamondbacks,1.760730941277244,1.7314732363708323
19-08-2010,Cincinnati Reds,Arizona Diamondbacks,-0.04626630887387803,1.569340051210044
20-08-2010,Colorado Rockies,Arizona Diamondbacks,-0.11755025273304341,1.6820025724745227
21-08-2010,Colorado Rockies,Arizona Diamondbacks,-1.1898151820417229,2.720886514297022
22-08-2010,Colorado Rockies,Arizona Diamondbacks,1.1983223487118033,0.7195970256656273
