Date,AwayTeam,HomeTeam,A_SP_recFIP,H_SP_recFIP
08-04-2011,Toronto Blue Jays,Los Angeles Angels of Anaheim,nan,nan
09-04-2011,Toronto Blue Jays,Los Angeles Angels of Anaheim,nan,nan
10-04-2011,Toronto Blue Jays,Los Angeles Angels of Anaheim,nan,nan
11-04-2011,Cleveland Indians,Los Angeles Angels of Anaheim,nan,nan
12-04-2011,Cleveland Indians,Los Angeles Angels of Anaheim,nan,nan
13-04-2011,Cleveland Indians,Los Angeles Angels of Anaheim,nan,nan
21-04-2011,Boston Red Sox,Los Angeles Angels of Anaheim,nan,nan
22-04-2011,Boston Red Sox,Los Angeles Angels of Anaheim,-0.8615490652192643,-1.2236157846436215
23-04-2011,Boston Red Sox,Los Angeles Angels of Anaheim,nan,0.6752498424417035
24-04-2011,Boston Red Sox,Los Angeles Angels of Anaheim,nan,nan
25-04-2011,Oakland Athletics,Los Angeles Angels of Anaheim,0.7070802300367682,-0.962463907603465
26-04-2011,Oakland Athletics,Los Angeles Angels of Anaheim,-0.6689226410639805,nan
27-04-2011,Oakland Athletics,Los Angeles Angels of Anaheim,1.7682546286665282,-1.0156821321199316
06-05-2011,Cleveland Indians,Los Angeles Angels of Anaheim,0.651777179108369,1.7191361340926188
07-05-2011,Cleveland Indians,Los Angeles Angels of Anaheim,nan,-1.5433232894833542
08-05-2011,Cleveland Indians,Los Angeles Angels of Anaheim,0.21538726630481608,-0.3015421728267425
09-05-2011,Chicago White Sox,Los Angeles Angels of Anaheim,1.9986675549633581,-0.04947066389630949
10-05-2011,Chicago White Sox,Los Angeles Angels of Anaheim,0.9477039717411907,nan
11-05-2011,Chicago White Sox,Los Angeles Angels of Anaheim,nan,1.5038323469486754
20-05-2011,Atlanta Braves,Los Angeles Angels of Anaheim,1.610638473610308,1.9788265558523797
21-05-2011,Atlanta Braves,Los Angeles Angels of Anaheim,0.04542563823021714,0.7138657932308728
22-05-2011,Atlanta Braves,Los Angeles Angels of Anaheim,1.170433060232286,1.8487059058658943
23-05-2011,Oakland Athletics,Los Angeles Angels of Anaheim,nan,0.8484962760441218
24-05-2011,Oakland Athletics,Los Angeles Angels of Anaheim,nan,-0.4648640272720231
25-05-2011,Oakland Athletics,Los Angeles Angels of Anaheim,0.6892392521754114,1.3484572063139526
26-05-2011,Oakland Athletics,Los Angeles Angels of Anaheim,0.6056323811446452,0.7372818874416323
03-06-2011,New York Yankees,Los Angeles Angels of Anaheim,1.0409076714895389,-0.5552470849528041
05-06-2011,New York Yankees,Los Angeles Angels of Anaheim,-0.5340657663843748,0.04542563823021714
06-06-2011,Tampa Bay Rays,Los Angeles Angels of Anaheim,-0.39977612536979296,0.04199210548416899
07-06-2011,Tampa Bay Rays,Los Angeles Angels of Anaheim,nan,0.8672668704055505
08-06-2011,Tampa Bay Rays,Los Angeles Angels of Anaheim,1.5507883173946757,-0.4959182116426337
10-06-2011,Kansas City Royals,Los Angeles Angels of Anaheim,1.1630912380460068,2.4308994327901323
11-06-2011,Kansas City Royals,Los Angeles Angels of Anaheim,-0.5150922015040692,0.8476844829124653
12-06-2011,Kansas City Royals,Los Angeles Angels of Anaheim,nan,0.6718736877467039
27-06-2011,Washington Nationals,Los Angeles Angels of Anaheim,1.1599892924065316,1.3627691469065144
