Date,AwayTeam,HomeTeam,A_SeaWinPct,A_last3WinPct,A_last5WinPct,A_last10WinPct,H_SeaWinPct,H_last3WinPct,H_last5WinPct,H_last10WinPct
31-03-2014,Seattle Mariners,Los Angeles Angels of Anaheim,0,0.33,0.6,0.3,0,0.0,0.2,0.3
01-04-2014,Seattle Mariners,Los Angeles Angels of Anaheim,100.0,nan,nan,nan,0.0,nan,nan,nan
02-04-2014,Seattle Mariners,Los Angeles Angels of Anaheim,100.0,0.33,nan,nan,0.0,0.0,nan,nan
11-04-2014,New York Mets,Los Angeles Angels of Anaheim,44.44,0.0,0.2,0.3,44.44,0.0,0.2,0.3
12-04-2014,New York Mets,Los Angeles Angels of Anaheim,40.0,0.33,0.4,0.4,50.0,0.33,0.4,0.4
13-04-2014,New York Mets,Los Angeles Angels of Anaheim,45.45,0.0,0.2,0.4,45.45,0.33,0.4,0.5
14-04-2014,Oakland Athletics,Los Angeles Angels of Anaheim,66.67,0.33,0.4,0.6,50.0,0.0,0.4,0.5
15-04-2014,Oakland Athletics,Los Angeles Angels of Anaheim,69.23,0.33,0.4,0.6,46.15,0.33,0.4,0.5
16-04-2014,Oakland Athletics,Los Angeles Angels of Anaheim,71.43,0.33,0.6,0.7,42.86,0.0,0.2,0.4
28-04-2014,Cleveland Indians,Los Angeles Angels of Anaheim,44.0,0.0,0.2,0.4,45.83,0.0,0.2,0.4
29-04-2014,Cleveland Indians,Los Angeles Angels of Anaheim,42.31,0.0,0.0,0.4,48.0,0.0,0.2,0.3
30-04-2014,Cleveland Indians,Los Angeles Angels of Anaheim,40.74,0.0,0.0,0.3,50.0,0.33,0.2,0.4
02-05-2014,Texas Rangers,Los Angeles Angels of Anaheim,53.57,0.0,0.0,0.4,51.85,0.33,0.4,0.5
03-05-2014,Texas Rangers,Los Angeles Angels of Anaheim,55.17,0.0,0.0,0.3,50.0,0.33,0.6,0.5
04-05-2014,Texas Rangers,Los Angeles Angels of Anaheim,53.33,0.33,0.2,0.3,51.72,0.0,0.4,0.4
05-05-2014,New York Yankees,Los Angeles Angels of Anaheim,53.33,0.33,0.2,0.4,50.0,0.33,0.4,0.5
06-05-2014,New York Yankees,Los Angeles Angels of Anaheim,51.61,0.0,0.2,0.3,51.61,0.0,0.2,0.4
07-05-2014,New York Yankees,Los Angeles Angels of Anaheim,53.12,0.0,0.2,0.3,50.0,0.33,0.4,0.5
15-05-2014,Tampa Bay Rays,Los Angeles Angels of Anaheim,43.9,0.33,0.2,0.2,53.85,0.33,0.4,0.5
16-05-2014,Tampa Bay Rays,Los Angeles Angels of Anaheim,42.86,0.33,0.4,0.3,55.0,0.33,0.4,0.5
17-05-2014,Tampa Bay Rays,Los Angeles Angels of Anaheim,44.19,0.0,0.4,0.3,53.66,0.33,0.6,0.6
18-05-2014,Tampa Bay Rays,Los Angeles Angels of Anaheim,43.18,0.33,0.4,0.4,54.76,0.0,0.4,0.6
19-05-2014,Houston Astros,Los Angeles Angels of Anaheim,36.36,0.33,0.4,0.4,55.81,0.33,0.4,0.6
20-05-2014,Houston Astros,Los Angeles Angels of Anaheim,37.78,0.33,0.4,0.5,54.55,0.33,0.4,0.6
21-05-2014,Houston Astros,Los Angeles Angels of Anaheim,36.96,0.33,0.6,0.6,55.56,0.0,0.4,0.5
23-05-2014,Kansas City Royals,Los Angeles Angels of Anaheim,50.0,0.0,0.2,0.4,56.52,0.33,0.4,0.6
24-05-2014,Kansas City Royals,Los Angeles Angels of Anaheim,48.94,0.33,0.2,0.4,57.45,0.33,0.4,0.6
25-05-2014,Kansas City Royals,Los Angeles Angels of Anaheim,50.0,0.0,0.2,0.3,56.25,0.33,0.6,0.6
06-06-2014,Chicago White Sox,Los Angeles Angels of Anaheim,50.82,0.33,0.4,0.5,52.54,0.33,0.2,0.3
07-06-2014,Chicago White Sox,Los Angeles Angels of Anaheim,50.0,0.33,0.4,0.5,53.33,0.0,0.2,0.2
08-06-2014,Chicago White Sox,Los Angeles Angels of Anaheim,49.21,0.0,0.4,0.4,54.1,0.33,0.4,0.3
09-06-2014,Oakland Athletics,Los Angeles Angels of Anaheim,61.9,0.0,0.2,0.6,54.84,0.33,0.4,0.3
10-06-2014,Oakland Athletics,Los Angeles Angels of Anaheim,60.94,0.33,0.4,0.6,55.56,0.33,0.6,0.4
11-06-2014,Oakland Athletics,Los Angeles Angels of Anaheim,60.0,0.0,0.2,0.5,56.25,0.33,0.6,0.5
20-06-2014,Texas Rangers,Los Angeles Angels of Anaheim,48.61,0.0,0.2,0.4,53.52,0.33,0.2,0.4
21-06-2014,Texas Rangers,Los Angeles Angels of Anaheim,47.95,0.0,0.2,0.4,54.17,0.0,0.2,0.3
22-06-2014,Texas Rangers,Los Angeles Angels of Anaheim,47.3,0.0,0.0,0.4,54.79,0.33,0.4,0.3
24-06-2014,Minnesota Twins,Los Angeles Angels of Anaheim,48.65,0.33,0.6,0.3,55.41,0.33,0.4,0.4
25-06-2014,Minnesota Twins,Los Angeles Angels of Anaheim,48.0,0.33,0.6,0.4,56.0,0.33,0.6,0.5
26-06-2014,Minnesota Twins,Los Angeles Angels of Anaheim,47.37,0.0,0.4,0.4,56.58,0.33,0.6,0.5
03-07-2014,Houston Astros,Los Angeles Angels of Anaheim,41.86,0.0,0.2,0.3,56.63,0.33,0.4,0.6
04-07-2014,Houston Astros,Los Angeles Angels of Anaheim,41.38,0.0,0.0,0.3,57.14,0.0,0.4,0.5
05-07-2014,Houston Astros,Los Angeles Angels of Anaheim,40.91,0.0,0.0,0.3,57.65,0.33,0.4,0.5
06-07-2014,Houston Astros,Los Angeles Angels of Anaheim,40.45,0.0,0.0,0.2,58.14,0.33,0.4,0.5
07-07-2014,Toronto Blue Jays,Los Angeles Angels of Anaheim,52.22,0.0,0.0,0.2,58.62,0.33,0.6,0.6
08-07-2014,Toronto Blue Jays,Los Angeles Angels of Anaheim,51.65,0.0,0.0,0.2,59.09,0.33,0.6,0.6
09-07-2014,Toronto Blue Jays,Los Angeles Angels of Anaheim,52.17,0.0,0.0,0.2,58.43,0.33,0.6,0.7
18-07-2014,Seattle Mariners,Los Angeles Angels of Anaheim,53.68,0.33,0.4,0.4,60.64,0.33,0.6,0.7
19-07-2014,Seattle Mariners,Los Angeles Angels of Anaheim,53.12,0.0,0.4,0.3,61.05,0.33,0.6,0.7
20-07-2014,Seattle Mariners,Los Angeles Angels of Anaheim,53.61,0.0,0.2,0.3,60.42,0.33,0.6,0.7
21-07-2014,Baltimore Orioles,Los Angeles Angels of Anaheim,54.64,0.33,0.4,0.5,60.82,0.0,0.4,0.6
