Date,AwayTeam,HomeTeam,temperature,windSpeed,windDirection,precipitation
04-04-2016,Chicago Cubs,Los Angeles Angels,75,6,out to Rightfield,Sunny
05-04-2016,Chicago Cubs,Los Angeles Angels,76,8,from Right to Left.,Wind8mphfromRighttoLeft
07-04-2016,Texas Rangers,Los Angeles Angels,64,4,out to Centerfield.,Wind4mphouttoCenterfield
08-04-2016,Texas Rangers,Los Angeles Angels,61,3,out to Centerfield.,Wind3mphouttoCenterfield
09-04-2016,Texas Rangers,Los Angeles Angels,64,3,out to Leftfield.,Wind3mphouttoLeftfield
10-04-2016,Texas Rangers,Los Angeles Angels,67,10,from Right to Left.,Wind10mphfromRighttoLeft
22-04-2016,Seattle Mariners,Los Angeles Angels,67,11,out to Rightfield,Cloudy
23-04-2016,Seattle Mariners,Los Angeles Angels,73,5,out to Rightfield,Sunny
24-04-2016,Seattle Mariners,Los Angeles Angels,74,11,out to Centerfield,Cloudy
25-04-2016,Kansas City Royals,Los Angeles Angels,60,6,out to Centerfield.,Wind6mphouttoCenterfield
26-04-2016,Kansas City Royals,Los Angeles Angels,66,7,out to Centerfield,Cloudy
27-04-2016,Kansas City Royals,Los Angeles Angels,63,9,from Right to Left,Sunny
06-05-2016,Tampa Bay Rays,Los Angeles Angels,62,4,out to Rightfield.,Wind4mphouttoRightfield
07-05-2016,Tampa Bay Rays,Los Angeles Angels,68,10,out to Leftfield.,Wind10mphouttoLeftfield
08-05-2016,Tampa Bay Rays,Los Angeles Angels,68,7,from Right to Left.,Wind7mphfromRighttoLeft
10-05-2016,St. Louis Cardinals,Los Angeles Angels,67,9,from Right to Left,Sunny
11-05-2016,St. Louis Cardinals,Los Angeles Angels,69,8,out to Centerfield,Sunny
12-05-2016,St. Louis Cardinals,Los Angeles Angels,68,7,out to Centerfield,Sunny
18-05-2016,Los Angeles Dodgers,Los Angeles Angels,68,9,out to Centerfield,Sunny
19-05-2016,Los Angeles Dodgers,Los Angeles Angels,66,9,from Right to Left,Overcast
20-05-2016,Baltimore Orioles,Los Angeles Angels,65,5,out to Leftfield,Cloudy
21-05-2016,Baltimore Orioles,Los Angeles Angels,65,11,out to Centerfield,Sunny
22-05-2016,Baltimore Orioles,Los Angeles Angels,71,7,out to Centerfield,Cloudy
27-05-2016,Houston Astros,Los Angeles Angels,67,10,from Right to Left,Sunny
28-05-2016,Houston Astros,Los Angeles Angels,68,10,out to Rightfield,Cloudy
29-05-2016,Houston Astros,Los Angeles Angels,69,5,out to Centerfield.,Wind5mphouttoCenterfield
30-05-2016,Detroit Tigers,Los Angeles Angels,71,8,out to Centerfield,Sunny
31-05-2016,Detroit Tigers,Los Angeles Angels,69,8,out to Rightfield,Sunny
01-06-2016,Detroit Tigers,Los Angeles Angels,74,9,out to Centerfield,Sunny
10-06-2016,Cleveland Indians,Los Angeles Angels,70,10,out to Rightfield,Cloudy
11-06-2016,Cleveland Indians,Los Angeles Angels,65,8,out to Centerfield.,Wind8mphouttoCenterfield
12-06-2016,Cleveland Indians,Los Angeles Angels,69,8,out to Centerfield.,Wind8mphouttoCenterfield
13-06-2016,Minnesota Twins,Los Angeles Angels,67,6,from Right to Left,Sunny
14-06-2016,Minnesota Twins,Los Angeles Angels,67,8,out to Centerfield,Sunny
15-06-2016,Minnesota Twins,Los Angeles Angels,69,5,from Right to Left,Sunny
23-06-2016,Oakland Athletics,Los Angeles Angels,76,6,out to Leftfield,Sunny
24-06-2016,Oakland Athletics,Los Angeles Angels,71,10,out to Centerfield,Sunny
25-06-2016,Oakland Athletics,Los Angeles Angels,74,10,out to Rightfield,Sunny
26-06-2016,Oakland Athletics,Los Angeles Angels,85,9,out to Centerfield,Sunny
27-06-2016,Houston Astros,Los Angeles Angels,78,5,from Right to Left.,Wind5mphfromRighttoLeft
28-06-2016,Houston Astros,Los Angeles Angels,83,10,out to Rightfield,Sunny
29-06-2016,Houston Astros,Los Angeles Angels,86,8,out to Centerfield,Sunny
15-07-2016,Chicago White Sox,Los Angeles Angels,77,9,out to Rightfield,Sunny
16-07-2016,Chicago White Sox,Los Angeles Angels,79,6,out to Rightfield,Sunny
17-07-2016,Chicago White Sox,Los Angeles Angels,82,7,out to Centerfield,Sunny
18-07-2016,Texas Rangers,Los Angeles Angels,77,8,out to Centerfield,Sunny
19-07-2016,Texas Rangers,Los Angeles Angels,86,6,out to Rightfield,Sunny
20-07-2016,Texas Rangers,Los Angeles Angels,90,7,out to Centerfield,Sunny
28-07-2016,Boston Red Sox,Los Angeles Angels,81,7,out to Centerfield,Sunny
