Date,AwayTeam,HomeTeam,A_SP_Hand,H_SP_Hand
02-04-2018,Cleveland Indians,Los Angeles Angels,R,R
03-04-2018,Cleveland Indians,Los Angeles Angels,R,R
04-04-2018,Cleveland Indians,Los Angeles Angels,R,L
06-04-2018,Oakland Athletics,Los Angeles Angels,R,R
07-04-2018,Oakland Athletics,Los Angeles Angels,R,R
08-04-2018,Oakland Athletics,Los Angeles Angels,R,R
17-04-2018,Boston Red Sox,Los Angeles Angels,L,R
18-04-2018,Boston Red Sox,Los Angeles Angels,R,L
19-04-2018,Boston Red Sox,Los Angeles Angels,L,R
20-04-2018,San Francisco Giants,Los Angeles Angels,R,L
21-04-2018,San Francisco Giants,Los Angeles Angels,L,R
22-04-2018,San Francisco Giants,Los Angeles Angels,R,R
27-04-2018,New York Yankees,Los Angeles Angels,R,L
28-04-2018,New York Yankees,Los Angeles Angels,R,R
29-04-2018,New York Yankees,Los Angeles Angels,nan,L
01-05-2018,Baltimore Orioles,Los Angeles Angels,R,R
02-05-2018,Baltimore Orioles,Los Angeles Angels,R,L
03-05-2018,Baltimore Orioles,Los Angeles Angels,R,R
10-05-2018,Minnesota Twins,Los Angeles Angels,R,R
11-05-2018,Minnesota Twins,Los Angeles Angels,R,L
12-05-2018,Minnesota Twins,Los Angeles Angels,R,R
13-05-2018,Minnesota Twins,Los Angeles Angels,R,R
14-05-2018,Houston Astros,Los Angeles Angels,R,L
15-05-2018,Houston Astros,Los Angeles Angels,R,R
16-05-2018,Houston Astros,Los Angeles Angels,R,R
17-05-2018,Tampa Bay Rays,Los Angeles Angels,R,L
18-05-2018,Tampa Bay Rays,Los Angeles Angels,L,R
19-05-2018,Tampa Bay Rays,Los Angeles Angels,R,L
20-05-2018,Tampa Bay Rays,Los Angeles Angels,R,R
01-06-2018,Texas Rangers,Los Angeles Angels,R,R
02-06-2018,Texas Rangers,Los Angeles Angels,L,R
03-06-2018,Texas Rangers,Los Angeles Angels,R,L
04-06-2018,Kansas City Royals,Los Angeles Angels,L,R
05-06-2018,Kansas City Royals,Los Angeles Angels,R,L
06-06-2018,Kansas City Royals,Los Angeles Angels,R,R
18-06-2018,Arizona Diamondbacks,Los Angeles Angels,R,R
