Date,AwayTeam,HomeTeam,A_SP_recFIP,H_SP_recFIP
04-04-2016,Chicago Cubs,Los Angeles Angels,nan,nan
05-04-2016,Chicago Cubs,Los Angeles Angels,nan,nan
07-04-2016,Texas Rangers,Los Angeles Angels,nan,nan
08-04-2016,Texas Rangers,Los Angeles Angels,nan,nan
09-04-2016,Texas Rangers,Los Angeles Angels,nan,nan
10-04-2016,Texas Rangers,Los Angeles Angels,nan,nan
22-04-2016,Seattle Mariners,Los Angeles Angels,nan,nan
23-04-2016,Seattle Mariners,Los Angeles Angels,nan,nan
24-04-2016,Seattle Mariners,Los Angeles Angels,nan,nan
25-04-2016,Kansas City Royals,Los Angeles Angels,nan,0.4907647006335329
26-04-2016,Kansas City Royals,Los Angeles Angels,-0.27255382938130285,nan
27-04-2016,Kansas City Royals,Los Angeles Angels,1.2212723437326527,nan
06-05-2016,Tampa Bay Rays,Los Angeles Angels,0.34290193004800623,-0.6930967563071805
07-05-2016,Tampa Bay Rays,Los Angeles Angels,0.9368169043405851,1.2256057320637315
08-05-2016,Tampa Bay Rays,Los Angeles Angels,nan,2.6822341432628596
10-05-2016,St. Louis Cardinals,Los Angeles Angels,3.0671811615711886,1.7634956402468904
11-05-2016,St. Louis Cardinals,Los Angeles Angels,0.2775978532432682,3.9296656453976295
12-05-2016,St. Louis Cardinals,Los Angeles Angels,0.19034929094889125,0.6925892945483328
18-05-2016,Los Angeles Dodgers,Los Angeles Angels,nan,3.9217793058987866
19-05-2016,Los Angeles Dodgers,Los Angeles Angels,0.0,2.9479364444888585
20-05-2016,Baltimore Orioles,Los Angeles Angels,0.8017762427531764,1.4752070048539072
21-05-2016,Baltimore Orioles,Los Angeles Angels,0.585216530116143,1.4369782400437938
22-05-2016,Baltimore Orioles,Los Angeles Angels,0.7761715339089937,2.9682398337785694
27-05-2016,Houston Astros,Los Angeles Angels,0.14141604600735364,-0.713775874375446
28-05-2016,Houston Astros,Los Angeles Angels,1.5267881928379752,2.8754596021495242
29-05-2016,Houston Astros,Los Angeles Angels,1.2938342107611314,0.36340510584173713
30-05-2016,Detroit Tigers,Los Angeles Angels,-0.7139099721950852,1.1642573008634907
31-05-2016,Detroit Tigers,Los Angeles Angels,2.6714158504007126,3.5335689045936407
01-06-2016,Detroit Tigers,Los Angeles Angels,0.1784598911394664,-1.5407678854001834
10-06-2016,Cleveland Indians,Los Angeles Angels,-0.2964343186245447,2.985256488363592
11-06-2016,Cleveland Indians,Los Angeles Angels,-0.24985425168651623,-0.9086090709472249
12-06-2016,Cleveland Indians,Los Angeles Angels,0.7402609419820485,nan
13-06-2016,Minnesota Twins,Los Angeles Angels,0.04383273428596477,3.201707577374599
14-06-2016,Minnesota Twins,Los Angeles Angels,1.9014769611744933,0.5306447333510214
15-06-2016,Minnesota Twins,Los Angeles Angels,2.0818153429790778,2.14091086025691
23-06-2016,Oakland Athletics,Los Angeles Angels,1.128183087998281,nan
24-06-2016,Oakland Athletics,Los Angeles Angels,2.6806384793468987,2.2444312695858386
25-06-2016,Oakland Athletics,Los Angeles Angels,nan,1.3449468425771745
26-06-2016,Oakland Athletics,Los Angeles Angels,0.3041626835839055,0.5289761372986953
27-06-2016,Houston Astros,Los Angeles Angels,0.24022292687614114,-0.36564556756317534
28-06-2016,Houston Astros,Los Angeles Angels,0.11093854004881294,nan
29-06-2016,Houston Astros,Los Angeles Angels,0.7865272508559266,1.4339097940384116
15-07-2016,Chicago White Sox,Los Angeles Angels,1.282391438931635,1.0803997479067255
16-07-2016,Chicago White Sox,Los Angeles Angels,1.9736289577559425,0.946670874092774
17-07-2016,Chicago White Sox,Los Angeles Angels,nan,1.6998042649634284
18-07-2016,Texas Rangers,Los Angeles Angels,2.614151272220286,2.029769959404601
19-07-2016,Texas Rangers,Los Angeles Angels,nan,1.592181838146481
20-07-2016,Texas Rangers,Los Angeles Angels,1.7487758569001703,-0.6892392521754114
28-07-2016,Boston Red Sox,Los Angeles Angels,-0.5259928114315773,2.127238547541308
29-07-2016,Boston Red Sox,Los Angeles Angels,-0.2989664303408217,4.800830413909434
30-07-2016,Boston Red Sox,Los Angeles Angels,1.3531799729364007,0.8246822547783058
31-07-2016,Boston Red Sox,Los Angeles Angels,0.04542563823021714,nan
02-08-2016,Oakland Athletics,Los Angeles Angels,-0.608325367167811,-1.1593507635723996
03-08-2016,Oakland Athletics,Los Angeles Angels,0.7027406886858748,1.9486359548316183
04-08-2016,Oakland Athletics,Los Angeles Angels,0.06404508774177019,2.6022691787238474
15-08-2016,Seattle Mariners,Los Angeles Angels,0.9046265184802275,1.2492461445679333
16-08-2016,Seattle Mariners,Los Angeles Angels,nan,2.101392172314158
17-08-2016,Seattle Mariners,Los Angeles Angels,-0.6373486297004459,1.2096350057852112
18-08-2016,Seattle Mariners,Los Angeles Angels,-0.7821326149300427,1.1630912380460068
19-08-2016,New York Yankees,Los Angeles Angels,0.5306447333510214,2.1923116141531556
20-08-2016,New York Yankees,Los Angeles Angels,1.0769532014881535,1.8434073930338601
21-08-2016,New York Yankees,Los Angeles Angels,-0.11894849530153444,2.400614557326675
29-08-2016,Cincinnati Reds,Los Angeles Angels,-0.19404288347724843,0.585216530116143
30-08-2016,Cincinnati Reds,Los Angeles Angels,3.370651257975202,4.215676069532633
31-08-2016,Cincinnati Reds,Los Angeles Angels,0.6477283242342925,2.3349210796675086
09-09-2016,Texas Rangers,Los Angeles Angels,0.4996502448286201,1.1970438222129698
10-09-2016,Texas Rangers,Los Angeles Angels,0.8613759044446999,2.2698383875068093
11-09-2016,Texas Rangers,Los Angeles Angels,0.5949075910208614,1.5967858246626145
12-09-2016,Seattle Mariners,Los Angeles Angels,3.07067763089414,0.5075349418286873
13-09-2016,Seattle Mariners,Los Angeles Angels,3.7772633118069936,nan
14-09-2016,Seattle Mariners,Los Angeles Angels,1.3490556610372741,-0.4895241824946152
15-09-2016,Toronto Blue Jays,Los Angeles Angels,2.0093407190181383,2.6954177897574128
17-09-2016,Toronto Blue Jays,Los Angeles Angels,2.0664714999138973,-0.19830253034028716
18-09-2016,Toronto Blue Jays,Los Angeles Angels,1.4841199168892847,3.131057104517667
26-09-2016,Oakland Athletics,Los Angeles Angels,-0.965141364823436,1.6807486145180344
27-09-2016,Oakland Athletics,Los Angeles Angels,0.0,0.04501665616278023
28-09-2016,Oakland Athletics,Los Angeles Angels,1.419325536505053,1.2490064721244467
30-09-2016,Houston Astros,Los Angeles Angels,1.4785357397777095,2.3140843588934477
01-10-2016,Houston Astros,Los Angeles Angels,0.0,0.3771094560196097
02-10-2016,Houston Astros,Los Angeles Angels,0.8317161075686166,0.5936479667557139
04-04-2016,Colorado Rockies,Arizona Diamondbacks,nan,nan
05-04-2016,Colorado Rockies,Arizona Diamondbacks,nan,nan
06-04-2016,Colorado Rockies,Arizona Diamondbacks,nan,nan
07-04-2016,Chicago Cubs,Arizona Diamondbacks,nan,nan
08-04-2016,Chicago Cubs,Arizona Diamondbacks,nan,nan
09-04-2016,Chicago Cubs,Arizona Diamondbacks,nan,nan
10-04-2016,Chicago Cubs,Arizona Diamondbacks,nan,nan
22-04-2016,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
23-04-2016,Pittsburgh Pirates,Arizona Diamondbacks,nan,1.936009781944161
24-04-2016,Pittsburgh Pirates,Arizona Diamondbacks,nan,nan
25-04-2016,St. Louis Cardinals,Arizona Diamondbacks,nan,-1.0677372512172203
26-04-2016,St. Louis Cardinals,Arizona Diamondbacks,nan,3.3294489761944406
27-04-2016,St. Louis Cardinals,Arizona Diamondbacks,1.784439685938615,1.4536204233669485
28-04-2016,St. Louis Cardinals,Arizona Diamondbacks,-0.14141604600735364,1.452696568004358
29-04-2016,Colorado Rockies,Arizona Diamondbacks,1.2367665974077373,-0.4297840335231547
30-04-2016,Colorado Rockies,Arizona Diamondbacks,-0.4610419548178885,0.16519368960105724
01-05-2016,Colorado Rockies,Arizona Diamondbacks,0.9085127646043428,2.7467954053604133
12-05-2016,San Francisco Giants,Arizona Diamondbacks,-0.7417818380573122,-0.04345181194055793
13-05-2016,San Francisco Giants,Arizona Diamondbacks,-0.3626984766663981,2.1649827911624295
14-05-2016,San Francisco Giants,Arizona Diamondbacks,3.9472061181694835,1.307555804613804
