Team,BP_K/9,BP_BB/9,BP_K/BB,BP_HR/9,BP_K%,BP_BB%,BP_K-BB%,BP_AVG,BP_WHIP,BP_BABIP,BP_LOB%,BP_ERA-,BP_FIP-,BP_xFIP-,BP_ERA,BP_FIP,BP_E-F,BP_xFIP,BP_SIERA
Cleveland Indians,10.08,2.74,3.68,0.88,0.275,0.075,0.2,0.223,1.14,0.292,0.787,63,73,78,2.89,3.2,-0.31,3.41,3.25
New York Yankees,10.92,3.76,2.9,0.85,0.29,0.1,0.19,0.201,1.16,0.272,0.755,77,75,87,3.34,3.37,-0.02,3.8,3.45
Boston Red Sox,9.81,3.03,3.23,1,0.266,0.082,0.184,0.223,1.17,0.286,0.792,69,81,86,3.15,3.53,-0.38,3.77,3.48
Los Angeles Dodgers,10.24,2.94,3.48,1.13,0.277,0.08,0.197,0.22,1.15,0.281,0.782,81,84,84,3.38,3.55,-0.18,3.64,3.34
Los Angeles Angels,9.51,2.66,3.58,1.15,0.257,0.072,0.185,0.238,1.2,0.296,0.731,92,83,88,3.92,3.66,0.26,3.87,3.48
Houston Astros,10.91,3.51,3.11,1.27,0.285,0.092,0.194,0.232,1.28,0.303,0.73,101,89,84,4.27,3.84,0.43,3.69,3.39
Tampa Bay Rays,8.43,3.33,2.53,0.96,0.221,0.088,0.134,0.232,1.25,0.28,0.729,91,92,98,3.83,3.9,-0.08,4.3,4.02
St. Louis Cardinals,8.98,3.07,2.93,1.08,0.236,0.08,0.155,0.242,1.27,0.297,0.751,91,93,98,3.81,3.93,-0.11,4.23,3.82
Colorado Rockies,8.97,3.48,2.58,1.05,0.232,0.09,0.142,0.249,1.35,0.307,0.709,88,86,96,4.4,3.94,0.46,4.14,3.89
Arizona Diamondbacks,8.9,3.4,2.61,1.08,0.232,0.089,0.144,0.236,1.29,0.288,0.734,83,90,93,3.78,3.95,-0.17,4.04,3.84
Toronto Blue Jays,9.59,3.2,3,1.24,0.253,0.084,0.168,0.237,1.26,0.293,0.72,96,90,93,4.21,4.02,0.19,4.11,3.67
San Francisco Giants,8.36,4.01,2.08,0.88,0.212,0.102,0.11,0.253,1.43,0.31,0.715,105,99,106,4.34,4.05,0.29,4.59,4.3
Chicago Cubs,9.98,4.25,2.35,1.11,0.263,0.112,0.151,0.222,1.3,0.283,0.761,88,94,95,3.8,4.08,-0.28,4.11,3.87
Milwaukee Brewers,9.67,4.26,2.27,1.08,0.25,0.11,0.14,0.237,1.37,0.301,0.764,87,95,95,3.83,4.14,-0.31,4.1,3.95
Kansas City Royals,7.94,3.88,2.04,0.95,0.204,0.1,0.104,0.251,1.4,0.301,0.709,95,96,100,4.24,4.14,0.1,4.41,4.26
Philadelphia Phillies,8.97,3.61,2.48,1.16,0.23,0.093,0.137,0.249,1.37,0.304,0.743,96,94,98,4.18,4.15,0.03,4.25,3.99
Washington Nationals,8.46,3.14,2.7,1.2,0.219,0.081,0.138,0.251,1.32,0.3,0.723,99,95,102,4.41,4.2,0.21,4.39,3.98
Pittsburgh Pirates,8.16,3.53,2.31,1.09,0.21,0.091,0.119,0.246,1.34,0.292,0.756,90,98,103,3.84,4.23,-0.39,4.44,4.18
Miami Marlins,8.22,3.99,2.06,1,0.21,0.102,0.108,0.254,1.43,0.307,0.721,106,101,107,4.4,4.25,0.15,4.61,4.33
Seattle Mariners,8.64,3.33,2.59,1.25,0.225,0.087,0.138,0.239,1.29,0.285,0.728,97,99,101,4.08,4.28,-0.2,4.45,4.02
Atlanta Braves,8.56,3.84,2.23,1.16,0.22,0.099,0.121,0.243,1.36,0.291,0.702,104,102,107,4.58,4.37,0.2,4.61,4.2
Oakland Athletics,8.57,3.32,2.58,1.32,0.222,0.086,0.136,0.247,1.32,0.292,0.707,108,103,100,4.57,4.44,0.14,4.4,4.01
Minnesota Twins,7.66,2.97,2.58,1.32,0.198,0.077,0.121,0.257,1.33,0.294,0.73,100,102,102,4.4,4.5,-0.1,4.49,4.15
Baltimore Orioles,7.64,3.43,2.22,1.26,0.199,0.089,0.109,0.249,1.34,0.287,0.764,88,100,103,3.93,4.57,-0.64,4.54,4.23
New York Mets,9.36,4.25,2.2,1.36,0.233,0.106,0.127,0.256,1.49,0.312,0.728,118,108,106,4.82,4.58,0.25,4.58,4.16
Texas Rangers,8.15,3.96,2.06,1.22,0.204,0.099,0.105,0.265,1.48,0.313,0.704,100,100,107,4.76,4.59,0.17,4.71,4.36
Chicago White Sox,8.39,3.96,2.12,1.26,0.218,0.103,0.115,0.239,1.34,0.281,0.747,100,104,106,4.28,4.62,-0.33,4.64,4.28
Cincinnati Reds,8.72,4.12,2.12,1.31,0.222,0.105,0.117,0.244,1.4,0.291,0.728,105,106,103,4.65,4.67,-0.02,4.45,4.18
San Diego Padres,9.48,3.33,2.85,1.65,0.25,0.088,0.162,0.236,1.27,0.279,0.734,106,109,98,4.49,4.69,-0.2,4.24,3.75
Detroit Tigers,7.92,4.07,1.95,1.52,0.196,0.101,0.095,0.279,1.57,0.321,0.691,127,115,114,5.63,5.1,0.54,5.01,4.54
