Team,BP_K/9,BP_BB/9,BP_K/BB,BP_HR/9,BP_K%,BP_BB%,BP_K-BB%,BP_AVG,BP_WHIP,BP_BABIP,BP_LOB%,BP_ERA-,BP_FIP-,BP_xFIP-,BP_ERA,BP_FIP,BP_E-F,BP_xFIP,BP_SIERA
Cleveland Indians,10.63,3.04,3.49,0.87,0.283,0.081,0.202,0.221,1.16,0.296,0.72,77,76,93,3.53,3.39,0.14,4.14,3.53
Los Angeles Dodgers,8.85,2.57,3.44,0.82,0.243,0.071,0.172,0.205,1.04,0.254,0.753,64,79,87,2.74,3.45,-0.71,3.88,3.65
Oakland Athletics,9.63,3.33,2.9,0.99,0.26,0.09,0.17,0.205,1.13,0.256,0.822,64,84,96,2.72,3.64,-0.92,4.27,3.86
Tampa Bay Rays,8.78,2.9,3.02,0.87,0.235,0.078,0.157,0.23,1.19,0.286,0.736,79,85,93,3.37,3.65,-0.28,4.16,3.91
Minnesota Twins,10.36,3.12,3.33,1.25,0.274,0.082,0.191,0.241,1.27,0.309,0.77,81,86,94,3.62,3.85,-0.22,4.18,3.65
Atlanta Braves,9.31,3.53,2.64,0.99,0.243,0.092,0.151,0.233,1.28,0.292,0.765,77,89,99,3.5,3.91,-0.41,4.41,4.05
Milwaukee Brewers,11.97,3.82,3.13,1.34,0.314,0.1,0.214,0.214,1.22,0.287,0.715,93,89,84,4.17,3.93,0.24,3.72,3.41
Chicago White Sox,9.29,3.5,2.66,1.05,0.242,0.091,0.151,0.226,1.25,0.28,0.741,86,88,95,3.76,3.98,-0.22,4.22,4.01
Kansas City Royals,10.26,3.99,2.57,1.08,0.263,0.102,0.161,0.243,1.37,0.316,0.758,85,92,97,3.84,4.02,-0.17,4.3,3.96
San Diego Padres,10.02,3.53,2.84,1.23,0.262,0.092,0.169,0.236,1.29,0.298,0.719,101,93,93,4.38,4.08,0.3,4.15,3.84
Baltimore Orioles,8.83,3.9,2.27,0.93,0.229,0.101,0.128,0.222,1.27,0.273,0.705,88,89,103,3.9,4.11,-0.21,4.57,4.29
Los Angeles Angels,9.26,3.29,2.82,1.27,0.244,0.087,0.157,0.227,1.23,0.274,0.664,105,93,101,4.63,4.17,0.46,4.48,4.01
Pittsburgh Pirates,10.17,4.54,2.24,1.06,0.255,0.114,0.141,0.232,1.4,0.298,0.664,104,95,101,4.62,4.2,0.41,4.52,4.2
Houston Astros,9.58,5.03,1.91,1.06,0.236,0.124,0.112,0.248,1.52,0.313,0.722,103,102,108,4.39,4.45,-0.06,4.82,4.55
Chicago Cubs,10.66,4.66,2.29,1.35,0.278,0.121,0.156,0.222,1.34,0.283,0.729,99,101,91,4.38,4.45,-0.07,4.06,4.03
Toronto Blue Jays,9.09,4.81,1.89,1.17,0.228,0.121,0.107,0.246,1.49,0.302,0.678,104,108,109,4.71,4.57,0.15,4.84,4.6
St. Louis Cardinals,9.59,4.52,2.12,1.3,0.251,0.118,0.133,0.208,1.27,0.251,0.735,93,106,104,4,4.63,-0.63,4.66,4.32
Cincinnati Reds,10.93,4.34,2.52,1.54,0.284,0.113,0.171,0.211,1.27,0.263,0.713,99,101,99,4.53,4.64,-0.11,4.4,3.9
Texas Rangers,9.1,4.43,2.05,1.26,0.229,0.112,0.118,0.227,1.37,0.273,0.704,105,106,113,4.63,4.66,-0.03,5.04,4.49
New York Yankees,9.34,4.08,2.29,1.4,0.236,0.103,0.133,0.23,1.34,0.274,0.708,102,103,101,4.51,4.69,-0.18,4.52,4.22
New York Mets,10.03,5.06,1.98,1.3,0.25,0.126,0.124,0.233,1.45,0.291,0.728,108,108,105,4.6,4.74,-0.15,4.69,4.4
San Francisco Giants,8.09,3.93,2.06,1.29,0.209,0.101,0.107,0.231,1.32,0.266,0.712,98,112,114,4.24,4.78,-0.54,5.07,4.6
Washington Nationals,9.85,4.86,2.03,1.4,0.242,0.119,0.123,0.244,1.5,0.299,0.743,103,106,109,4.68,4.79,-0.11,4.87,4.46
Detroit Tigers,8.19,3.14,2.61,1.52,0.21,0.081,0.13,0.25,1.33,0.286,0.721,110,107,105,4.94,4.83,0.11,4.68,4.27
Arizona Diamondbacks,8.92,4.6,1.94,1.35,0.225,0.116,0.109,0.248,1.46,0.297,0.738,101,109,110,4.6,4.83,-0.24,4.89,4.58
Boston Red Sox,9.97,4.5,2.22,1.59,0.24,0.108,0.132,0.281,1.64,0.347,0.678,125,112,99,5.79,4.92,0.88,4.4,4.24
Philadelphia Phillies,9.82,4.21,2.33,2.03,0.229,0.098,0.131,0.312,1.79,0.376,0.651,158,121,103,7.06,5.56,1.51,4.61,4.26
Colorado Rockies,7.73,4.06,1.9,1.66,0.186,0.097,0.088,0.3,1.67,0.342,0.631,132,118,121,6.77,5.56,1.21,5.38,4.8
Miami Marlins,7.3,4.6,1.58,1.64,0.181,0.114,0.067,0.265,1.55,0.293,0.701,130,131,121,5.5,5.65,-0.15,5.39,5.06
Seattle Mariners,8.29,5.08,1.63,1.69,0.202,0.124,0.078,0.255,1.56,0.289,0.698,139,132,128,5.92,5.81,0.11,5.69,4.99
