Team,K/9_L,BB/9_L,K/BB_L,HR/9_L,K%_L,BB%_L,K-BB%_L,AVG_L,WHIP_L,BABIP_L,LOB%_L,ERA_L,FIP_L,E-F_L,xFIP_L,K/9_R,BB/9_R,K/BB_R,HR/9_R,K%_R,BB%_R,K-BB%_R,AVG_R,WHIP_R,BABIP_R,LOB%_R,ERA_R,FIP_R,E-F_R,xFIP_R
Arizona Diamondbacks,8.52,3.07,2.78,1.24,0.223,0.08,0.142,0.251,1.3,0.296,0.752,4.08,4.26,-0.18,4.31,8.96,3.25,2.76,1.44,0.234,0.085,0.149,0.252,1.31,0.294,0.73,4.37,4.51,-0.14,4.5
Atlanta Braves,8.89,3.73,2.38,1.36,0.229,0.096,0.133,0.25,1.37,0.296,0.729,4.46,4.58,-0.12,4.6,8.5,3.21,2.65,1.2,0.22,0.083,0.137,0.259,1.35,0.306,0.744,4.05,4.28,-0.23,4.32
Baltimore Orioles,7.1,3.82,1.86,1.69,0.179,0.096,0.083,0.255,1.41,0.272,0.71,5.14,5.5,-0.36,5.45,8.26,3.28,2.52,2.05,0.206,0.082,0.125,0.282,1.49,0.312,0.667,6.04,5.61,0.43,5.08
Boston Red Sox,9.68,4.14,2.34,1.52,0.244,0.104,0.139,0.246,1.41,0.294,0.691,5.2,4.83,0.36,4.74,10.17,3.46,2.94,1.2,0.262,0.089,0.173,0.254,1.36,0.322,0.717,4.42,3.98,0.45,4.2
Chicago Cubs,8.66,3.46,2.5,1.11,0.22,0.088,0.132,0.26,1.39,0.311,0.733,4.23,4.25,-0.02,4.44,9.21,3.26,2.82,1.28,0.241,0.085,0.155,0.245,1.29,0.293,0.747,4.03,4.24,-0.22,4.2
Chicago White Sox,8.16,3.73,2.19,1.32,0.209,0.096,0.114,0.255,1.4,0.295,0.731,4.44,4.61,-0.17,4.93,8.5,3.7,2.3,1.66,0.216,0.094,0.122,0.269,1.45,0.307,0.7,5.25,5.09,0.15,4.72
Cincinnati Reds,9.96,4.11,2.43,1.56,0.252,0.104,0.148,0.245,1.4,0.295,0.732,4.78,4.78,-0.01,4.54,9.51,2.75,3.46,1.17,0.26,0.075,0.185,0.228,1.14,0.278,0.742,3.7,3.78,-0.08,3.75
Cleveland Indians,8.97,3.13,2.87,1.38,0.237,0.083,0.154,0.237,1.24,0.278,0.752,4,4.41,-0.41,4.6,9.81,2.58,3.81,1.23,0.262,0.069,0.193,0.242,1.21,0.301,0.767,3.63,3.78,-0.15,4.06
Colorado Rockies,7.75,4.34,1.79,1.48,0.192,0.108,0.085,0.274,1.56,0.309,0.695,5.38,5.14,0.24,4.94,7.93,3.13,2.53,1.83,0.201,0.079,0.121,0.279,1.44,0.307,0.677,5.74,5.3,0.43,4.61
Detroit Tigers,8.07,3.83,2.11,1.35,0.197,0.094,0.104,0.279,1.54,0.321,0.702,5.19,4.86,0.33,5.01,8.87,3.11,2.85,1.69,0.226,0.079,0.147,0.272,1.41,0.314,0.679,5.3,4.83,0.46,4.61
