Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
29-03-2018,170,8,Chicago Cubs,Miami Marlins
29-03-2018,-138,6.5,St. Louis Cardinals,New York Mets
29-03-2018,116,8,Philadelphia Phillies,Atlanta Braves
29-03-2018,116,8,Milwaukee Brewers,San Diego Padres
29-03-2018,-306,7.5,San Francisco Giants,Los Angeles Dodgers
29-03-2018,-109,8,Colorado Rockies,Arizona Diamondbacks
29-03-2018,-127,9.5,Minnesota Twins,Baltimore Orioles
29-03-2018,145,9,Houston Astros,Texas Rangers
29-03-2018,151,8.5,New York Yankees,Toronto Blue Jays
29-03-2018,153,6.5,Boston Red Sox,Tampa Bay Rays
29-03-2018,108,9,Los Angeles Angels,Oakland Athletics
29-03-2018,-140,8.5,Chicago White Sox,Kansas City Royals
29-03-2018,160,7,Cleveland Indians,Seattle Mariners
30-03-2018,170,8,Chicago Cubs,Miami Marlins
30-03-2018,-101,9,Philadelphia Phillies,Atlanta Braves
30-03-2018,-143,8,Colorado Rockies,Arizona Diamondbacks
30-03-2018,-163,7.5,San Francisco Giants,Los Angeles Dodgers
30-03-2018,103,8,Milwaukee Brewers,San Diego Padres
30-03-2018,122,8.5,New York Yankees,Toronto Blue Jays
30-03-2018,126,7,Boston Red Sox,Tampa Bay Rays
30-03-2018,150,9,Houston Astros,Texas Rangers
30-03-2018,104,9,Los Angeles Angels,Oakland Athletics
30-03-2018,185,9,Washington Nationals,Cincinnati Reds
30-03-2018,119,9,Pittsburgh Pirates,Detroit Tigers
31-03-2018,-117,7,St. Louis Cardinals,New York Mets
31-03-2018,130,8,Washington Nationals,Cincinnati Reds
31-03-2018,-115,8,Philadelphia Phillies,Atlanta Braves
31-03-2018,180,8,Chicago Cubs,Miami Marlins
31-03-2018,-151,8.5,Colorado Rockies,Arizona Diamondbacks
31-03-2018,110,7.5,Milwaukee Brewers,San Diego Padres
31-03-2018,-205,8,San Francisco Giants,Los Angeles Dodgers
31-03-2018,171,9.5,Houston Astros,Texas Rangers
31-03-2018,-103,9,Los Angeles Angels,Oakland Athletics
31-03-2018,-106,9.5,New York Yankees,Toronto Blue Jays
31-03-2018,-103,6.5,Cleveland Indians,Seattle Mariners
31-03-2018,101,8,Boston Red Sox,Tampa Bay Rays
31-03-2018,109,9,Minnesota Twins,Baltimore Orioles
31-03-2018,-102,8.5,Chicago White Sox,Kansas City Royals
01-04-2018,178,8,Chicago Cubs,Miami Marlins
01-04-2018,137,8,St. Louis Cardinals,New York Mets
01-04-2018,116,8.5,Washington Nationals,Cincinnati Reds
01-04-2018,-195,7.5,San Francisco Giants,Los Angeles Dodgers
01-04-2018,-113,9,Minnesota Twins,Baltimore Orioles
01-04-2018,-114,8.5,New York Yankees,Toronto Blue Jays
01-04-2018,-114,8.5,Boston Red Sox,Tampa Bay Rays
01-04-2018,140,9.5,Houston Astros,Texas Rangers
01-04-2018,116,9,Los Angeles Angels,Oakland Athletics
01-04-2018,130,7.5,Cleveland Indians,Seattle Mariners
01-04-2018,-111,8.5,Pittsburgh Pirates,Detroit Tigers
01-04-2018,111,8.5,Pittsburgh Pirates,Detroit Tigers
02-04-2018,-111,9.5,St. Louis Cardinals,Milwaukee Brewers
02-04-2018,125,8.5,Chicago Cubs,Cincinnati Reds
02-04-2018,111,9,Washington Nationals,Atlanta Braves
02-04-2018,-101,9,Los Angeles Dodgers,Arizona Diamondbacks
02-04-2018,-111,8,Colorado Rockies,San Diego Padres
02-04-2018,-111,8.5,Kansas City Royals,Detroit Tigers
02-04-2018,-175,9,Chicago White Sox,Toronto Blue Jays
02-04-2018,-228,9.5,Baltimore Orioles,Houston Astros
02-04-2018,-167,9,Texas Rangers,Oakland Athletics
02-04-2018,101,8,Cleveland Indians,Los Angeles Angels
02-04-2018,-146,7.5,Minnesota Twins,Pittsburgh Pirates
02-04-2018,118,8.5,Boston Red Sox,Miami Marlins
03-04-2018,-126,7.5,Philadelphia Phillies,New York Mets
03-04-2018,119,9.5,Washington Nationals,Atlanta Braves
03-04-2018,-108,9.5,St. Louis Cardinals,Milwaukee Brewers
03-04-2018,153,7.5,Los Angeles Dodgers,Arizona Diamondbacks
03-04-2018,102,8,Colorado Rockies,San Diego Padres
03-04-2018,-112,8.5,Kansas City Royals,Detroit Tigers
03-04-2018,-185,9,Chicago White Sox,Toronto Blue Jays
03-04-2018,-250,9,Baltimore Orioles,Houston Astros
03-04-2018,-132,9,Texas Rangers,Oakland Athletics
03-04-2018,-133,8,Cleveland Indians,Los Angeles Angels
03-04-2018,-115,8,Seattle Mariners,San Francisco Giants
03-04-2018,230,7.5,Boston Red Sox,Miami Marlins
03-04-2018,-185,7,Tampa Bay Rays,New York Yankees
04-04-2018,179,8,Washington Nationals,Atlanta Braves
04-04-2018,-146,7,Philadelphia Phillies,New York Mets
04-04-2018,116,8,Los Angeles Dodgers,Arizona Diamondbacks
04-04-2018,-105,9.5,St. Louis Cardinals,Milwaukee Brewers
04-04-2018,116,7,Colorado Rockies,San Diego Padres
04-04-2018,-267,8.5,Tampa Bay Rays,New York Yankees
04-04-2018,-166,8,Baltimore Orioles,Houston Astros
04-04-2018,135,7,Cleveland Indians,Los Angeles Angels
04-04-2018,-223,9.5,Chicago White Sox,Toronto Blue Jays
04-04-2018,-160,8.5,Texas Rangers,Oakland Athletics
04-04-2018,-121,8,Minnesota Twins,Pittsburgh Pirates
04-04-2018,-140,7.5,Seattle Mariners,San Francisco Giants
05-04-2018,-155,7,New York Mets,Washington Nationals
05-04-2018,-145,8,Miami Marlins,Philadelphia Phillies
05-04-2018,-109,7.5,Colorado Rockies,San Diego Padres
05-04-2018,-162,8,Cincinnati Reds,Pittsburgh Pirates
05-04-2018,-111,8,Arizona Diamondbacks,St. Louis Cardinals
05-04-2018,-101,9,Chicago Cubs,Milwaukee Brewers
05-04-2018,-230,9,Tampa Bay Rays,Boston Red Sox
05-04-2018,-155,9,Texas Rangers,Oakland Athletics
05-04-2018,-105,7.5,Seattle Mariners,Minnesota Twins
05-04-2018,-119,8.5,Detroit Tigers,Chicago White Sox
05-04-2018,-265,8.5,Baltimore Orioles,New York Yankees
06-04-2018,-152,9,Atlanta Braves,Colorado Rockies
06-04-2018,111,8,Cincinnati Reds,Pittsburgh Pirates
06-04-2018,116,8.5,Chicago Cubs,Milwaukee Brewers
06-04-2018,-233,7,Kansas City Royals,Cleveland Indians
06-04-2018,-181,9.5,Baltimore Orioles,New York Yankees
06-04-2018,106,10,Toronto Blue Jays,Texas Rangers
06-04-2018,-131,9,Oakland Athletics,Los Angeles Angels
06-04-2018,-288,8.5,San Diego Padres,Houston Astros
07-04-2018,-155,8,New York Mets,Washington Nationals
07-04-2018,-109,7.5,Arizona Diamondbacks,St. Louis Cardinals
07-04-2018,116,8,Los Angeles Dodgers,San Francisco Giants
07-04-2018,118,9,Chicago Cubs,Milwaukee Brewers
07-04-2018,-175,8.5,Miami Marlins,Philadelphia Phillies
07-04-2018,-131,8,Cincinnati Reds,Pittsburgh Pirates
07-04-2018,-146,11,Atlanta Braves,Colorado Rockies
07-04-2018,-235,9.5,Baltimore Orioles,New York Yankees
07-04-2018,-170,9,Tampa Bay Rays,Boston Red Sox
07-04-2018,-119,8,Detroit Tigers,Chicago White Sox
07-04-2018,-164,8,Seattle Mariners,Minnesota Twins
07-04-2018,-245,7.5,Kansas City Royals,Cleveland Indians
07-04-2018,116,8.5,Toronto Blue Jays,Texas Rangers
07-04-2018,-114,9,Oakland Athletics,Los Angeles Angels
07-04-2018,-325,9,San Diego Padres,Houston Astros
08-04-2018,-155,7.5,Cincinnati Reds,Pittsburgh Pirates
08-04-2018,-200,8,Miami Marlins,Philadelphia Phillies
08-04-2018,104,8.5,Chicago Cubs,Milwaukee Brewers
08-04-2018,-165,7.5,Arizona Diamondbacks,St. Louis Cardinals
08-04-2018,-155,11,Atlanta Braves,Colorado Rockies
08-04-2018,205,8,Los Angeles Dodgers,San Francisco Giants
08-04-2018,-187,8,New York Mets,Washington Nationals
08-04-2018,-185,8.5,Baltimore Orioles,New York Yankees
08-04-2018,-200,8,Tampa Bay Rays,Boston Red Sox
08-04-2018,-214,7.5,Kansas City Royals,Cleveland Indians
08-04-2018,-175,8,Detroit Tigers,Chicago White Sox
08-04-2018,102,9,Toronto Blue Jays,Texas Rangers
08-04-2018,-190,9,Oakland Athletics,Los Angeles Angels
08-04-2018,-277,8.5,San Diego Padres,Houston Astros
09-04-2018,-131,9,Cincinnati Reds,Philadelphia Phillies
09-04-2018,-254,7.5,Atlanta Braves,Washington Nationals
09-04-2018,-148,8,Milwaukee Brewers,St. Louis Cardinals
09-04-2018,205,7.5,New York Mets,Miami Marlins
09-04-2018,-190,9.5,San Diego Padres,Colorado Rockies
09-04-2018,-105,8,Arizona Diamondbacks,San Francisco Giants
09-04-2018,-305,6.5,Detroit Tigers,Cleveland Indians
09-04-2018,-117,7.5,Toronto Blue Jays,Baltimore Orioles
09-04-2018,121,9,Los Angeles Angels,Texas Rangers
09-04-2018,125,7,Tampa Bay Rays,Chicago White Sox
09-04-2018,130,8,Houston Astros,Minnesota Twins
09-04-2018,-105,7.5,Seattle Mariners,Kansas City Royals
10-04-2018,-240,7,Atlanta Braves,Washington Nationals
10-04-2018,-195,7.5,Cincinnati Reds,Philadelphia Phillies
10-04-2018,174,8,New York Mets,Miami Marlins
10-04-2018,-163,7.5,Milwaukee Brewers,St. Louis Cardinals
10-04-2018,-150,10.5,San Diego Padres,Colorado Rockies
