Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
05-04-2019,-125,8.5,Chicago Cubs,Milwaukee Brewers
05-04-2019,-140,7.5,Toronto Blue Jays,Cleveland Indians
05-04-2019,-155,8.5,Oakland Athletics,Houston Astros
05-04-2019,-117,8.5,Texas Rangers,Los Angeles Angels
05-04-2019,103,7,Tampa Bay Rays,San Francisco Giants
05-04-2019,-156,8,Minnesota Twins,Philadelphia Phillies
05-04-2019,117,9,Boston Red Sox,Arizona Diamondbacks
05-04-2019,115,8.5,Seattle Mariners,Chicago White Sox
05-04-2019,-176,8,San Diego Padres,St. Louis Cardinals
06-04-2019,118,7,Washington Nationals,New York Mets
06-04-2019,-111,8,Cincinnati Reds,Pittsburgh Pirates
06-04-2019,-120,7.5,San Diego Padres,St. Louis Cardinals
06-04-2019,-129,8.5,Chicago Cubs,Milwaukee Brewers
06-04-2019,-172,8.5,Miami Marlins,Atlanta Braves
06-04-2019,106,10,Los Angeles Dodgers,Colorado Rockies
06-04-2019,-122,9,Kansas City Royals,Detroit Tigers
06-04-2019,-105,9,Seattle Mariners,Chicago White Sox
06-04-2019,-160,8.5,Texas Rangers,Los Angeles Angels
06-04-2019,-194,8,Toronto Blue Jays,Cleveland Indians
06-04-2019,165,8.5,New York Yankees,Baltimore Orioles
06-04-2019,-135,9.5,Oakland Athletics,Houston Astros
06-04-2019,-148,8.5,Minnesota Twins,Philadelphia Phillies
06-04-2019,122,7.5,Tampa Bay Rays,San Francisco Giants
06-04-2019,122,9,Boston Red Sox,Arizona Diamondbacks
07-04-2019,118,6.5,Washington Nationals,New York Mets
07-04-2019,-170,8.5,Miami Marlins,Atlanta Braves
07-04-2019,-150,7.5,Cincinnati Reds,Pittsburgh Pirates
07-04-2019,-106,9,Chicago Cubs,Milwaukee Brewers
07-04-2019,-120,9,San Diego Padres,St. Louis Cardinals
07-04-2019,160,11.5,Los Angeles Dodgers,Colorado Rockies
07-04-2019,170,9,New York Yankees,Baltimore Orioles
07-04-2019,-160,7.5,Toronto Blue Jays,Cleveland Indians
07-04-2019,-104,9,Kansas City Royals,Detroit Tigers
07-04-2019,-180,9,Oakland Athletics,Houston Astros
07-04-2019,-116,9,Seattle Mariners,Chicago White Sox
07-04-2019,-117,9.5,Texas Rangers,Los Angeles Angels
07-04-2019,-134,8.5,Minnesota Twins,Philadelphia Phillies
07-04-2019,105,7,Tampa Bay Rays,San Francisco Giants
07-04-2019,-104,9.5,Boston Red Sox,Arizona Diamondbacks
08-04-2019,-130,8.5,Pittsburgh Pirates,Chicago Cubs
08-04-2019,-145,9.5,Washington Nationals,Philadelphia Phillies
08-04-2019,-107,8,Los Angeles Dodgers,St. Louis Cardinals
08-04-2019,-110,10.5,Atlanta Braves,Colorado Rockies
08-04-2019,-130,7,San Diego Padres,San Francisco Giants
08-04-2019,158,7.5,Tampa Bay Rays,Chicago White Sox
08-04-2019,152,10,Oakland Athletics,Baltimore Orioles
08-04-2019,-148,7.5,New York Yankees,Houston Astros
08-04-2019,100,10,Seattle Mariners,Kansas City Royals
08-04-2019,-104,9,Milwaukee Brewers,Los Angeles Angels
09-04-2019,-185,8.5,Miami Marlins,Cincinnati Reds
09-04-2019,-143,8,Washington Nationals,Philadelphia Phillies
09-04-2019,110,8.5,Los Angeles Dodgers,St. Louis Cardinals
09-04-2019,-108,10.5,Atlanta Braves,Colorado Rockies
09-04-2019,122,7.5,San Diego Padres,San Francisco Giants
09-04-2019,125,8,Cleveland Indians,Detroit Tigers
09-04-2019,-255,8,Toronto Blue Jays,Boston Red Sox
09-04-2019,160,8.5,Tampa Bay Rays,Chicago White Sox
09-04-2019,165,9.5,Oakland Athletics,Baltimore Orioles
09-04-2019,-196,8,New York Yankees,Houston Astros
09-04-2019,-110,9,Seattle Mariners,Kansas City Royals
09-04-2019,-260,6.5,Minnesota Twins,New York Mets
09-04-2019,-145,8.5,Texas Rangers,Arizona Diamondbacks
09-04-2019,128,8.5,Milwaukee Brewers,Los Angeles Angels
10-04-2019,-105,8,San Diego Padres,San Francisco Giants
10-04-2019,-155,9,Miami Marlins,Cincinnati Reds
10-04-2019,-157,9,Washington Nationals,Philadelphia Phillies
10-04-2019,-105,8,Los Angeles Dodgers,St. Louis Cardinals
10-04-2019,-167,7.5,Pittsburgh Pirates,Chicago Cubs
10-04-2019,135,7,Cleveland Indians,Detroit Tigers
10-04-2019,160,8.5,Tampa Bay Rays,Chicago White Sox
10-04-2019,165,9.5,Oakland Athletics,Baltimore Orioles
10-04-2019,-120,8,New York Yankees,Houston Astros
10-04-2019,145,9.5,Seattle Mariners,Kansas City Royals
10-04-2019,-190,7,Minnesota Twins,New York Mets
10-04-2019,-130,8,Texas Rangers,Arizona Diamondbacks
10-04-2019,160,8,Milwaukee Brewers,Los Angeles Angels
11-04-2019,-167,8.5,Miami Marlins,Cincinnati Reds
11-04-2019,124,8.5,Los Angeles Dodgers,St. Louis Cardinals
11-04-2019,-132,9,New York Mets,Atlanta Braves
11-04-2019,-126,9,Pittsburgh Pirates,Chicago Cubs
11-04-2019,-118,9,San Diego Padres,Arizona Diamondbacks
