Team,Park_1B_L,Park_1B_R,Park_2B_L,Park_2B_R,Park_3B_L,Park_3B_R,Park_HR_L,Park_HR_R
Los Angeles Angels,100,98,95,95,82,86,98,100
Baltimore Orioles,104,102,95,98,87,90,107,106
Boston Red Sox,103,103,127,107,115,94,90,101
Chicago White Sox,97,101,93,97,106,88,106,103
Cleveland Indians,103,100,109,102,86,84,105,98
Detroit Tigers,101,101,94,100,110,129,99,100
Kansas City Royals,101,101,104,107,117,110,91,93
Minnesota Twins,102,104,100,107,112,96,100,104
New York Yankees,98,101,96,93,82,85,118,108
Oakland Athletics,97,100,100,103,111,105,92,94
Seattle Mariners,97,98,94,93,84,91,100,99
Tampa Bay Rays,99,98,94,93,99,94,97,94
Texas Rangers,103,104,98,105,123,117,105,104
Toronto Blue Jays,99,96,107,103,105,99,101,102
Arizona Diamondbacks,101,99,107,106,118,136,104,104
Atlanta Braves,100,100,100,96,96,96,95,93
Chicago Cubs,100,97,101,97,100,111,93,106
Cincinnati Reds,98,99,95,104,100,92,110,108
Colorado Rockies,108,110,111,114,135,135,109,113
Miami Marlins,99,98,90,99,109,97,91,88
Houston Astros,97,97,95,96,110,100,101,100
Los Angeles Dodgers,95,96,99,100,76,73,105,97
Milwaukee Brewers,99,96,98,100,93,94,112,103
Washington Nationals,104,103,105,103,85,83,98,103
New York Mets,95,96,96,93,84,89,97,97
Philadelphia Phillies,97,100,97,97,97,92,106,114
Pittsburgh Pirates,101,102,103,100,85,105,101,89
St. Louis Cardinals,100,101,100,99,96,96,99,93
San Diego Padres,99,98,101,97,89,101,94,97
San Francisco Giants,102,100,102,96,129,109,83,88
