Team,Park_1B_L,Park_1B_R,Park_2B_L,Park_2B_R,Park_3B_L,Park_3B_R,Park_HR_L,Park_HR_R
Los Angeles Angels,100,98,94,96,88,86,104,100
Baltimore Orioles,103,102,99,98,94,89,107,110
Boston Red Sox,102,102,126,106,118,96,93,100
Chicago White Sox,96,100,89,97,102,83,108,104
Cleveland Indians,102,100,110,102,87,85,103,100
Detroit Tigers,102,101,98,101,118,125,102,100
Kansas City Royals,103,101,106,108,117,114,92,91
Minnesota Twins,103,102,101,106,106,97,98,102
New York Yankees,97,101,95,92,80,91,110,104
Oakland Athletics,96,99,98,103,101,107,91,94
Seattle Mariners,98,98,94,93,84,91,98,100
Tampa Bay Rays,99,97,92,95,101,101,98,94
Texas Rangers,104,106,102,107,118,114,105,104
Toronto Blue Jays,99,96,102,103,101,96,104,102
Arizona Diamondbacks,101,99,107,106,118,136,104,104
Atlanta Braves,100,103,101,103,89,94,99,96
Chicago Cubs,99,99,99,97,102,116,93,104
Cincinnati Reds,100,98,97,104,91,89,109,107
Colorado Rockies,108,109,110,116,130,144,109,111
Miami Marlins,98,99,91,98,107,95,92,89
Houston Astros,97,98,95,94,107,95,101,101
Los Angeles Dodgers,95,98,99,98,70,79,103,99
Milwaukee Brewers,98,96,99,101,96,98,107,103
Washington Nationals,103,103,107,103,92,87,103,108
New York Mets,96,94,93,92,86,84,97,98
Philadelphia Phillies,97,101,97,96,97,93,107,111
Pittsburgh Pirates,99,101,104,103,91,104,100,92
St. Louis Cardinals,101,102,98,97,90,96,98,92
San Diego Padres,100,98,102,96,88,98,93,98
San Francisco Giants,101,102,101,96,129,104,82,89
