ParkYear,Park,Park_RunsFactor,Park_HRFactor,Park_HFactor,Park_2BFactor,Park_3BFactor,Park_BBFactor
2018,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2017,Colorado Rockies,1.332,1.195,1.152,1.175,2.259,1.085
2017,Texas Rangers,1.215,1.127,1.135,1.185,1,1.184
2017,Arizona Diamondbacks,1.202,1.222,1.088,1.351,1.355,1.026
2017,Detroit Tigers,1.169,1.154,1.119,1.129,1.333,0.987
2017,Chicago Cubs,1.131,1.005,1.049,1.104,1.3,1.074
2017,Minnesota Twins,1.095,1.172,1.088,1.081,1.375,1.118
2017,Milwaukee Brewers,1.094,1.049,1.033,1.155,0.763,1.032
2017,Philadelphia Phillies,1.073,1.409,0.999,0.943,1.065,1.067
2017,Washington Nationals,1.057,1.04,1.11,1.075,0.636,0.964
2017,Boston Red Sox,1.026,0.824,1.103,1.156,0.75,0.958
2017,Baltimore Orioles,1.026,1.236,1.034,0.918,0.706,1.097
2017,Cincinnati Reds,1.02,1.094,0.94,1.007,1.222,1.044
2017,New York Yankees,1.019,1.279,0.935,0.811,0.75,0.979
2017,Chicago White Sox,1.003,1.162,0.927,0.876,0.816,1.066
2017,Atlanta Braves,0.976,0.951,1.019,1.057,0.722,0.91
2017,Cleveland Indians,0.971,0.974,0.988,1.017,0.64,0.931
2017,Los Angeles Dodgers,0.971,1.005,0.954,0.974,0.6,0.907
2017,Los Angeles Angels,0.949,0.971,0.998,0.876,0.722,0.815
2017,Pittsburgh Pirates,0.948,0.86,1.043,1.084,0.634,0.958
2017,Toronto Blue Jays,0.946,0.923,0.974,1.075,0.937,0.894
2017,Kansas City Royals,0.926,0.809,0.966,1.078,1.207,0.98
2017,Seattle Mariners,0.917,0.925,0.946,0.885,1.071,1.053
2017,Tampa Bay Rays,0.902,0.888,0.937,0.837,1.13,0.992
2017,St. Louis Cardinals,0.889,0.849,0.974,0.957,0.967,1
2017,New York Mets,0.858,0.798,0.88,0.899,0.7,0.986
2017,San Francisco Giants,0.85,0.615,0.968,1.003,1.048,0.938
2017,Miami Marlins,0.848,0.835,0.907,0.716,1.142,1.041
2017,San Diego Padres,0.828,0.781,0.887,0.859,1,0.98
2017,Houston Astros,0.826,1.009,0.9,0.81,0.654,0.927
2017,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2016,Colorado Rockies,1.368,1.265,1.231,1.405,1.39,1.078
2016,Arizona Diamondbacks,1.225,1.292,1.139,1.145,2.032,1.042
2016,Cleveland Indians,1.207,1.168,1.115,1.299,0.507,1.119
2016,Boston Red Sox,1.199,1.065,1.161,1.424,1.667,0.977
2016,Kansas City Royals,1.171,0.783,1.092,1.256,1.571,1.039
2016,Toronto Blue Jays,1.156,1.01,1.083,1.3,1.1,1.039
2016,Texas Rangers,1.156,1.049,1.1,1.052,1.813,1.029
2016,Atlanta Braves,1.059,0.77,1.009,0.9,0.936,1.135
2016,Minnesota Twins,1.044,1.014,1.064,1.081,1.031,0.875
2016,New York Yankees,1.035,1.377,0.982,0.871,0.5,1.033
2016,Detroit Tigers,1.019,1.138,0.984,0.884,1.904,0.945
2016,San Diego Padres,1.014,0.957,1.042,1.062,0.75,0.977
2016,San Francisco Giants,1.012,0.704,1.084,1.101,1.526,1.076
2016,Pittsburgh Pirates,1.007,0.8,1.013,1.034,1.769,1.007
2016,Cincinnati Reds,0.99,1.175,0.97,0.949,0.645,1.019
2016,New York Mets,0.988,1.09,0.887,0.838,0.455,1.168
2016,Milwaukee Brewers,0.972,1.126,0.961,1,1.037,0.977
2016,Washington Nationals,0.956,1.023,0.974,0.891,0.806,0.972
2016,Baltimore Orioles,0.953,1.009,0.967,0.834,0.846,0.975
2016,Seattle Mariners,0.941,1.158,0.953,0.963,0.538,1.029
2016,Chicago White Sox,0.927,1.101,0.96,0.89,1.071,0.933
2016,St. Louis Cardinals,0.921,0.901,0.972,0.914,0.543,0.914
2016,Los Angeles Angels,0.91,1.056,0.936,0.828,0.6,0.958
2016,Tampa Bay Rays,0.889,0.877,0.901,0.861,0.952,1.048
