Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SS,Grae Kessinger (17266446),Grae Kessinger,17266446,INF/UTIL,3300,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
3B,Davis Wendzel (17266442),Davis Wendzel,17266442,INF/UTIL,3300,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
C,Jack Kruger (17266448),Jack Kruger,17266448,INF/UTIL,3300,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
2B/3B,Robel Garcia (17266387),Robel Garcia,17266387,INF/UTIL,3200,SEA@HOU 04/26/2021 08:10PM ET,HOU,1.5
SS,Jeremy Pena (17266450),Jeremy Pena,17266450,INF/UTIL,3200,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
2B,Justin Foscue (17266452),Justin Foscue,17266452,INF/UTIL,3200,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Jordyn Adams (17266454),Jordyn Adams,17266454,OF/UTIL,3200,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
3B,Jonathan Ornelas (17266456),Jonathan Ornelas,17266456,INF/UTIL,3200,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
C,Michael Papierski (17266466),Michael Papierski,17266466,INF/UTIL,3100,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
C,Colton Shaver (17266470),Colton Shaver,17266470,INF/UTIL,3100,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
OF,Jarred Kelenic (17266472),Jarred Kelenic,17266472,OF/UTIL,3100,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
OF,Brennon Lund (17266458),Brennon Lund,17266458,OF/UTIL,3100,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Steele Walker (17266460),Steele Walker,17266460,OF/UTIL,3100,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
2B,Kean Wong (17266462),Kean Wong,17266462,INF/UTIL,3100,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Bubba Thompson (17266464),Bubba Thompson,17266464,OF/UTIL,3100,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Brandon Marsh (17266468),Brandon Marsh,17266468,OF/UTIL,3100,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
2B/SS,Donovan Walton (17266482),Donovan Walton,17266482,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
C,Garrett Stubbs (17266484),Garrett Stubbs,17266484,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
2B,Shed Long Jr. (17266486),Shed Long Jr.,17266486,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
C,Cal Raleigh (17266497),Cal Raleigh,17266497,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
1B/OF,Sam Travis (17266499),Sam Travis,17266499,OF/INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
OF,Jose Siri (17266502),Jose Siri,17266502,OF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
OF,Colin Barber (17266504),Colin Barber,17266504,OF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
SS,Jack Reinheimer (17266506),Jack Reinheimer,17266506,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
C,Brian O'Keefe (17266508),Brian O'Keefe,17266508,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
C,Jose Godoy (17266510),Jose Godoy,17266510,INF/UTIL,3000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
2B,Andy Ibanez (17266474),Andy Ibanez,17266474,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Juan Lagares (17266476),Juan Lagares,17266476,OF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
SS,Livan Soto (17266478),Livan Soto,17266478,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
3B/SS,Jack Mayfield (17266480),Jack Mayfield,17266480,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Jo Adell (17266488),Jo Adell,17266488,OF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
2B/OF,Phil Gosselin (17266490),Phil Gosselin,17266490,OF/INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
1B,Sherten Apostel (17266493),Sherten Apostel,17266493,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
3B,Josh Jung (17266495),Josh Jung,17266495,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
SS,Jeremiah Jackson (17266512),Jeremiah Jackson,17266512,INF/UTIL,3000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
