Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Erik Swanson (17266552),Erik Swanson,17266552,P,7200,SEA@HOU 04/26/2021 08:10PM ET,SEA,5.9
SP,Aaron Slegers (17266553),Aaron Slegers,17266553,P,7100,LAA@TEX 04/26/2021 08:05PM ET,LAA,2.47
2B,Nick Solak (17266298),Nick Solak,17266298,INF/UTIL,7000,LAA@TEX 04/26/2021 08:05PM ET,TEX,8.86
SP,Junior Guerra (17266554),Junior Guerra,17266554,P,7000,LAA@TEX 04/26/2021 08:05PM ET,LAA,4.16
SP,Ljay Newsome (17266555),Ljay Newsome,17266555,P,6800,SEA@HOU 04/26/2021 08:10PM ET,SEA,10
SS,Isiah Kiner-Falefa (17266300),Isiah Kiner-Falefa,17266300,INF/UTIL,6800,LAA@TEX 04/26/2021 08:05PM ET,TEX,7.5
1B,Yuli Gurriel (17266302),Yuli Gurriel,17266302,INF/UTIL,6700,SEA@HOU 04/26/2021 08:10PM ET,HOU,9.19
3B,Anthony Rendon (17266391),Anthony Rendon,17266391,INF/UTIL,6600,LAA@TEX 04/26/2021 08:05PM ET,LAA,7.5
SP,Kyle Cody (17266556),Kyle Cody,17266556,P,6600,LAA@TEX 04/26/2021 08:05PM ET,TEX,2.99
3B,Kyle Seager (17266304),Kyle Seager,17266304,INF/UTIL,6500,SEA@HOU 04/26/2021 08:10PM ET,SEA,7.48
SP,Robert Dugger (17266557),Robert Dugger,17266557,P,6500,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
1B/OF,Jared Walsh (17266306),Jared Walsh,17266306,OF/INF/UTIL,6400,LAA@TEX 04/26/2021 08:05PM ET,LAA,8.58
1B,Nate Lowe (17266309),Nate Lowe,17266309,INF/UTIL,6300,LAA@TEX 04/26/2021 08:05PM ET,TEX,8.82
C,Jason Castro (17266311),Jason Castro,17266311,INF/UTIL,6200,SEA@HOU 04/26/2021 08:10PM ET,HOU,8
OF,Adolis Garcia (17266313),Adolis Garcia,17266313,OF/UTIL,6100,LAA@TEX 04/26/2021 08:05PM ET,TEX,10.42
OF,Kyle Tucker (17266315),Kyle Tucker,17266315,OF/UTIL,6000,SEA@HOU 04/26/2021 08:10PM ET,HOU,6.81
C,Jonah Heim (17266317),Jonah Heim,17266317,INF/UTIL,5900,LAA@TEX 04/26/2021 08:05PM ET,TEX,5.86
OF,Mitch Haniger (17266319),Mitch Haniger,17266319,OF/UTIL,5800,SEA@HOU 04/26/2021 08:10PM ET,SEA,9.76
2B,Ty France (17266321),Ty France,17266321,INF/UTIL,5700,SEA@HOU 04/26/2021 08:10PM ET,SEA,8.76
