Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Wilson Ramos,0.305,0.439,0.172,0.283
Corey Dickerson,0.308,0.472,0.21,0.309
Jake Bauers,0.324,0.391,0.145,0.292
Lucas Duda,0.331,0.471,0.242,0.28
Adeiny Hechavarria,0.303,0.371,0.104,0.307
Brad Miller,0.329,0.425,0.184,0.299
Matt Duffy,0.308,0.387,0.13,0.299
Willy Adames,0.309,0.369,0.13,0.305
Daniel Robertson,0.314,0.345,0.115,0.296
Joey Wendle,0.278,0.377,0.136,0.289
Mallex Smith,0.304,0.342,0.099,0.313
Denard Span,0.324,0.392,0.126,0.291
Colby Rasmus,0.288,0.419,0.201,0.283
Christian Arroyo,0.294,0.374,0.124,0.295
Ryan Schimpf,0.29,0.409,0.216,0.259
Nick Ciuffo,0.264,0.32,0.101,0.288
Justin Williams,0.302,0.412,0.149,0.309
Trevor Plouffe,0.294,0.372,0.143,0.281
Jesus Sucre,0.276,0.331,0.087,0.283
Jason Coats,0.29,0.387,0.143,0.295
Danny Espinosa,0.274,0.329,0.139,0.269
Johnny Field,0.28,0.385,0.149,0.295
Michael McKenry,0.303,0.325,0.126,0.277
Kean Wong,0.291,0.33,0.085,0.295
Jake Cronenworth,0.296,0.297,0.075,0.291
Brandon Lowe,0.296,0.357,0.127,0.293
Brandon Snyder,0.28,0.373,0.164,0.287
Justin O'Conner,0.24,0.338,0.134,0.29
Joe McCarthy,0.319,0.34,0.111,0.288
Shane Peterson,0.286,0.383,0.143,0.303
Rickie Weeks,0.297,0.344,0.137,0.307
Peter Bourjos,0.269,0.339,0.124,0.283
Micah Johnson,0.281,0.322,0.1,0.296
Cade Gotta,0.274,0.32,0.097,0.279
Dalton Kelly,0.299,0.342,0.118,0.304
Jake Hager,0.265,0.305,0.077,0.284
Grant Kay,0.273,0.335,0.111,0.285
Lucius Fox,0.265,0.263,0.065,0.291
Josh Donaldson,0.375,0.533,0.262,0.296
Kevin Pillar,0.307,0.41,0.141,0.298
Russell Martin,0.342,0.397,0.165,0.284
Justin Smoak,0.34,0.491,0.235,0.291
Devon Travis,0.322,0.459,0.183,0.319
Troy Tulowitzki,0.313,0.412,0.165,0.273
Kendrys Morales,0.318,0.463,0.201,0.292
Anthony Alford,0.298,0.342,0.12,0.297
Danny Jansen,0.314,0.364,0.115,0.28
Teoscar Hernandez,0.298,0.416,0.179,0.304
Bo Bichette,0.304,0.44,0.187,0.303
Reese McGuire,0.298,0.35,0.118,0.264
Vladimir Guerrero Jr.,0.32,0.4,0.152,0.278
Steve Pearce,0.33,0.463,0.204,0.286
Christian Lopes,0.309,0.352,0.107,0.299
Jonathan Davis,0.287,0.329,0.126,0.281
Chris Coghlan,0.331,0.399,0.154,0.304
Miguel Montero,0.32,0.365,0.137,0.276
Dalton Pompey,0.298,0.34,0.11,0.295
Tim Lopes,0.29,0.33,0.092,0.297
Edward Olivares,0.276,0.386,0.155,0.281
Raffy Lopez,0.293,0.355,0.125,0.3
Darwin Barney,0.289,0.34,0.095,0.283
Connor Panas,0.276,0.373,0.166,0.277
Gregorio Petit,0.267,0.349,0.114,0.286
Michael Saunders,0.307,0.406,0.167,0.298
Rowdy Tellez,0.302,0.406,0.163,0.287
Gift Ngoepe,0.254,0.322,0.142,0.285
Dwight Smith Jr.,0.299,0.368,0.128,0.285
Lourdes Gurriel Jr.,0.289,0.376,0.135,0.268
Ezequiel Carrera,0.318,0.366,0.117,0.31
Jose Bautista,0.317,0.382,0.167,0.256
Cavan Biggio,0.287,0.323,0.111,0.297
Luke Maile,0.245,0.305,0.108,0.242
Jon Berti,0.283,0.324,0.099,0.29
Shane Opitz,0.271,0.314,0.084,0.278
Jason Leblebijian,0.268,0.351,0.137,0.3
Darrell Ceciliani,0.273,0.376,0.146,0.294
Mike Ohlman,0.274,0.351,0.149,0.296
Ryan Goins,0.277,0.337,0.108,0.278
Jarrod Saltalamacchia,0.258,0.316,0.153,0.263
Roemon Fields,0.265,0.276,0.057,0.285
Ian Parmley,0.251,0.25,0.047,0.29
Max Pentecost,0.263,0.348,0.125,0.29
Richard Urena,0.264,0.342,0.113,0.289
Andrew Guillotte,0.273,0.303,0.085,0.278
Derrick Loveless,0.277,0.299,0.111,0.289
Harold Ramirez,0.282,0.334,0.095,0.287
Jose Abreu,0.34,0.506,0.22,0.312
Yoan Moncada,0.337,0.404,0.158,0.328
Eloy Jimenez,0.313,0.492,0.23,0.325
Yolmer Sanchez,0.297,0.387,0.138,0.302
Avisail Garcia,0.335,0.435,0.154,0.339
Welington Castillo,0.299,0.421,0.18,0.295
Nicky Delmonico,0.315,0.442,0.199,0.298
Tim Anderson,0.274,0.389,0.136,0.329
Leury Garcia,0.3,0.391,0.134,0.312
Zack Collins,0.305,0.367,0.175,0.285
Kevan Smith,0.297,0.368,0.119,0.289
