Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Cedric Mullins,0.3,0.4,0.152,0.287
Jonathan Villar,0.312,0.385,0.14,0.323
Renato Nunez,0.292,0.43,0.193,0.28
Ryan McKenna,0.307,0.347,0.114,0.305
Trey Mancini,0.311,0.451,0.193,0.312
Hanser Alberto,0.276,0.368,0.11,0.272
Rio Ruiz,0.294,0.363,0.135,0.285
Mark Trumbo,0.291,0.442,0.203,0.275
Adam Jones,0.301,0.414,0.15,0.29
Colby Rasmus,0.285,0.417,0.202,0.275
Martin Cervenka,0.269,0.355,0.132,0.278
Richie Martin,0.295,0.327,0.093,0.299
Mike Yastrzemski,0.288,0.371,0.151,0.285
Austin Hays,0.28,0.415,0.162,0.294
Chance Sisco,0.316,0.354,0.116,0.341
Rylan Bannon,0.299,0.38,0.17,0.269
Jace Peterson,0.317,0.328,0.106,0.282
Corban Joseph,0.299,0.364,0.114,0.267
Austin Wynns,0.285,0.341,0.107,0.29
Drew Jackson,0.289,0.317,0.108,0.287
Joey Rickard,0.309,0.371,0.131,0.296
Audry Perez,0.281,0.368,0.118,0.282
Ryan Mountcastle,0.278,0.395,0.147,0.296
Caleb Joseph,0.263,0.327,0.107,0.279
Carlos Perez,0.269,0.359,0.139,0.251
Andrew Susac,0.288,0.364,0.164,0.265
Yusniel Diaz,0.331,0.381,0.125,0.318
Danny Valencia,0.312,0.413,0.157,0.304
Chris Davis,0.291,0.382,0.187,0.283
Anthony Santander,0.296,0.403,0.151,0.298
Zach Vincej,0.284,0.325,0.095,0.272
Craig Gentry,0.277,0.284,0.064,0.284
Luis Sardinas,0.283,0.333,0.086,0.29
DJ Stewart,0.309,0.373,0.152,0.279
Brett Cumberland,0.295,0.324,0.145,0.272
Stevie Wilkerson,0.274,0.302,0.086,0.304
Sharlon Schoop,0.257,0.301,0.104,0.26
Ruben Tejada,0.289,0.307,0.077,0.277
Chris Bostick,0.293,0.347,0.116,0.3
Drew Dosch,0.271,0.335,0.115,0.305
Adrian Marin,0.258,0.274,0.059,0.283
Jaycob Brugman,0.282,0.343,0.123,0.285
Engelb Vielma,0.255,0.243,0.035,0.277
Erick Salcedo,0.259,0.274,0.053,0.259
Anderson Feliz,0.258,0.313,0.112,0.282
Garabez Rosa,0.261,0.339,0.097,0.311
Mookie Betts,0.379,0.528,0.228,0.316
J.D. Martinez,0.361,0.561,0.272,0.342
Xander Bogaerts,0.351,0.461,0.176,0.327
Andrew Benintendi,0.36,0.462,0.179,0.324
Jackie Bradley Jr.,0.326,0.428,0.182,0.307
Rafael Devers,0.32,0.48,0.215,0.309
Ian Kinsler,0.317,0.386,0.134,0.273
Dustin Pedroia,0.336,0.37,0.099,0.298
Eduardo Nunez,0.31,0.407,0.127,0.31
Michael Chavis,0.299,0.449,0.207,0.31
Mitch Moreland,0.314,0.418,0.178,0.289
Brock Holt,0.349,0.385,0.119,0.329
