Player,OP_BABIP_zips,OP_ERA-_zips
Dylan Bundy,0.293,106
Mychal Givens,0.292,74
Alex Cobb,0.297,105
Paul Fry,0.297,91
Tanner Scott,0.307,86
Richard Bleier,0.293,83
Donnie Hart,0.305,88
Jimmy Yacabonis,0.297,114
Mike Wright,0.303,116
Miguel Castro,0.282,106
Cody Carroll,0.301,103
Gregory Infante,0.299,104
Zach Pop,0.305,106
Tanner Chleborad,0.298,106
Josh Lucas,0.305,107
Jhan Marinez,0.303,108
Chris Lee,0.304,123
Josh Rogers,0.306,126
John Means,0.306,126
Hunter Harvey,0.296,119
Branden Kline,0.299,110
Dean Kremer,0.322,126
Andrew Cashner,0.298,127
Bruce Zimmermann,0.311,127
D.J. Snelten,0.306,112
Matt Wotherspoon,0.301,123
Dillon Tate,0.303,128
Gabriel Ynoa,0.307,127
Zach Muckenhirn,0.302,114
Keegan Akin,0.299,128
Austin Brice,0.298,116
Luis H. Gonzalez,0.301,116
Pedro Araujo,0.302,121
Eddie Gamboa,0.295,132
Andrew Faulkner,0.3,122
Sean Gilmartin,0.305,131
Luis Ortiz,0.307,133
Joely Rodriguez,0.304,126
David Hess,0.296,133
Evan Phillips,0.302,130
Lucas Long,0.304,134
Yefry Ramirez,0.296,136
Brian Gonzalez,0.304,137
Jay Flaa,0.295,140
Jordan Kipper,0.307,141
Matthew Grimes,0.304,142
Tim Melville,0.302,152
Chris Sale,0.292,59
David Price,0.298,86
Eduardo Rodriguez,0.301,91
Rick Porcello,0.309,99
Nathan Eovaldi,0.313,90
Craig Kimbrel,0.282,63
Matthew Kent,0.318,109
Drew Pomeranz,0.299,104
Chandler Shepherd,0.311,109
Matt Barnes,0.313,80
Joe Kelly,0.299,81
Dedgar Jimenez,0.308,112
Steven Wright,0.288,101
Hector Velazquez,0.304,104
Justin Haley,0.31,111
Heath Hembree,0.305,87
Ryan Brasier,0.291,86
Carson Smith,0.299,68
Mike Shawaryn,0.303,118
Colten Brewer,0.307,90
Marcus Walden,0.302,102
William Cuevas,0.306,117
Travis Lakins,0.309,105
Brandon Workman,0.299,98
Bobby Poyner,0.305,98
Fernando Rodriguez Jr.,0.297,107
Robby Scott,0.297,101
Darwinzon Hernandez,0.303,120
Bryan Mata,0.303,120
Mark Montgomery,0.302,104
Denyi Reyes,0.296,125
Josh Taylor,0.309,108
Trevor Kelley,0.305,109
Matthew Gorst,0.299,113
Tyler Thornburg,0.286,114
Domingo Tapia,0.307,120
Tanner Houck,0.306,132
Teddy Stankiewicz,0.31,135
Luis Severino,0.3,76
James Paxton,0.301,80
Masahiro Tanaka,0.287,86
J.A. Happ,0.283,87
CC Sabathia,0.294,94
Chad Green,0.294,61
Michael King,0.298,105
Jordan Montgomery,0.294,99
Dellin Betances,0.3,62
Aroldis Chapman,0.29,59
Brian Keller,0.303,110
Garrett Whitlock,0.3,110
Adam Ottavino,0.281,80
Jonathan Loaisiga,0.304,100
Jonathan Holder,0.297,81
Zack Britton,0.286,74
Domingo German,0.3,110
Luis Cessa,0.295,111
Nestor Cortes Jr.,0.3,113
Raynel Espinal,0.307,96
Phillip Diehl,0.305,92
Domingo Acevedo,0.3,112
Stephen Tarpley,0.297,90
Trevor Stephan,0.302,118
Tommy Kahnle,0.305,88
Daniel Coulombe,0.293,91
Ben Heller,0.294,86
Matt Wivinis,0.3,96
Adonis Rosa,0.305,122
Drew Hutchison,0.301,122
Chance Adams,0.294,123
Matt Frawley,0.302,104
Trevor Lane,0.302,102
David Sosebee,0.295,102
David Hale,0.304,124
Danny Farquhar,0.294,105
James Reeves,0.296,111
Joe Harvey,0.295,107
Nick Nelson,0.301,128
J.P. Feyereisen,0.302,110
Cale Coshow,0.302,117
Albert Abreu,0.301,137
Rex Brothers,0.308,122
Hobie Harris,0.3,125
Brady Lail,0.301,133
Blake Snell,0.286,74
Charlie Morton,0.295,85
Tyler Glasnow,0.297,97
Brent Honeywell,0.305,93
Yonny Chirinos,0.296,103
Diego Castillo,0.293,80
Anthony Banda,0.297,102
Jose Alvarado,0.292,74
Ryan Yarbrough,0.293,106
Ryan Merritt,0.297,107
Jalen Beeks,0.298,109
Austin Pruitt,0.301,102
Colin Poche,0.296,76
Ryne Stanek,0.29,95
Hunter Wood,0.297,103
Curtis Taylor,0.299,97
Travis Ott,0.301,101
Adam Kolarek,0.296,88
Jacob Faria,0.29,116
Andrew Kittredge,0.303,99
Wilmer Font,0.297,110
Oliver Drake,0.301,86
Chaz Roe,0.29,88
Cole Sulser,0.297,90
Ian Gibaut,0.295,90
Zach Lee,0.3,121
Blake Bivens,0.301,117
Jose De Leon,0.296,118
Emilio Pagan,0.291,99
Jose Mujica,0.295,124
Brandon Lawson,0.303,122
Matt Krook,0.301,117
Hoby Milner,0.293,102
Ryan Sherriff,0.295,102
Mike Franco,0.298,119
Andrew Moore,0.291,130
Cody Hall,0.296,119
Casey Sadler,0.298,127
Dalton Moats,0.301,132
Tyler Cloyd,0.298,135
Mike Broadway,0.296,130
Ricardo Pinto,0.297,135
Luis Santos,0.293,135
Jordan Harrison,0.297,128
Benton Moss,0.299,138
Ian Gardeck,0.295,133
Marcus Stroman,0.303,95
Aaron Sanchez,0.292,97
Ryan Borucki,0.302,112
Matt Shoemaker,0.304,105
Trent Thornton,0.307,112
Mike Hauschild,0.309,110
Ken Giles,0.32,84
Sean Reid-Foley,0.303,115
Jacob Waguespack,0.307,108
Ryan Tepera,0.29,91
Marco Estrada,0.288,116
David Paulino,0.302,100
Tyler Clippard,0.287,95
Clayton Richard,0.312,118
T.J. Zeuch,0.298,120
Tim Mayza,0.304,98
Jake Petricka,0.311,99
Patrick Murphy,0.296,121
Sam Gaviglio,0.301,123
Joe Biagini,0.304,117
Danny Barnes,0.3,103
Justin Shafer,0.295,105
Sam Moll,0.31,102
Zach Stewart,0.304,122
Travis Bergen,0.298,103
Elvis Luciano,0.297,119
Conor Fisk,0.297,111
Murphy Smith,0.305,121
Rhiner Cruz,0.307,112
Mark Leiter,0.302,113
Hector Perez,0.304,126
Thomas Pannone,0.3,128
Danny Young,0.297,115
Julian Merryweather,0.313,128
Zach G. Jackson,0.298,116
Corey Copping,0.303,116
Shawn Morimando,0.312,130
