Player,OP_BABIP_zips,OP_ERA-_zips
Kevin Gausman,0.301,96
Dylan Bundy,0.283,93
Mychal Givens,0.289,75
Brad Brach,0.279,73
Zach Britton,0.28,65
Darren O'Day,0.286,70
Jeremy Hellickson,0.287,112
Ryan Meisinger,0.294,87
Tanner Scott,0.298,102
Wade Miley,0.305,113
Ubaldo Jimenez,0.301,113
Donnie Hart,0.297,89
Mike Wright,0.296,113
Richard Bleier,0.29,95
Stefan Crichton,0.302,102
Jason Gurka,0.301,97
Miguel Castro,0.288,102
Perci Garner,0.302,97
Matt Wotherspoon,0.298,109
Jeff Ferrell,0.302,101
Chris Tillman,0.288,120
Jason Garcia,0.297,114
Gabriel Ynoa,0.299,119
Josh Edgin,0.299,99
Hunter Harvey,0.286,98
Chris Lee,0.3,120
Tyler Wilson,0.299,121
Jhan Marinez,0.302,107
Andrew Faulkner,0.291,110
Jimmy Yacabonis,0.294,113
Zach Stewart,0.301,124
Bobby Bundy,0.297,119
Paco Rodriguez,0.293,126
Joely Rodriguez,0.3,115
Alec Asher,0.296,128
Lucas Long,0.299,128
John Means,0.3,129
Keegan Akin,0.298,132
Lucas Luetge,0.294,129
Asher Wojciechowski,0.306,132
Jayson Aquino,0.298,129
Brandon Barker,0.298,131
Jefri Hernandez,0.299,129
David Hess,0.296,134
Tim Berry,0.299,136
Yefry Ramirez,0.295,138
Jesus Liranzo,0.293,151
Christian Binford,0.302,137
Jordan Kipper,0.3,140
Konner Wade,0.302,156
Luis Lugo,0.298,168
Chris Sale,0.289,65
David Price,0.302,79
Drew Pomeranz,0.285,81
Rick Porcello,0.307,91
Eduardo Rodriguez,0.294,88
Craig Kimbrel,0.283,53
Joe Kelly,0.295,74
Steven Wright,0.288,101
Heath Hembree,0.302,80
Hector Velazquez,0.303,105
Matt Barnes,0.297,84
Brian Johnson,0.3,107
Jalen Beeks,0.302,110
Carson Smith,0.303,81
Justin Haley,0.306,106
Marcus Walden,0.299,104
Edgar Olmos,0.299,97
Tyler Thornburg,0.288,84
Fernando Abad,0.279,84
Bobby Poyner,0.302,93
Robbie Ross Jr.,0.311,89
Roenis Elias,0.298,113
Brandon Workman,0.297,95
Chandler Shepherd,0.303,99
Kevin McAvoy,0.303,117
Robby Scott,0.293,103
Travis Lakins,0.307,115
Erik Cordier,0.299,100
Andy Ferguson,0.301,122
Teddy Stankiewicz,0.306,122
William Cuevas,0.301,123
Ty Buttrey,0.306,119
Trevor Kelley,0.299,113
Ben Taylor,0.308,118
Austin Maddox,0.297,117
Elih Villanueva,0.304,125
Williams Jerez,0.307,119
Jake Cosart,0.299,121
Shawn Haviland,0.3,129
Kyle Kendrick,0.301,131
Kyle Martin,0.301,133
Yankory Pimentel,0.299,144
Trey Ball,0.309,139
Luis Severino,0.294,71
Masahiro Tanaka,0.282,82
Sonny Gray,0.275,86
Jordan Montgomery,0.29,96
Aroldis Chapman,0.291,55
David Robertson,0.283,62
CC Sabathia,0.293,99
Chad Green,0.291,67
Dellin Betances,0.3,67
Chance Adams,0.289,103
Tommy Kahnle,0.295,71
Jaime Garcia,0.289,107
Adam Warren,0.277,78
Jonathan Holder,0.301,76
Domingo German,0.296,104
Giovanny Gallegos,0.296,82
Ben Heller,0.294,87
Domingo Acevedo,0.297,113
Justus Sheffield,0.293,111
Chasen Shreve,0.293,86
David Sosebee,0.293,97
Josh Rogers,0.297,119
Luis Cessa,0.291,118
Brody Koerner,0.295,120
Cody Carroll,0.297,111
Cale Coshow,0.3,116
J.P. Feyereisen,0.295,111
Dan Camarena,0.293,125
Dillon Tate,0.296,129
Albert Abreu,0.295,143
Brady Lail,0.291,141
Chris Archer,0.3,77
Blake Snell,0.294,87
Alex Cobb,0.286,88
Jake Faria,0.289,92
Brent Honeywell,0.3,90
Jake Odorizzi,0.273,96
Matt Andriese,0.295,96
Yonny Chirinos,0.293,102
Alex Colome,0.293,82
Ryan Yarbrough,0.292,105
Nathan Eovaldi,0.295,101
Andrew Kittredge,0.292,87
Dan Jennings,0.292,80
Chih-Wei Hu,0.293,102
Diego Castillo,0.294,88
Austin Pruitt,0.302,107
Jose De Leon,0.297,102
Chaz Roe,0.295,85
Sergio Romo,0.281,91
Kyle Bird,0.296,99
Colton Murray,0.296,96
Xavier Cedeno,0.295,91
Jose Alvarado,0.292,97
Ryne Stanek,0.295,100
Vidal Nuno,0.291,99
Adam Kolarek,0.297,99
Cody Hall,0.3,102
Ian Gibaut,0.296,105
Ruben Alaniz,0.302,110
Edwin Fierro,0.295,116
Hunter Wood,0.295,119
Jaime Schultz,0.298,121
Jonny Venters,0.3,110
Logan Verrett,0.291,116
Taylor Guerrieri,0.291,121
Mike Franco,0.295,125
Kyle Winkler,0.298,129
Jeff Ames,0.295,128
Genesis Cabrera,0.299,133
Michael Roth,0.297,137
