Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Trey Mancini,0.337,0.495,0.222,0.318
Austin Hays,0.289,0.441,0.191,0.287
Jose Iglesias,0.302,0.379,0.113,0.291
Hanser Alberto,0.3,0.396,0.117,0.29
Adley Rutschman,0.29,0.365,0.139,0.269
Rio Ruiz,0.307,0.386,0.15,0.287
Dilson Herrera,0.291,0.414,0.189,0.282
Renato Nunez,0.304,0.461,0.22,0.277
Cedric Mullins,0.287,0.377,0.143,0.271
Chance Sisco,0.327,0.396,0.159,0.319
Jose Rondon,0.281,0.406,0.169,0.288
Pat Valaika,0.26,0.397,0.179,0.277
Martin Cervenka,0.261,0.341,0.131,0.284
Austin Wynns,0.293,0.341,0.101,0.284
Mason Williams,0.305,0.381,0.126,0.301
Anthony Santander,0.294,0.425,0.174,0.29
Ryan Mountcastle,0.291,0.434,0.172,0.308
Carlos Perez,0.256,0.36,0.144,0.238
Rylan Bannon,0.295,0.373,0.15,0.271
DJ Stewart,0.316,0.407,0.177,0.273
Pedro Severino,0.294,0.368,0.137,0.27
Brett Cumberland,0.297,0.332,0.145,0.265
Dwight Smith Jr.,0.303,0.396,0.155,0.284
Richie Martin Jr.,0.275,0.331,0.115,0.278
Jesus Sucre,0.275,0.303,0.069,0.274
Ryan McKenna,0.3,0.35,0.122,0.292
Mason McCoy,0.276,0.31,0.079,0.293
Steve Wilkerson,0.28,0.342,0.12,0.304
Mark Trumbo,0.288,0.456,0.221,0.268
Jesmuel Valentin,0.284,0.324,0.107,0.281
Jack Reinheimer,0.283,0.304,0.084,0.279
Yusniel Diaz,0.31,0.399,0.161,0.292
Chris Bostick,0.296,0.369,0.131,0.304
Angelo Mora,0.272,0.342,0.113,0.296
Engelb Vielma,0.257,0.245,0.047,0.275
Zach Vincej,0.276,0.329,0.099,0.268
Chris Davis,0.279,0.345,0.159,0.277
Malquin Canelo,0.256,0.291,0.088,0.294
Cole Billingsley,0.262,0.269,0.064,0.259
Ademar Rifaela,0.263,0.353,0.139,0.297
Jomar Reyes,0.256,0.332,0.106,0.272
Anderson Feliz,0.262,0.304,0.101,0.291
Preston Palmeiro,0.252,0.32,0.113,0.275
Mookie Betts,0.383,0.531,0.235,0.312
Xander Bogaerts,0.36,0.499,0.211,0.322
Rafael Devers,0.344,0.53,0.239,0.316
J.D. Martinez,0.365,0.547,0.256,0.342
Andrew Benintendi,0.345,0.438,0.169,0.322
Christian Vazquez,0.309,0.415,0.151,0.299
Jackie Bradley Jr.,0.32,0.429,0.193,0.293
Brock Holt,0.349,0.389,0.125,0.326
Jose Peraza,0.315,0.385,0.11,0.309
Michael Chavis,0.304,0.459,0.217,0.312
Bobby Dalbec,0.3,0.404,0.185,0.315
Mitch Moreland,0.313,0.433,0.194,0.279
Kevin Plawecki,0.32,0.387,0.141,0.288
Dustin Pedroia,0.329,0.359,0.093,0.296
Jarren Duran,0.311,0.364,0.097,0.339
Tzu-Wei Lin,0.295,0.347,0.106,0.308
Rusney Castillo,0.305,0.387,0.116,0.308
John Andreoli,0.313,0.351,0.136,0.304
Chad de la Guerra,0.282,0.373,0.149,0.3
Jantzen Witte,0.294,0.355,0.115,0.302
Tommy Joseph,0.293,0.444,0.2,0.288
Jett Bandy,0.266,0.363,0.157,0.247
Tony Renda,0.305,0.374,0.114,0.295
Steve Pearce,0.302,0.371,0.152,0.277
Josh Ockimey,0.31,0.393,0.184,0.302
C.J. Chatham,0.284,0.345,0.09,0.326
Juan Centeno,0.294,0.336,0.09,0.29
Triston Casas,0.283,0.394,0.178,0.285
Josh Tobias,0.287,0.334,0.101,0.307
