Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Austin Hedges,0.159,0.274,0.275,0.4
Derek Norris,0.15,0.284,0.298,0.375
Travis Jankowski,0.075,0.313,0.312,0.317
Hunter Renfroe,0.186,0.295,0.278,0.426
Christian Bethancourt,0.125,0.293,0.274,0.37
Jabari Blash,0.216,0.296,0.319,0.435
Cory Spangenberg,0.145,0.328,0.319,0.406
Carlos Asuaje,0.123,0.292,0.301,0.366
Alex Dickerson,0.172,0.297,0.313,0.429
Luis Urias,0.099,0.266,0.314,0.347
Adam Rosales,0.156,0.304,0.304,0.388
Jose Rondon,0.099,0.287,0.275,0.343
Rocky Gale,0.071,0.28,0.282,0.307
Casey McElroy,0.096,0.282,0.298,0.33
Josh VanMeter,0.131,0.279,0.298,0.366
Brett Wallace,0.149,0.303,0.302,0.377
Jose Pirela,0.122,0.282,0.293,0.372
Ty France,0.128,0.284,0.319,0.359
Jemile Weeks,0.084,0.278,0.299,0.308
Javier Guerra,0.143,0.29,0.242,0.338
Oswaldo Arcia,0.204,0.293,0.292,0.431
Nick Noonan,0.082,0.289,0.256,0.298
Jason Hagerty,0.148,0.284,0.303,0.378
Michael Gettys,0.119,0.305,0.246,0.319
Franchy Cordero,0.118,0.301,0.263,0.335
Taylor Lindsey,0.133,0.274,0.287,0.358
Stephen McGee,0.072,0.276,0.281,0.272
Luis Sardinas,0.057,0.293,0.278,0.298
Nick Torres,0.118,0.304,0.266,0.345
Hector Sanchez,0.152,0.277,0.287,0.391
Jamie Romak,0.177,0.277,0.271,0.386
Mike Olt,0.168,0.273,0.271,0.36
Josh Naylor,0.121,0.31,0.286,0.375
Buster Posey,0.156,0.304,0.359,0.451
Brandon Crawford,0.16,0.305,0.328,0.421
Brandon Belt,0.193,0.334,0.365,0.46
Joe Panik,0.119,0.289,0.332,0.388
Eduardo Nunez,0.132,0.313,0.319,0.415
Hunter Pence,0.18,0.318,0.335,0.456
Denard Span,0.102,0.296,0.328,0.372
Jarrett Parker,0.174,0.335,0.312,0.398
Gorkys Hernandez,0.1,0.305,0.31,0.348
Tim Federowicz,0.116,0.316,0.292,0.361
Kelby Tomlinson,0.069,0.312,0.312,0.32
Ehire Adrianza,0.111,0.286,0.304,0.353
Christian Arroyo,0.1,0.304,0.286,0.352
C.J. Hinojosa,0.115,0.29,0.297,0.363
Miguel Gomez,0.131,0.296,0.293,0.402
Gordon Beckham,0.122,0.272,0.297,0.363
Conor Gillaspie,0.143,0.291,0.307,0.405
Austin Slater,0.128,0.309,0.303,0.372
Mac Williamson,0.156,0.303,0.303,0.394
Kyle Blanks,0.161,0.333,0.326,0.418
Hak-Ju Lee,0.092,0.302,0.285,0.306
Juniel Querecuto,0.087,0.304,0.289,0.332
Angel Pagan,0.1,0.3,0.315,0.368
Chris Marrero,0.153,0.3,0.309,0.414
Diego Goris,0.103,0.289,0.267,0.347
Jimmy Rollins,0.122,0.267,0.296,0.355
Trevor Brown,0.088,0.281,0.281,0.324
Wynton Bernard,0.093,0.301,0.298,0.341
Grant Green,0.107,0.309,0.289,0.369
Gregor Blanco,0.101,0.307,0.333,0.356
Ryan Lollis,0.082,0.279,0.299,0.327
Ramiro Pena,0.087,0.3,0.305,0.348
Steven Lerud,0.066,0.284,0.29,0.258
Miguel Olivo,0.163,0.291,0.242,0.368
Darren Ford,0.074,0.284,0.275,0.293
Ryder Jones,0.133,0.278,0.267,0.371
Orlando Calixte,0.101,0.296,0.272,0.331
Carlos Moncrief,0.128,0.292,0.293,0.352
Tyler Horan,0.155,0.289,0.274,0.366
Dylan Davis,0.128,0.31,0.29,0.358
Steven Duggar,0.102,0.304,0.299,0.331
Travis Ishikawa,0.119,0.295,0.285,0.334
Chris Shaw,0.168,0.296,0.279,0.396
Hunter Cole,0.133,0.301,0.272,0.361
Jeff Arnold,0.11,0.278,0.232,0.283
Ricky Oropesa,0.126,0.294,0.264,0.331
Angel Villalona,0.114,0.282,0.251,0.312
Bryce Harper,0.241,0.316,0.406,0.521
Trea Turner,0.163,0.346,0.331,0.445
Anthony Rendon,0.173,0.305,0.343,0.443
Daniel Murphy,0.175,0.317,0.345,0.479
Wilson Ramos,0.161,0.292,0.312,0.433
Danny Espinosa,0.151,0.285,0.297,0.368
Raudy Read,0.125,0.292,0.298,0.378
Pedro Severino,0.087,0.303,0.303,0.348
Wilmer Difo,0.112,0.302,0.29,0.363
Spencer Kieboom,0.098,0.294,0.301,0.335
Brian Goodwin,0.133,0.312,0.298,0.362
Michael A. Taylor,0.142,0.322,0.288,0.368
Stephen Drew,0.187,0.251,0.299,0.412
Ben Revere,0.071,0.301,0.312,0.349
Andrew Stevenson,0.076,0.313,0.298,0.33
Matt Skole,0.174,0.296,0.315,0.403
Jose Lobaton,0.116,0.28,0.301,0.342
Chris Heisey,0.182,0.264,0.302,0.405
Scott Sizemore,0.118,0.291,0.311,0.342
Brian Jeroloman,0.069,0.287,0.304,0.274
Matt den Dekker,0.131,0.292,0.293,0.355
Rafael Bautista,0.063,0.309,0.299,0.316
Adrian Sanchez,0.07,0.288,0.279,0.314
Brandon Snyder,0.17,0.312,0.276,0.397
Jason Martinson,0.143,0.305,0.256,0.336
Jayson Werth,0.154,0.278,0.313,0.386
Ryan Zimmerman,0.163,0.273,0.295,0.401
Drew Ward,0.13,0.32,0.287,0.351
Osvaldo Abreu,0.095,0.302,0.289,0.327
Clint Robinson,0.122,0.283,0.318,0.365
Jose Marmolejos,0.137,0.313,0.297,0.379
Neftali Soto,0.1,0.3,0.283,0.342
Jose Lozada,0.034,0.29,0.263,0.248
Drew Vettleson,0.107,0.292,0.24,0.301
Steve Lombardozzi,0.046,0.289,0.288,0.296
Caleb Ramsey,0.069,0.298,0.289,0.307
Christian Yelich,0.152,0.345,0.359,0.433
Giancarlo Stanton,0.281,0.307,0.351,0.535
Martin Prado,0.107,0.307,0.332,0.391
J.T. Realmuto,0.134,0.318,0.316,0.408
Marcell Ozuna,0.173,0.313,0.317,0.438
Dee Gordon,0.078,0.334,0.322,0.363
Derek Dietrich,0.173,0.304,0.335,0.42
Tomas Telis,0.094,0.283,0.295,0.35
Justin Bour,0.172,0.292,0.334,0.435
Adeiny Hechavarria,0.087,0.288,0.291,0.339
Brian Anderson,0.126,0.288,0.291,0.356
Moises Sierra,0.127,0.322,0.314,0.389
Xavier Scruggs,0.168,0.303,0.324,0.401
Matt Juengel,0.136,0.281,0.29,0.382
Ramon Cabrera,0.075,0.29,0.296,0.331
