Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Scott Schebler,0.199,0.306,0.314,0.449
Phil Ervin,0.163,0.287,0.309,0.395
Tucker Barnhart,0.098,0.295,0.316,0.35
Brandon Phillips,0.104,0.297,0.306,0.377
Arismendy Alcantara,0.179,0.3,0.277,0.409
Aristides Aquino,0.174,0.31,0.288,0.421
Chad Wallach,0.112,0.286,0.309,0.336
Rob Brantly,0.15,0.275,0.276,0.397
Alex Blandino,0.134,0.306,0.304,0.364
Devin Mesoraco,0.192,0.266,0.318,0.43
Tony Renda,0.092,0.286,0.309,0.347
Stuart Turner,0.097,0.276,0.278,0.315
Patrick Kivlehan,0.16,0.297,0.284,0.396
Adrian Nieto,0.12,0.288,0.283,0.322
Zach Vincej,0.081,0.304,0.289,0.318
Carlos Triunfel,0.117,0.293,0.262,0.356
Taylor Sparks,0.172,0.3,0.25,0.369
Blake Trahan,0.084,0.263,0.278,0.312
Hernan Iribarren,0.069,0.3,0.296,0.314
Raffy Lopez,0.092,0.294,0.286,0.315
Shawn Zarraga,0.07,0.298,0.311,0.319
Kyle Skipworth,0.201,0.291,0.244,0.38
Eric Jagielo,0.167,0.291,0.276,0.368
Brandon Allen,0.149,0.262,0.297,0.364
Chris Berset,0.06,0.281,0.278,0.282
Sebastian Elizalde,0.13,0.306,0.29,0.377
Yorman Rodriguez,0.151,0.316,0.275,0.38
Brandon Dixon,0.146,0.308,0.253,0.364
Carlton Daal,0.037,0.303,0.281,0.276
Gabriel Guerrero,0.148,0.276,0.251,0.364
Gavin LaValley,0.143,0.31,0.29,0.379
Ray Chang,0.059,0.294,0.28,0.287
Beau Amaral,0.088,0.295,0.278,0.316
Donald Lutz,0.104,0.304,0.248,0.297
Mookie Betts,0.197,0.321,0.361,0.504
Xander Bogaerts,0.144,0.333,0.343,0.432
Jackie Bradley Jr.,0.188,0.315,0.332,0.443
Dustin Pedroia,0.117,0.314,0.351,0.408
Andrew Benintendi,0.168,0.307,0.341,0.446
Hanley Ramirez,0.191,0.316,0.358,0.471
Sandy Leon,0.121,0.313,0.311,0.367
Christian Vazquez,0.099,0.302,0.299,0.344
Brock Holt!,0.106,0.33,0.335,0.379
Matt Dominguez,0.148,0.276,0.288,0.398
Rusney Castillo,0.11,0.302,0.302,0.369
Chris B. Young,0.192,0.282,0.316,0.433
Jake Romanski,0.084,0.295,0.281,0.333
Mitch Moreland,0.171,0.292,0.304,0.415
Pablo Sandoval,0.142,0.287,0.313,0.406
Sam Travis,0.152,0.317,0.323,0.418
Ryan Hanigan,0.093,0.265,0.304,0.314
Jake DePew,0.123,0.29,0.26,0.338
Dan Butler,0.107,0.306,0.301,0.342
Aaron Hill,0.115,0.281,0.308,0.365
Rafael Devers,0.152,0.3,0.281,0.395
Jantzen Witte,0.12,0.301,0.304,0.367
Mike Miller,0.084,0.288,0.294,0.335
Deven Marrero,0.081,0.3,0.279,0.308
Josh Rutledge,0.115,0.324,0.298,0.356
Bryce Brentz,0.166,0.321,0.291,0.405
Junior Lake,0.143,0.315,0.29,0.37
Blake Swihart,0.116,0.32,0.309,0.367
Marco Hernandez,0.119,0.332,0.292,0.38
Nate Freiman,0.157,0.284,0.295,0.394
Ali Solis,0.065,0.274,0.223,0.263
Allen Craig,0.107,0.3,0.307,0.341
Chris Dominguez,0.17,0.305,0.265,0.404
Brennan Boesch,0.145,0.288,0.282,0.383
Gary Sanchez,0.235,0.283,0.313,0.49
Didi Gregorius,0.142,0.286,0.308,0.404
Chase Headley,0.129,0.301,0.324,0.376
Aaron Judge,0.244,0.293,0.301,0.473
Starlin Castro,0.147,0.307,0.305,0.419
Jacoby Ellsbury,0.11,0.296,0.322,0.373
Brett Gardner,0.132,0.304,0.336,0.386
Clint Frazier,0.195,0.308,0.299,0.433
Rob Refsnyder,0.125,0.297,0.318,0.377
Kyle Higashioka,0.173,0.286,0.286,0.418
Matt Holliday,0.203,0.268,0.325,0.447
Mark Teixeira,0.203,0.254,0.316,0.431
Miguel Andujar,0.156,0.277,0.285,0.401
Ronald Torreyes,0.091,0.287,0.306,0.357
Donovan Solano,0.097,0.296,0.287,0.352
Billy Butler,0.14,0.304,0.331,0.408
Gregory Bird,0.215,0.286,0.307,0.449
Aaron Hicks,0.135,0.278,0.304,0.368
Tyler Wade,0.091,0.286,0.284,0.315
Alex Rodriguez,0.192,0.265,0.307,0.42
Austin Romine,0.13,0.283,0.28,0.374
Mike Ford,0.157,0.278,0.321,0.405
Dustin Ackley,0.159,0.274,0.307,0.41
Jorge Saez,0.093,0.303,0.261,0.298
Tyler Austin,0.188,0.302,0.298,0.419
Pete Kozma,0.067,0.261,0.268,0.276
Dustin Fowler,0.144,0.29,0.272,0.39
Mark Payton,0.137,0.284,0.296,0.371
Billy McKinney,0.114,0.303,0.3,0.349
Mason Williams,0.099,0.279,0.282,0.334
Jonathan Diaz,0.055,0.272,0.294,0.269
Ruben Tejada,0.095,0.279,0.308,0.329
Ike Davis,0.17,0.274,0.31,0.394
Eric Young Jr.,0.068,0.276,0.284,0.287
Gleyber Torres,0.123,0.309,0.279,0.344
Jake Cave,0.115,0.3,0.277,0.34
Jorge Mateo,0.115,0.291,0.259,0.333
Jose Rosario,0.098,0.287,0.26,0.328
Nick Swisher,0.145,0.273,0.291,0.367
Dante Bichette Jr.,0.132,0.279,0.278,0.349
Abiatal Avelino,0.11,0.282,0.278,0.346
Cito Culver,0.086,0.285,0.243,0.277
Kevin Kiermaier,0.168,0.298,0.316,0.426
Evan Longoria,0.219,0.298,0.318,0.485
Logan Forsythe,0.162,0.302,0.329,0.421
Matt M. Duffy,0.125,0.295,0.304,0.38
Jake Bauers,0.162,0.294,0.32,0.415
Brad Miller,0.192,0.291,0.313,0.44
Corey Dickerson,0.21,0.302,0.3,0.461
Daniel Robertson,0.099,0.301,0.316,0.34
Steven Souza,0.177,0.329,0.314,0.419
Willy Adames,0.137,0.327,0.3,0.365
Desmond Jennings,0.153,0.282,0.312,0.389
Nick Franklin,0.141,0.294,0.302,0.376
Casey Gillaspie,0.178,0.3,0.319,0.422
Ryan Brett,0.121,0.295,0.282,0.365
Curt Casali,0.139,0.274,0.298,0.348
Tim Beckham,0.152,0.319,0.286,0.388
Luke Maile,0.099,0.259,0.26,0.307
Hank Conger,0.153,0.26,0.279,0.365
Johnny Field,0.148,0.296,0.278,0.379
Justin O'Conner,0.138,0.294,0.231,0.342
J.P. Arencibia,0.191,0.274,0.245,0.408
Mike Marjama,0.134,0.289,0.271,0.377
Cade Gotta,0.115,0.29,0.275,0.346
Dayron Varona,0.158,0.275,0.265,0.393
Logan Morrison,0.157,0.271,0.318,0.399
Justin Williams,0.137,0.301,0.267,0.384
Mikie Mahtook,0.124,0.304,0.278,0.352
Jake Goebbert,0.135,0.275,0.297,0.356
Joe McCarthy,0.116,0.285,0.318,0.354
Alexei Ramirez,0.103,0.268,0.279,0.35
Kean Wong,0.08,0.292,0.278,0.321
Jake Hager,0.069,0.293,0.259,0.292
Josh Donaldson,0.249,0.298,0.372,0.525
Edwin Encarnacion,0.264,0.266,0.356,0.528
Troy Tulowitzki,0.181,0.29,0.326,0.439
Kevin Pillar,0.133,0.307,0.305,0.404
Russell Martin,0.177,0.281,0.334,0.41
Jose Bautista,0.247,0.261,0.369,0.499
Devon Travis,0.179,0.323,0.33,0.463
Kendrys Morales,0.204,0.295,0.329,0.47
Lourdes Gurriel,0.155,0.281,0.324,0.422
Andy Burns,0.131,0.291,0.285,0.372
A.J. Jimenez,0.12,0.291,0.279,0.363
Dwight Smith Jr.,0.144,0.287,0.296,0.384
Dioner Navarro,0.134,0.277,0.297,0.381
Darwin Barney,0.095,0.283,0.297,0.345
Dalton Pompey,0.113,0.299,0.299,0.345
Reese McGuire,0.073,0.282,0.293,0.315
Rowdy Tellez,0.192,0.299,0.311,0.441
David Adams,0.119,0.288,0.299,0.354
Ryan Lavarnway,0.109,0.292,0.305,0.345
Richard Urena,0.157,0.297,0.271,0.402
Ezequiel Carrera,0.106,0.309,0.31,0.355
Anthony Alford,0.128,0.317,0.284,0.336
Timmy Lopes,0.071,0.306,0.295,0.314
Alexi Casilla,0.095,0.284,0.28,0.335
Melvin Upton Jr.,0.155,0.298,0.281,0.376
Justin Smoak,0.187,0.283,0.313,0.417
Darrell Ceciliani,0.148,0.305,0.281,0.385
Jesus Montero,0.166,0.318,0.308,0.442
Mike Ohlman,0.124,0.314,0.285,0.355
Casey Kotchman,0.112,0.267,0.312,0.362
Ryan Goins,0.1,0.283,0.269,0.326
Wilkin Castillo,0.095,0.276,0.276,0.333
Melky Mesa,0.146,0.307,0.235,0.346
Jon Berti,0.088,0.288,0.289,0.317
Erik Kratz,0.115,0.255,0.235,0.299
Chris Colabello,0.176,0.31,0.294,0.414
Josh Thole,0.05,0.27,0.291,0.272
Jiovanni Mier,0.097,0.283,0.278,0.311
Christian Lopes,0.089,0.297,0.288,0.32
Jason Leblebijian,0.124,0.304,0.264,0.335
Harold Ramirez,0.093,0.314,0.296,0.342
Ryan McBroom,0.164,0.297,0.276,0.4
Roemon Fields,0.056,0.283,0.254,0.264
Domonic Brown,0.126,0.279,0.285,0.361
Ian Parmley,0.047,0.301,0.253,0.249
D.J. Davis,0.082,0.307,0.253,0.279
Manny Machado,0.222,0.308,0.349,0.511
Chris Davis,0.27,0.3,0.334,0.509
Adam Jones,0.183,0.288,0.304,0.45
Jonathan Schoop,0.189,0.304,0.297,0.453
Trey Mancini,0.173,0.325,0.314,0.436
Mark Trumbo,0.24,0.284,0.307,0.491
Seth Smith,0.182,0.29,0.341,0.434
Pedro Alvarez,0.251,0.274,0.312,0.488
Hyun Soo Kim,0.14,0.329,0.37,0.434
Matt Wieters,0.161,0.276,0.301,0.41
J.J. Hardy,0.119,0.281,0.287,0.368
Chance Sisco,0.106,0.327,0.323,0.366
Caleb Joseph,0.13,0.269,0.274,0.358
Francisco Pena,0.132,0.273,0.276,0.373
Audry Perez,0.101,0.286,0.281,0.351
Ryan Flaherty,0.14,0.27,0.288,0.357
Drew Stubbs,0.148,0.315,0.288,0.36
Austin Wynns,0.077,0.29,0.271,0.309
Dariel Alvarez,0.124,0.294,0.29,0.388
Christian Walker,0.182,0.304,0.293,0.423
Sean Coyle,0.158,0.292,0.265,0.351
Anthony Santander,0.178,0.289,0.292,0.417
Mike Yastrzemski,0.141,0.29,0.28,0.363
Paul Janish,0.041,0.272,0.282,0.268
Adam Brett Walker,0.226,0.35,0.277,0.449
Nolan Reimold,0.12,0.293,0.298,0.343
Michael Bourn,0.083,0.309,0.29,0.32
Osvaldo Martinez,0.073,0.278,0.273,0.308
D.J. Stewart,0.123,0.296,0.309,0.344
Chris Dickerson,0.133,0.295,0.283,0.347
Adrian Marin,0.087,0.286,0.264,0.316
L.J. Hoes,0.095,0.286,0.308,0.337
Logan Schafer,0.1,0.275,0.29,0.329
Aneury Tavarez,0.127,0.303,0.268,0.356
Xavier Avery,0.109,0.312,0.281,0.33
Sharlon Schoop,0.084,0.277,0.259,0.296
Joey Rickard,0.091,0.305,0.314,0.334
Glynn Davis,0.072,0.304,0.267,0.292
Drew Dosch,0.094,0.294,0.268,0.319
Julio Borbon,0.059,0.287,0.28,0.3
David Washington,0.205,0.308,0.273,0.402
Aderlin Rodriguez,0.145,0.297,0.265,0.376
Garabez Rosa,0.094,0.305,0.251,0.326
Jomar Reyes,0.114,0.29,0.252,0.332
Henry Urrutia,0.091,0.304,0.288,0.343
Carlos Correa,0.209,0.315,0.358,0.489
Jose Altuve,0.154,0.332,0.367,0.473
Alex Bregman,0.182,0.285,0.327,0.448
George Springer,0.211,0.316,0.35,0.462
Brian McCann,0.176,0.26,0.318,0.416
Josh Reddick,0.177,0.285,0.327,0.444
Luis Valbuena,0.201,0.279,0.334,0.441
Colby Rasmus,0.209,0.288,0.302,0.436
Yulieski Gurriel,0.203,0.292,0.325,0.457
Carlos Beltran,0.193,0.294,0.317,0.464
A.J. Reed,0.198,0.302,0.319,0.439
Garrett Stubbs,0.101,0.273,0.311,0.341
Derek Fisher,0.169,0.308,0.306,0.393
Evan Gattis,0.235,0.274,0.305,0.488
Jake Marisnick,0.139,0.3,0.275,0.369
Tyler Heineman,0.097,0.264,0.293,0.327
Ramon Laureano,0.135,0.298,0.289,0.348
Max Stassi,0.151,0.282,0.26,0.363
Marwin Gonzalez,0.146,0.314,0.301,0.408
Tyler White,0.171,0.282,0.323,0.419
Nori Aoki,0.094,0.296,0.338,0.37
J.D. Davis,0.165,0.311,0.281,0.387
Andrew Aplin,0.082,0.279,0.3,0.303
Jon Singleton,0.21,0.272,0.315,0.419
Colin Moran,0.114,0.305,0.285,0.345
Drew Ferguson,0.14,0.311,0.303,0.377
Tony Kemp,0.086,0.293,0.317,0.333
Jack Mayfield,0.129,0.277,0.273,0.356
Danny Worth,0.108,0.302,0.284,0.321
Jason Martin,0.165,0.283,0.285,0.389
Jon Kemmer,0.18,0.303,0.287,0.41
Preston Tucker,0.176,0.28,0.289,0.41
Teoscar Hernandez,0.139,0.298,0.279,0.363
Chan Moon,0.08,0.287,0.273,0.297
Bobby Boyd,0.078,0.295,0.269,0.3
Mike Trout,0.265,0.339,0.41,0.557
Andrelton Simmons,0.095,0.279,0.308,0.358
Kole Calhoun,0.173,0.302,0.328,0.436
Albert Pujols,0.193,0.254,0.315,0.455
Yunel Escobar,0.093,0.308,0.334,0.371
Cameron Maybin,0.116,0.315,0.323,0.377
C.J. Cron,0.184,0.299,0.308,0.452
Ryan LaMarre,0.129,0.301,0.281,0.354
Martin Maldonado,0.111,0.256,0.295,0.311
Johnny Giavotella,0.099,0.283,0.301,0.359
Carlos Perez,0.107,0.257,0.265,0.327
Geovany Soto,0.165,0.298,0.285,0.391
Rey Navarro,0.112,0.28,0.278,0.356
Jefry Marte,0.182,0.275,0.3,0.423
David Fletcher,0.065,0.284,0.285,0.313
Taylor Ward,0.054,0.266,0.281,0.277
Sherman Johnson,0.116,0.269,0.292,0.33
Matt Williams,0.064,0.279,0.292,0.277
Gregorio Petit,0.097,0.284,0.269,0.328
Cliff Pennington,0.079,0.28,0.292,0.296
Tony Sanchez,0.126,0.277,0.289,0.341
Kaleb Cowart,0.11,0.286,0.264,0.323
Ramon Flores,0.127,0.272,0.298,0.354
Ji-Man Choi,0.139,0.276,0.318,0.377
Luis Tejada,0.115,0.28,0.273,0.336
Shane Robinson,0.064,0.265,0.284,0.289
Chad Hinshaw,0.099,0.283,0.265,0.284
Nolan Fontana,0.077,0.278,0.281,0.263
Jared Walsh,0.12,0.304,0.28,0.363
Hutton Moyer,0.124,0.298,0.26,0.333
Brendan Ryan,0.059,0.272,0.249,0.259
Craig Gentry,0.048,0.274,0.28,0.264
Francisco Arcia,0.063,0.28,0.261,0.27
Nick Buss,0.106,0.277,0.275,0.337
Roberto Baldoquin,0.054,0.274,0.239,0.251
Caleb Adams,0.092,0.304,0.242,0.279
Jonathan Lucroy,0.16,0.305,0.339,0.435
Adrian Beltre,0.18,0.283,0.333,0.461
Rougned Odor,0.221,0.294,0.311,0.496
Carlos Gomez,0.163,0.318,0.318,0.418
Joey Gallo,0.247,0.299,0.304,0.456
Elvis Andrus,0.104,0.307,0.328,0.38
Nomar Mazara,0.164,0.3,0.323,0.432
Matt E. Duffy,0.149,0.295,0.292,0.387
Shin-Soo Choo,0.172,0.321,0.365,0.432
Jared Hoying,0.184,0.277,0.277,0.417
Hanser Alberto,0.108,0.287,0.281,0.37
Luis Yander La O,0.073,0.297,0.326,0.351
Robinson Chirinos,0.162,0.269,0.298,0.387
Jurickson Profar,0.125,0.289,0.314,0.37
Brett Nicholas,0.132,0.303,0.292,0.379
Cesar Puello,0.138,0.316,0.347,0.387
Prince Fielder,0.147,0.278,0.337,0.401
Jose Cardona,0.111,0.289,0.296,0.358
Ryan Rua,0.153,0.303,0.304,0.392
Andy Ibanez,0.126,0.285,0.306,0.375
Delino DeShields,0.105,0.328,0.323,0.349
Josh Morgan,0.072,0.297,0.311,0.324
Jose Trevino,0.111,0.259,0.26,0.341
Michael De Leon,0.09,0.278,0.274,0.33
James Loney,0.103,0.302,0.325,0.387
Nevin Ashley,0.109,0.274,0.28,0.319
Doug Bernier,0.09,0.283,0.284,0.317
Josh Hamilton,0.169,0.311,0.297,0.414
Will Middlebrooks,0.14,0.273,0.257,0.359
Juremi Profar,0.11,0.289,0.296,0.367
Travis Snider,0.128,0.296,0.316,0.365
Drew Robinson,0.172,0.293,0.287,0.379
Darin Mastroianni,0.075,0.283,0.277,0.299
Pat Cantwell,0.06,0.289,0.261,0.271
Alex Burg,0.116,0.288,0.277,0.329
Luis Mendez,0.051,0.278,0.269,0.261
Preston Beck,0.117,0.285,0.289,0.344
Edwin Garcia,0.038,0.29,0.267,0.272
Ronald Guzman,0.133,0.298,0.281,0.373
Jairo Beras,0.143,0.299,0.251,0.36
Kyle Seager,0.198,0.284,0.337,0.463
Robinson Cano,0.18,0.303,0.342,0.467
Nelson Cruz,0.252,0.303,0.333,0.519
Jean Segura,0.124,0.305,0.308,0.393
Leonys Martin,0.125,0.306,0.298,0.371
Mike Zunino,0.202,0.272,0.288,0.418
Mitch Haniger,0.172,0.288,0.302,0.409
Danny Valencia,0.166,0.316,0.317,0.432
Taylor Motter,0.15,0.279,0.298,0.393
Chris Iannetta,0.147,0.269,0.319,0.359
Dan Vogelbach,0.171,0.29,0.329,0.41
Guillermo Heredia,0.068,0.281,0.323,0.314
Dae-Ho Lee,0.195,0.284,0.305,0.446
Boog Powell,0.079,0.297,0.308,0.323
Stefen Romero,0.172,0.288,0.293,0.428
Carlos Ruiz,0.071,0.273,0.315,0.302
Marcus Littlewood,0.097,0.286,0.277,0.306
Ben Gamel,0.125,0.304,0.293,0.367
Adam Lind,0.162,0.286,0.317,0.414
Tyler O'Neill,0.202,0.31,0.285,0.431
Shawn O'Malley,0.089,0.287,0.293,0.32
Jesus Sucre,0.056,0.282,0.263,0.292
Franklin Gutierrez,0.2,0.296,0.299,0.435
Steve Clevenger,0.093,0.286,0.299,0.34
Zach Shank,0.081,0.29,0.274,0.307
Ryan Casteel,0.119,0.289,0.251,0.329
Drew Jackson,0.062,0.284,0.271,0.283
Tyler Smith,0.084,0.288,0.281,0.316
Tyler Marlette,0.113,0.289,0.259,0.331
Sebastian Valle,0.102,0.283,0.229,0.3
Ryan Strausborger,0.104,0.273,0.261,0.323
Ian Miller,0.043,0.278,0.269,0.266
Adam Law,0.061,0.29,0.287,0.291
James Ramsey,0.137,0.298,0.267,0.339
D.J. Peterson,0.164,0.283,0.265,0.384
Braden Bishop,0.036,0.287,0.263,0.252
Mike Baxter,0.095,0.274,0.291,0.311
Leon Landry,0.102,0.264,0.258,0.326
Kyle Waldrop,0.115,0.298,0.262,0.343
Kyle Petty,0.081,0.299,0.26,0.286
Marcus Semien,0.173,0.288,0.312,0.417
Stephen Vogt,0.165,0.281,0.315,0.421
Matt Chapman,0.207,0.279,0.279,0.421
Khris Davis,0.226,0.276,0.306,0.469
Ryon Healy,0.179,0.31,0.305,0.445
Joey Wendle,0.14,0.292,0.278,0.38
Trevor Plouffe,0.157,0.282,0.303,0.404
Rajai Davis,0.123,0.294,0.293,0.37
Josh Phegley,0.155,0.266,0.286,0.392
Jake Smolinski,0.14,0.282,0.309,0.388
Matt Olson,0.184,0.277,0.31,0.404
Renato Nunez,0.188,0.27,0.285,0.433
Bruce Maxwell,0.111,0.291,0.295,0.348
Matt Joyce,0.163,0.286,0.349,0.399
Jermaine Curtis,0.094,0.279,0.341,0.344
Yonder Alonso,0.12,0.285,0.323,0.38
Sam Fuld,0.112,0.256,0.294,0.332
Chris Parmelee,0.168,0.281,0.307,0.41
Jaff Decker,0.124,0.281,0.311,0.352
Max Schrock,0.107,0.279,0.295,0.368
Matt McBride,0.147,0.279,0.292,0.396
Jed Lowrie,0.106,0.283,0.312,0.356
Chad Pinder,0.139,0.294,0.273,0.372
Brett Eibner,0.146,0.278,0.288,0.366
Josh Rodriguez,0.119,0.286,0.294,0.339
Franklin Barreto,0.128,0.296,0.286,0.372
Mark Canha,0.161,0.295,0.307,0.404
Yairo Munoz,0.115,0.282,0.272,0.353
Richie Martin,0.084,0.286,0.291,0.303
B.J. Boyd,0.074,0.305,0.298,0.327
Kenny Wilson,0.088,0.294,0.279,0.305
Rangel Ravelo,0.132,0.285,0.305,0.377
Francisco Lindor,0.156,0.32,0.351,0.454
Jose Ramirez,0.134,0.306,0.338,0.419
Jason Kipnis,0.163,0.32,0.34,0.435
Carlos Santana,0.207,0.268,0.364,0.456
Michael Brantley,0.151,0.303,0.353,0.443
Bradley Zimmer,0.153,0.343,0.31,0.38
Yan Gomes,0.18,0.283,0.278,0.419
Brandon Guyer,0.142,0.316,0.358,0.414
Tyler Naquin,0.149,0.351,0.32,0.405
Mike Napoli,0.202,0.29,0.331,0.433
Yandy Diaz,0.1,0.311,0.337,0.36
Lonnie Chisenhall,0.149,0.313,0.314,0.414
Eric Stamets,0.111,0.281,0.274,0.337
Juan Uribe,0.15,0.267,0.288,0.386
Abraham Almonte,0.136,0.319,0.309,0.39
Giovanny Urshela,0.121,0.287,0.284,0.376
Francisco Mejia,0.138,0.278,0.279,0.373
Roberto Perez,0.132,0.274,0.307,0.337
Jesus Aguilar,0.182,0.288,0.303,0.427
Greg Allen,0.095,0.288,0.311,0.338
Erik Gonzalez,0.124,0.308,0.276,0.369
Marlon Byrd,0.203,0.304,0.287,0.447
Eric Haase,0.185,0.302,0.253,0.383
Adam Moore,0.116,0.301,0.273,0.34
Jeremy Lucas,0.136,0.279,0.292,0.36
Yu-Cheng Chang,0.159,0.289,0.265,0.374
Chris Gimenez,0.124,0.278,0.284,0.342
Mark Mathias,0.102,0.291,0.294,0.333
Guillermo Quiroz,0.126,0.286,0.264,0.354
Bobby Bradley,0.235,0.3,0.283,0.442
Collin Cowgill,0.093,0.29,0.286,0.314
Coco Crisp,0.153,0.269,0.301,0.39
Bryson Myles,0.15,0.294,0.281,0.362
Michael Choice,0.169,0.29,0.285,0.389
Joey Butler,0.125,0.316,0.302,0.36
Michael Martinez,0.084,0.288,0.275,0.318
Dan Robertson,0.086,0.287,0.309,0.342
Mike Papi,0.13,0.284,0.291,0.33
Todd Hankins,0.102,0.288,0.244,0.296
Brian Dozier,0.23,0.275,0.33,0.485
Byron Buxton,0.185,0.345,0.311,0.444
Miguel Sano,0.236,0.325,0.324,0.471
Jorge Polanco,0.136,0.307,0.315,0.405
Max Kepler,0.179,0.285,0.323,0.43
Jason Castro,0.153,0.293,0.299,0.374
Eddie Rosario,0.152,0.322,0.291,0.415
Byung-Ho Park,0.212,0.314,0.321,0.463
Tommy Field,0.145,0.278,0.3,0.379
Mitch Garver,0.108,0.288,0.295,0.335
Eduardo Escobar,0.134,0.303,0.3,0.388
Joe Mauer,0.116,0.31,0.35,0.378
Zach Granite,0.071,0.291,0.302,0.327
Kennys Vargas,0.197,0.294,0.319,0.435
Kurt Suzuki,0.104,0.277,0.305,0.359
Matt Hague,0.13,0.295,0.322,0.386
Robbie Grossman,0.13,0.323,0.336,0.379
John Ryan Murphy,0.113,0.277,0.277,0.344
Danny Santana,0.115,0.329,0.293,0.376
Leonardo Reginatto,0.057,0.293,0.283,0.3
Nick Gordon,0.092,0.305,0.271,0.327
Benji Gonzalez,0.093,0.283,0.284,0.326
Engelb Vielma,0.04,0.293,0.28,0.271
Dan Gamache,0.1,0.308,0.29,0.33
Niko Goodrum,0.111,0.292,0.274,0.318
J.B. Shuck,0.091,0.27,0.297,0.346
Daniel Palka,0.199,0.298,0.275,0.417
James Beresford,0.051,0.295,0.288,0.3
Reynaldo Rodriguez,0.173,0.269,0.283,0.408
Jairo Rodriguez,0.034,0.271,0.247,0.25
Ben Paulsen,0.156,0.298,0.285,0.387
Heiker Meneses,0.05,0.289,0.262,0.264
Eddy Rodriguez,0.103,0.28,0.213,0.281
Travis Harrison,0.095,0.284,0.286,0.299
Salvador Perez,0.171,0.283,0.292,0.43
Lorenzo Cain,0.125,0.335,0.33,0.407
Alex Gordon,0.158,0.297,0.333,0.4
Jarrod Dyson,0.092,0.311,0.321,0.354
Mike Moustakas,0.174,0.267,0.313,0.428
Cheslor Cuthbert,0.141,0.304,0.312,0.406
Alcides Escobar,0.092,0.296,0.294,0.356
Whit Merrifield,0.107,0.307,0.297,0.364
Eric Hosmer,0.156,0.315,0.335,0.433
Cam Gallagher,0.096,0.252,0.279,0.319
Billy Burns,0.082,0.306,0.308,0.343
Christian Colon,0.081,0.291,0.312,0.341
Paulo Orlando,0.099,0.328,0.299,0.368
Corey Toups,0.12,0.303,0.291,0.347
Clint Barmes,0.093,0.296,0.275,0.326
Steve Tolleson,0.082,0.311,0.311,0.322
Mauricio Ramos,0.105,0.292,0.272,0.345
Irving Falu,0.084,0.278,0.293,0.34
Drew Butera,0.112,0.286,0.279,0.336
Hunter Dozier,0.14,0.293,0.278,0.362
Zane Evans,0.12,0.286,0.251,0.341
Angel Franco,0.078,0.281,0.28,0.318
Raul Mondesi Jr.,0.142,0.289,0.248,0.354
Ramon Torres,0.075,0.291,0.281,0.323
Jorge Bonifacio,0.134,0.292,0.279,0.357
Ryan O'Hearn,0.179,0.305,0.283,0.407
Garin Cecchini,0.101,0.294,0.293,0.337
Terrance Gore,0.021,0.287,0.265,0.224
Samir Duenez,0.123,0.293,0.292,0.379
Parker Morin,0.081,0.28,0.246,0.284
Bubba Starling,0.117,0.282,0.236,0.306
Brooks Conrad,0.102,0.266,0.254,0.293
Todd Frazier,0.207,0.27,0.31,0.45
Jose Abreu,0.202,0.32,0.348,0.49
Yoan Moncada,0.148,0.303,0.325,0.384
Tim Anderson,0.121,0.348,0.284,0.381
Tyler Saladino,0.129,0.293,0.294,0.378
Melky Cabrera,0.129,0.302,0.327,0.41
Brett Lawrie,0.158,0.31,0.308,0.41
Carlos Sanchez,0.116,0.29,0.276,0.351
Roberto Pena,0.093,0.275,0.267,0.323
Kevan Smith,0.127,0.279,0.289,0.359
Austin Jackson,0.111,0.326,0.309,0.365
Jason Coats,0.152,0.296,0.294,0.4
Nick Delmonico,0.186,0.303,0.288,0.417
Eddy Alvarez,0.106,0.284,0.294,0.327
Charlie Tilson,0.094,0.306,0.302,0.345
Jake Peter,0.09,0.294,0.291,0.326
Adam Engel,0.105,0.294,0.27,0.309
Rymer Liriano,0.133,0.305,0.282,0.344
Jeremy Dowdy,0.1,0.283,0.298,0.332
Omar Narvaez,0.054,0.282,0.298,0.299
Justin Morneau,0.153,0.296,0.31,0.413
Jerry Sands,0.16,0.286,0.302,0.392
Jacob May,0.078,0.302,0.268,0.306
Avisail Garcia,0.137,0.321,0.312,0.394
Ronald Bueno,0.081,0.304,0.285,0.299
Matt Davidson,0.153,0.293,0.276,0.358
Alfredo Gonzalez,0.051,0.29,0.279,0.265
Leury Garcia,0.095,0.314,0.285,0.338
Caleb Gindl,0.119,0.28,0.286,0.342
Brett Hayes,0.13,0.261,0.234,0.326
Jose Vinicio,0.075,0.295,0.266,0.32
Danny Hayes,0.136,0.282,0.295,0.341
Hunter Jones,0.094,0.283,0.266,0.302
Andy Parrino,0.079,0.279,0.256,0.274
Trey Michalczewski,0.133,0.299,0.27,0.339
Slade Heathcott,0.107,0.306,0.277,0.316
Tony Campana,0.032,0.298,0.276,0.258
Jason Bourgeois,0.077,0.281,0.29,0.328
Courtney Hawkins,0.173,0.288,0.236,0.368
Vinny Rottino,0.087,0.28,0.291,0.299
Nick Basto,0.131,0.291,0.274,0.35
Mason Robbins,0.094,0.291,0.244,0.324
Eudy Pina,0.087,0.286,0.247,0.287
Miguel Cabrera,0.22,0.33,0.379,0.521
Ian Kinsler,0.155,0.297,0.325,0.43
J.D. Martinez,0.24,0.339,0.344,0.523
