Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Josh Bell,0.343,0.481,0.138,0.273
Anthony Santander,0.308,0.489,0.222,0.287
Pat Valaika,0.305,0.478,0.208,0.314
Trey Mancini,0.332,0.491,0.214,0.322
Austin Hays,0.306,0.442,0.175,0.306
Ryan Mountcastle,0.324,0.473,0.186,0.342
Renato Nunez,0.312,0.481,0.231,0.294
Jose Rondon,0.288,0.439,0.194,0.292
Ramon Urias,0.332,0.429,0.17,0.311
Hanser Alberto,0.307,0.399,0.114,0.306
Adley Rutschman,0.291,0.373,0.144,0.272
Cedric Mullins,0.296,0.39,0.145,0.29
Rio Ruiz,0.301,0.403,0.167,0.28
Chance Sisco,0.334,0.391,0.159,0.322
Yolmer Sanchez,0.32,0.374,0.119,0.311
Pedro Severino,0.304,0.39,0.149,0.284
Martin Cervenka,0.266,0.358,0.139,0.29
Austin Wynns,0.295,0.351,0.108,0.283
DJ Stewart,0.323,0.425,0.199,0.273
Rylan Bannon,0.298,0.383,0.155,0.278
Brett Cumberland,0.303,0.35,0.158,0.272
Greg Cullen,0.308,0.33,0.113,0.272
Nick Ciuffo,0.268,0.361,0.138,0.286
Ryan McKenna,0.304,0.368,0.134,0.299
Mason McCoy,0.284,0.323,0.084,0.299
Andrew Velazquez,0.279,0.355,0.136,0.291
Bryan Holaday,0.283,0.327,0.106,0.256
Mason Williams,0.297,0.377,0.126,0.3
Richie Martin Jr.,0.278,0.346,0.124,0.282
Terrin Vavra,0.315,0.342,0.111,0.286
Tyler Nevin,0.308,0.372,0.139,0.281
Stevie Wilkerson,0.286,0.364,0.132,0.305
Yusniel Diaz,0.314,0.415,0.171,0.298
Chris Shaw,0.296,0.445,0.201,0.309
Jesmuel Valentin,0.282,0.336,0.118,0.28
Taylor Davis,0.301,0.341,0.104,0.272
Richard Urena,0.267,0.344,0.111,0.296
Malquin Canelo,0.264,0.304,0.095,0.298
Mark Trumbo,0.282,0.437,0.201,0.27
Cadyn Grenier,0.251,0.3,0.125,0.275
Robert Neustrom,0.253,0.331,0.121,0.266
Ryne Ogren,0.255,0.266,0.075,0.255
Chris Davis,0.256,0.309,0.131,0.262
Zach Jarrett,0.249,0.313,0.108,0.294
Ryan Ripken,0.229,0.285,0.085,0.274
Xander Bogaerts,0.357,0.503,0.215,0.322
Rafael Devers,0.338,0.521,0.234,0.33
Christian Vazquez,0.315,0.426,0.16,0.306
Alex Verdugo,0.35,0.452,0.161,0.332
J.D. Martinez,0.339,0.487,0.223,0.316
Andrew Benintendi,0.347,0.415,0.162,0.316
Jackie Bradley,0.323,0.416,0.175,0.302
Hunter Renfroe,0.292,0.481,0.25,0.269
Bobby Dalbec,0.307,0.443,0.224,0.324
Kevin Plawecki,0.334,0.405,0.14,0.311
Cesar Puello,0.338,0.375,0.123,0.332
Christian Arroyo,0.315,0.438,0.176,0.305
Yairo Munoz,0.312,0.439,0.163,0.338
Jeter Downs,0.298,0.416,0.188,0.282
Michael Chavis,0.292,0.438,0.204,0.305
Jarren Duran,0.313,0.368,0.101,0.343
Michael Gettys,0.263,0.397,0.184,0.32
Ryder Jones,0.292,0.395,0.16,0.299
Deivy Grullon,0.306,0.404,0.168,0.344
Jhonny Pereda,0.309,0.314,0.081,0.283
Joey Meneses,0.311,0.395,0.135,0.325
John Andreoli,0.306,0.34,0.13,0.3
Chad De La Guerra,0.284,0.382,0.157,0.3
Rusney Castillo,0.301,0.391,0.121,0.305
Hudson Potts,0.281,0.385,0.159,0.307
Triston Casas,0.287,0.422,0.203,0.287
Dustin Pedroia,0.31,0.328,0.077,0.283
Roldani Baldwin,0.253,0.355,0.136,0.275
Tommy Joseph,0.291,0.431,0.189,0.284
Jett Bandy,0.266,0.359,0.156,0.246
Connor Wong,0.272,0.379,0.161,0.322
C.J. Chatham,0.281,0.34,0.086,0.322
Josh Ockimey,0.307,0.391,0.185,0.306
Jonathan Arauz,0.283,0.355,0.129,0.278
Juan Centeno,0.292,0.326,0.084,0.289
Johan Mieses,0.264,0.37,0.17,0.263
Marcus Wilson,0.276,0.369,0.162,0.313
Garrett Benge,0.271,0.287,0.089,0.306
Jeisson Rosario,0.32,0.316,0.095,0.311
Ryan Fitzgerald,0.272,0.305,0.088,0.304
Brett Netzer,0.263,0.301,0.092,0.299
Marco Hernandez,0.272,0.334,0.091,0.309
Pedro Castellanos,0.279,0.361,0.116,0.286
Gleyber Torres,0.364,0.526,0.242,0.315
Aaron Judge,0.367,0.536,0.281,0.319
DJ LeMahieu,0.357,0.463,0.158,0.333
Giancarlo Stanton,0.347,0.558,0.308,0.31
Luke Voit,0.356,0.529,0.259,0.311
Gio Urshela,0.331,0.459,0.176,0.316
Aaron Hicks,0.359,0.43,0.192,0.282
Mike Tauchman,0.339,0.426,0.167,0.319
Brett Gardner,0.335,0.436,0.196,0.285
Clint Frazier,0.325,0.463,0.221,0.315
Gary Sanchez,0.299,0.46,0.247,0.247
Matt M. Duffy,0.334,0.379,0.108,0.313
Mike Ford,0.322,0.447,0.211,0.255
Miguel Andujar,0.301,0.45,0.183,0.294
Kyle Higashioka,0.267,0.426,0.201,0.254
Tyler Wade,0.294,0.338,0.117,0.29
Thairo Estrada,0.277,0.355,0.121,0.289
Chris Gittens,0.295,0.399,0.199,0.302
Kyle Holder,0.283,0.339,0.106,0.276
Zack Granite,0.293,0.325,0.075,0.276
Jordy Mercer,0.298,0.354,0.114,0.284
Rosell Herrera,0.297,0.347,0.115,0.296
Wynston Sawyer,0.291,0.341,0.121,0.299
Ben Ruta,0.276,0.336,0.112,0.284
Oswaldo Cabrera,0.253,0.331,0.115,0.277
Estevan Florial,0.247,0.325,0.128,0.308
Kellin Deglan,0.229,0.305,0.131,0.272
Josh Thole,0.264,0.234,0.05,0.257
Donny Sands,0.245,0.282,0.086,0.268
Angel Aguilar,0.226,0.312,0.119,0.27
James Nelson,0.253,0.29,0.081,0.281
Brandon Lowe,0.319,0.474,0.23,0.307
Randy Arozarena,0.339,0.475,0.213,0.314
Yandy Diaz,0.366,0.386,0.11,0.325
Austin Meadows,0.318,0.46,0.21,0.301
Manuel Margot,0.313,0.408,0.151,0.305
Mike Brosseau,0.319,0.434,0.177,0.317
Willy Adames,0.313,0.402,0.16,0.326
