Player,OP_BABIP_zips,OP_ERA-_zips
Kevin Smith,0.298,103
John Means,0.286,110
Tanner Scott,0.302,83
Keegan Akin,0.3,112
Chandler Shepherd,0.308,116
Cesar Valdez,0.295,112
Paul Fry,0.3,92
Alex Cobb,0.294,118
Dillon Tate,0.294,110
Jorge Lopez,0.296,114
Zac Lowther,0.294,120
Rob Zastryzny,0.306,116
Cole Sulser,0.296,99
Hunter Harvey,0.295,111
Ashton Goudeau,0.292,114
Bruce Zimmermann,0.301,121
Dean Kremer,0.308,123
Thomas Eshelman,0.296,122
Claudio Custodio,0.296,111
Kohl Stewart,0.298,124
Travis Lakins Sr.,0.304,111
Wade LeBlanc,0.292,124
Shawn Armstrong,0.29,103
Fernando Abad,0.295,103
Mac Sceroler,0.291,127
Tyler Herb,0.302,128
Mickey Jannis,0.297,128
Brady Rodgers,0.293,129
Branden Kline,0.295,110
Asher Wojciechowski,0.3,129
Marcos Diplan,0.301,125
DL Hall,0.292,131
Tyler Wells,0.293,132
Zach Muckenhirn,0.298,111
Ty Blach,0.303,129
Michael Baumann,0.292,131
Danny Barnes,0.289,117
Isaac Mattson,0.291,114
Grayson Rodriguez,0.283,140
Tim Naughton,0.299,120
Tyler Erwin,0.298,122
Cody Sedlock,0.297,139
Conner Greene,0.288,140
Alexander Wells,0.299,143
Chris Sale,0.299,72
Eduardo Rodriguez,0.305,91
Martin Perez,0.309,109
Nathan Eovaldi,0.31,101
Connor Seabold,0.309,105
Ryan Weber,0.301,105
Andrew Cashner,0.29,109
Bryan Mata,0.298,107
Collin McHugh,0.301,94
Garrett Whitlock,0.309,105
Matt Hall,0.313,106
Joel Payamps,0.31,105
Nick Pivetta,0.305,111
Ryan Brasier,0.293,85
Zack Godley,0.317,111
Matt Barnes,0.301,86
Chris Mazza,0.305,109
Kutter Crawford,0.306,114
Jeffrey Springs,0.315,97
Eduard Bazardo,0.302,99
Tanner Houck,0.301,114
Mike Kickham,0.3,109
Stephen Gonsalves,0.307,117
Josh Taylor,0.301,91
Raynel Espinal,0.299,104
Dylan Covey,0.314,116
Marcus Walden,0.302,101
Brian Johnson,0.309,115
Darwinzon Hernandez,0.289,94
Phillips Valdez,0.318,114
Kevin McCarthy,0.304,96
Austin Brice,0.293,100
Andrew Triggs,0.295,116
Kyle Hart,0.315,123
R.J. Alvarez,0.298,99
Colten Brewer,0.301,106
Steven Wright,0.293,122
Seth Blair,0.3,109
Mike Shawaryn,0.307,129
Robinson Leyer,0.305,119
Durbin Feltman,0.301,115
Caleb Simpson,0.293,120
Kaleb Ort,0.3,123
Adam Lau,0.309,125
Gerrit Cole,0.293,72
Luis Severino,0.293,82
James Paxton,0.3,88
Chad Green,0.29,68
Domingo German,0.291,98
Deivi Garcia,0.299,97
Masahiro Tanaka,0.296,103
Jordan Montgomery,0.295,93
J.A. Happ,0.284,103
Aroldis Chapman,0.296,59
Michael King,0.296,104
Jonathan Loaisiga,0.305,91
Tommy Kahnle,0.298,72
Brian Keller,0.299,109
Luis Cessa,0.293,94
Garrett Whitlock,0.298,105
Adam Ottavino,0.294,78
Shawn Semple,0.303,114
Nick Nelson,0.3,108
Miguel Yajure,0.295,110
Clarke Schmidt,0.3,110
Addison Russ,0.295,85
Zack Britton,0.281,83
Domingo Acevedo,0.295,105
Ben Heller,0.295,89
Luis Avilan,0.3,94
Trevor Stephan,0.3,123
Jonathan Holder,0.296,99
Fernando Abad,0.29,103
Dan Otero,0.296,97
Brooks Kriske,0.297,103
Tyler Lyons,0.31,102
Trevor Lane,0.297,105
Kaleb Ort,0.299,123
Ryan Buchter,0.286,107
Tony Zych,0.304,108
Tommy Milone,0.307,126
Nick Green,0.301,128
Braden Bristo,0.297,108
Daniel Alvarez,0.293,109
Matt Wivinis,0.296,109
Alexander Vizcaino,0.297,138
Greg Weissert,0.299,125
Luis Medina,0.301,147
Albert Abreu,0.301,146
Janson Junk,0.303,156
Blake Snell,0.286,80
Tyler Glasnow,0.293,84
Ryan Yarbrough,0.287,94
Brendan McKay,0.297,88
Diego Castillo,0.289,72
Josh Fleming,0.298,102
Yonny Chirinos,0.289,99
Trevor Richards,0.293,105
Colin Poche,0.287,81
Jalen Beeks,0.305,104
Andrew Kittredge,0.302,86
Nick Anderson,0.295,75
Pete Fairbanks,0.3,82
Michael Wacha,0.302,110
Shane McClanahan,0.293,112
Cody Reed,0.295,81
Oliver Drake,0.293,85
Chris Ellis,0.299,111
Aaron Slegers,0.291,115
Jose Alvarado,0.294,86
Joe Ryan,0.279,119
Aaron Loup,0.304,85
Tyler Zombro,0.296,102
Brent Honeywell Jr.,0.313,112
Ryan Thompson,0.296,101
Chaz Roe,0.297,95
David Hess,0.295,120
Brian Shaffer,0.297,118
Deck McGuire,0.286,121
Michael Plassmeyer,0.293,125
John Curtiss,0.293,109
Tommy Romero,0.294,125
Sean Gilmartin,0.294,118
Brooks Pounders,0.306,110
Ryan Sherriff,0.289,106
Phoenix Sanders,0.297,109
Dalton Moats,0.296,121
Shane Baz,0.293,135
Mike Franco,0.3,126
Dietrich Enns,0.302,132
Edgar Garcia,0.287,116
Kenny Rosenberg,0.297,132
Blake Bivens,0.3,141
Hyun-Jin Ryu,0.295,80
Robbie Ray,0.295,92
Nate Pearson,0.298,89
Taijuan Walker,0.294,98
Trent Thornton,0.304,103
Ross Stripling,0.303,97
Simeon Woods Richardson,0.296,109
Tanner Roark,0.301,110
Chase Anderson,0.281,108
Ryan Borucki,0.297,106
Jacob Waguespack,0.299,107
Rafael Dolis,0.291,78
Ken Giles,0.297,71
Shun Yamaguchi,0.297,111
Anthony Kay,0.3,113
Sean Reid-Foley,0.295,112
Thomas Hatch,0.302,114
Joey Murray,0.294,116
Patrick Murphy,0.299,109
Matt Shoemaker,0.28,105
A.J. Cole,0.303,107
Julian Merryweather,0.302,113
Jordan Romano,0.289,90
Graham Spraker,0.3,115
Anthony Bass,0.292,97
Curtis Taylor,0.297,100
Yennsy Diaz,0.298,123
Jake Fishman,0.298,97
Kirby Snead,0.295,98
Sam Gaviglio,0.293,99
Brad Wilson,0.301,99
Ty Tice,0.298,100
Justin Dillon,0.299,123
T.J. Zeuch,0.294,125
Conor Fisk,0.297,117
Connor Overton,0.299,113
Hector Perez,0.305,128
Dany Jimenez,0.302,109
Zach Jackson,0.297,110
Elvis Luciano,0.296,125
Ryan Dull,0.304,116
Zach Logue,0.3,135
Bryan Baker,0.305,129
Willy Ortiz,0.301,148
Mike Ellenbest,0.302,161
Lucas Giolito,0.277,67
Dallas Keuchel,0.281,89
Dylan Cease,0.296,100
Gio Gonzalez,0.285,98
Bernardo Flores Jr.,0.299,103
Reynaldo Lopez,0.287,105
Dane Dunning,0.287,104
Carlos Rodon,0.298,105
Aaron Bummer,0.284,78
Alex Colome,0.278,82
Tanner Banks,0.298,113
Lincoln Henzman,0.3,114
Evan Marshall,0.296,80
Michael Kopech,0.295,109
Codi Heuer,0.292,90
Jace Fry,0.294,89
Tyler Johnson,0.294,94
Jimmy Lambert,0.295,116
Garrett Crochet,0.289,86
Steve Cishek,0.274,94
Jimmy Cordero,0.296,97
Jacob Lindgren,0.29,85
Vince Arobio,0.296,101
Clayton Richard,0.292,123
John Parke,0.301,125
Bennett Sousa,0.295,106
Ryan Burr,0.292,108
Ross Detwiler,0.296,126
Matt Foster,0.286,110
Jose Ruiz,0.299,109
Zack Burdi,0.297,119
Felix Paulino,0.301,129
Hunter Schryver,0.297,116
Alec Hansen,0.29,118
Blake Battenfield,0.302,134
Jonathan Stiever,0.291,135
Spencer Adams,0.299,145
Shane Bieber,0.301,77
Carlos Carrasco,0.302,85
Zach Plesac,0.29,99
Aaron Civale,0.297,105
Brad Hand,0.288,72
Cal Quantrill,0.308,110
Emmanuel Clase,0.294,79
James Karinchak,0.301,70
Phil Maton,0.303,81
Scott Moss,0.298,114
Joey Cantillo,0.295,108
Adam Scott,0.294,115
Jean Carlos Mejia,0.293,103
Jefry Rodriguez,0.294,113
Eli Morgan,0.301,118
Triston McKenzie,0.291,109
Nick Wittgren,0.293,91
Oliver Perez,0.289,82
Adam Plutko,0.292,119
Hunter Wood,0.298,94
David Hernandez,0.295,97
Dominic Leone,0.294,98
Logan Allen,0.301,121
Robert Broom,0.29,102
Aaron Pinto,0.292,107
Nick Sandlin,0.29,104
Kyle Nelson,0.287,108
Jared Robinson,0.297,106
Skylar Arias,0.295,113
Henry Martinez,0.299,111
Sam Hentges,0.299,130
Cam Hill,0.295,116
Eli Lingos,0.29,126
Ben Krauth,0.304,118
Tanner Tully,0.306,134
Zack Weiss,0.3,140
Manuel Alvarez,0.304,141
Anthony Gose,0.295,196
Anderson Polanco,0.298,178
Matt Boyd,0.302,101
Spencer Turnbull,0.302,100
Matt Manning,0.302,98
Michael Fulmer,0.295,104
Dario Agrazal,0.305,111
Daniel Norris,0.307,106
Casey Mize,0.301,106
Tarik Skubal,0.294,109
Tyler Alexander,0.309,112
Buck Farmer,0.299,93
Ivan Nova,0.302,119
Joe Jimenez,0.299,94
Joey Wentz,0.302,122
John Schreiber,0.301,98
Alex Faedo,0.301,124
Jose Cisnero,0.299,102
Nick Ramirez,0.295,108
Zac Houston,0.291,104
Alex Lange,0.305,124
Alex Wilson,0.295,100
Jordan Zimmermann,0.307,125
Joe Navilhon,0.302,109
Nolan Blackwood,0.3,105
Tim Adleman,0.295,128
Drew Carlton,0.296,108
Ethan DeCaster,0.301,108
Beau Burrows,0.302,129
Bryan Garcia,0.295,109
Franklin Perez,0.306,150
Billy Lescher,0.295,120
Kyle Funkhouser,0.304,132
Hector Santiago,0.297,128
Gregory Soto,0.296,113
Rony Garcia,0.301,131
Jason Foley,0.304,120
Shao-Ching Chiang,0.305,132
Chris Smith,0.291,127
Logan Shore,0.302,135
Sandy Baez,0.306,143
Brad Keller,0.28,99
Brady Singer,0.294,104
Jakob Junis,0.304,103
Kris Bubic,0.297,100
Danny Duffy,0.297,109
Jackson Kowar,0.297,112
Mike Montgomery,0.3,100
Jesse Hahn,0.298,101
Josh Staumont,0.3,107
Scott Barlow,0.297,92
Ronald Bolanos,0.308,118
Ian Kennedy,0.296,94
Daniel Lynch,0.3,118
Glenn Sparkman,0.311,120
J.C. Cloney,0.298,120
Carlos Hernandez,0.303,119
Greg Holland,0.294,96
Richard Lovelady,0.301,95
Marcelo Martinez,0.297,123
Tyler Zuber,0.297,101
Holden Capps,0.304,109
Jake Newberry,0.293,103
Kyle Zimmer,0.297,105
Heath Fillmyer,0.297,126
Braden Shipley,0.302,125
Stephen Woods Jr.,0.295,129
Randy Rosario,0.306,111
Gabe Speier,0.303,113
Chance Adams,0.305,127
Matt Harvey,0.307,131
Yunior Marte,0.297,112
Scott Blewett,0.303,133
Andrew Beckwith,0.299,118
Foster Griffin,0.302,134
Carlos Sanabria,0.295,130
Andres Machado,0.302,131
Daniel Tillo,0.298,135
Grant Gavin,0.3,128
Conner Greene,0.299,140
Nick Howard,0.302,156
Arnaldo Hernandez,0.3,139
Franco Terrero,0.301,146
Gerson Garabito,0.301,148
Jose Berrios,0.295,88
Kenta Maeda,0.292,93
Randy Dobnak,0.306,102
Jake Odorizzi,0.291,100
Taylor Rogers,0.3,68
Michael Pineda,0.306,103
Rich Hill,0.277,104
Lewis Thorpe,0.311,109
Jhoan Duran,0.302,112
Bailey Ober,0.294,108
Devin Smeltzer,0.302,113
Tyler Duffey,0.295,91
Blaine Hardy,0.291,96
Griffin Jax,0.307,118
Bryan Sammons,0.303,119
Luke Farrell,0.293,110
Fernando Romero,0.303,98
Tyler Clippard,0.277,98
Cody Stashak,0.302,109
Derek Law,0.306,99
Andro Cutura,0.302,119
Zack Littell,0.299,99
Sergio Romo,0.297,98
Jorge Alcala,0.306,117
Glenn Sparkman,0.307,120
Homer Bailey,0.308,123
Casey Lawrence,0.315,118
Charlie Barnes,0.306,124
Cole Sands,0.303,123
Caleb Thielbar,0.297,102
Cory Gearrin,0.291,101
Ian Gibaut,0.296,102
Juan Minaya,0.299,104
Danny Coulombe,0.29,106
Melvi Acosta,0.308,123
Edwar Colina,0.302,129
Brandon Waddell,0.298,128
Ryan Garton,0.297,113
Ryan Mason,0.3,111
Alex Phillips,0.299,119
Dakota Chalmers,0.29,148
Alec Asher,0.298,132
Parker Bridwell,0.298,132
Austin Adams,0.301,127
Mitch Horacek,0.301,122
Jonathan Cheshire,0.303,125
Chris Rowley,0.3,134
Tom Hackimer,0.299,124
Joey Krehbiel,0.299,127
Justin Verlander,0.265,77
Zack Greinke,0.281,85
Lance McCullers Jr.,0.296,89
Framber Valdez,0.294,94
Ryan Pressly,0.296,69
Brad Peacock,0.286,97
Roberto Osuna,0.276,71
Josh James,0.294,95
Brooks Raley,0.294,109
Jose Urquidy,0.287,110
Brett Conine,0.293,110
Aaron Sanchez,0.299,113
Luis Garcia,0.297,108
Austin Pruitt,0.3,104
Tyler Ivey,0.292,108
Cionel Perez,0.296,103
Hector Velazquez,0.29,104
Bryan Abreu,0.291,108
Nivaldo Rodriguez,0.291,112
Rogelio Armenteros,0.295,118
Enoli Paredes,0.288,111
Fernando Rodney,0.292,95
Blake Taylor,0.293,109
Kent Emanuel,0.299,117
Humberto Castellanos,0.296,97
Joe Smith,0.29,91
Brandon Bielak,0.295,122
Cristian Javier,0.282,122
