Player,OP_BABIP_zips,OP_ERA-_zips
John Means,0.29,105
Alex Cobb,0.292,114
Michael Baumann,0.296,113
Zac Lowther,0.292,115
Tanner Scott,0.308,84
Mychal Givens,0.288,87
Chandler Shepherd,0.308,115
Hunter Harvey,0.295,107
Gabriel Ynoa,0.3,116
Cole Sulser,0.302,98
Paul Fry,0.295,96
Richard Bleier,0.297,90
Michael Rucker,0.304,113
Thomas Eshelman,0.302,121
Bruce Zimmermann,0.307,122
Shawn Armstrong,0.296,97
Miguel Castro,0.283,102
Dillon Tate,0.302,119
Isaac Mattson,0.291,102
Dean Kremer,0.309,125
Rob Zastryzny,0.304,124
Tim Naughton,0.3,103
Tyler Erwin,0.297,105
Ty Blach,0.304,126
Ryan Eades,0.294,121
Brandon Bailey,0.299,127
Steve Wilkerson,0.3,119
Kohl Stewart,0.299,127
Zach Pop,0.295,108
Cody Carroll,0.299,113
Zach Muckenhirn,0.299,108
Tanner Chleborad,0.3,108
Hunter Cervenka,0.296,110
Tayler Scott,0.308,113
Nate Karns,0.3,134
Asher Wojciechowski,0.303,131
Cristian Alvarado,0.3,128
Sean Gilmartin,0.3,128
Eric Hanhold,0.301,116
Branden Kline,0.298,115
Marcos Diplan,0.307,131
Evan Phillips,0.305,116
Cody Sedlock,0.301,136
David Hess,0.297,134
Keegan Akin,0.299,136
Pedro Araujo,0.299,124
Brian Gonzalez,0.297,135
Dan Straily,0.297,137
Alex Wells,0.297,138
Luis Ortiz,0.304,143
Josh Rogers,0.302,143
Steven Klimek,0.297,141
Jay Flaa,0.301,141
Francisco Jimenez,0.3,132
Chris Sale,0.292,68
Eduardo Rodriguez,0.304,94
David Price,0.299,88
Martin Perez,0.306,110
Ryan Weber,0.307,102
Matt Barnes,0.315,76
Jhoulys Chacin,0.298,109
Brandon Workman,0.282,81
Josh Taylor,0.309,83
Andrew Cashner,0.29,114
Nathan Eovaldi,0.313,108
Kutter Crawford,0.307,113
Matt Hall,0.309,111
Daniel McGrath,0.303,112
Bryan Mata,0.302,113
Marcus Walden,0.303,95
Kyle Hart,0.305,118
Mike Kickham,0.301,110
Hector Velazquez,0.305,105
Colten Brewer,0.309,89
Ryan Brasier,0.296,88
Chris Mazza,0.308,117
Eduard Bazardo,0.303,102
Denyi Reyes,0.301,122
Steven Wright,0.291,114
Austin Brice,0.295,96
Heath Hembree,0.303,94
Tanner Houck,0.307,121
Jeffrey Springs,0.309,110
Darwinzon Hernandez,0.304,99
R.J. Alvarez,0.305,99
Jenrry Mejia,0.3,99
Matthew Kent,0.319,125
Brian Johnson,0.307,121
Bobby Poyner,0.304,105
Trevor Hildenberger,0.306,103
Raynel Espinal,0.309,104
Durbin Feltman,0.302,106
Andrew Schwaab,0.302,110
Josh Osich,0.302,110
Dan Runzler,0.301,121
Robinson Leyer,0.303,121
Mike Shawaryn,0.304,134
Domingo Tapia,0.306,124
Konner Wade,0.305,136
Tom Windle,0.303,125
Adam Lau,0.304,128
Dedgar Jimenez,0.304,141
Teddy Stankiewicz,0.312,145
Gerrit Cole,0.286,71
Luis Severino,0.296,80
James Paxton,0.301,87
Masahiro Tanaka,0.29,99
J.A. Happ,0.284,101
Chad Green,0.292,74
Aroldis Chapman,0.286,60
CC Sabathia,0.294,101
Domingo German,0.29,107
Jordan Montgomery,0.292,101
Deivi Garcia,0.302,107
Michael King,0.295,109
Adam Ottavino,0.283,80
Tommy Kahnle,0.298,78
Jonathan Loaisiga,0.307,96
Zack Britton,0.278,79
Miguel Yajure,0.296,115
Brian Keller,0.301,115
Garrett Whitlock,0.301,113
Luis Cessa,0.29,107
Clarke Schmidt,0.298,117
Ben Heller,0.292,93
Nick Nelson,0.301,120
Shawn Semple,0.305,122
Dan Jennings,0.294,96
Rex Brothers,0.3,101
Cory Gearrin,0.289,99
James Reeves,0.299,104
Stephen Tarpley,0.303,112
Randall Delgado,0.295,115
Jonathan Holder,0.298,101
Brooks Kriske,0.295,101
Tyler Lyons,0.294,100
Nick Tropeano,0.299,124
Jake Barrett,0.288,101
Adam Warren,0.286,101
Joe Mantiply,0.291,104
Trevor Stephan,0.302,129
Danny Farquhar,0.294,110
Braden Bristo,0.299,110
Matt Wivinis,0.301,110
David Sosebee,0.295,111
Kaleb Ort,0.3,111
Trevor Lane,0.299,111
Brody Koerner,0.3,130
Domingo Acevedo,0.295,112
Brady Lail,0.294,129
Nick Green,0.303,134
Daniel Alvarez,0.293,117
David Hale,0.301,121
Cale Coshow,0.294,132
Greg Weissert,0.301,128
Albert Abreu,0.302,151
Janson Junk,0.302,159
Adonis Rosa,0.302,133
Daniel Camarena,0.3,133
Charlie Morton,0.293,78
Blake Snell,0.295,78
Tyler Glasnow,0.294,83
Brendan McKay,0.3,87
Ryan Yarbrough,0.29,99
Yonny Chirinos,0.289,102
Josh Fleming,0.3,105
Trevor Richards,0.29,105
Andrew Kittredge,0.307,82
Diego Castillo,0.297,85
Colin Poche,0.291,82
Anthony Banda,0.294,102
Joe Ryan,0.291,107
Nick Anderson,0.298,75
Oliver Drake,0.295,81
Brent Honeywell,0.306,102
Jalen Beeks,0.302,109
Jose Alvarado,0.299,79
Shane McClanahan,0.295,113
Riley O'Brien,0.3,111
Pete Fairbanks,0.3,90
Paul Campbell,0.298,118
Sam McWilliams,0.304,119
Tyler Zombro,0.301,98
Ryan Merritt,0.296,117
Chaz Roe,0.297,93
Matt Krook,0.295,115
Michael Plassmeyer,0.293,122
Aaron Loup,0.305,86
Tommy Romero,0.298,122
Dylan Covey,0.303,122
Ryan Sherriff,0.295,95
Ryan Thompson,0.297,109
Phoenix Sanders,0.304,107
D.J. Snelten,0.301,106
Brian Shaffer,0.3,124
Vidal Nuno,0.296,121
Luis Santos,0.297,123
John Curtiss,0.294,113
Aaron Slegers,0.292,128
Jason Garcia,0.299,129
Dalton Moats,0.297,124
Kenny Rosenberg,0.301,132
Mike Franco,0.299,130
Blake Bivens,0.298,139
Jhonleider Salinas,0.297,147
Angel German,0.298,150
Hyun-Jin Ryu,0.295,85
Tanner Roark,0.293,100
Shun Yamaguchi,0.295,105
Nate Pearson,0.3,92
Chase Anderson,0.276,106
Ken Giles,0.306,70
Matt Shoemaker,0.294,100
Jacob Waguespack,0.297,110
Trent Thornton,0.304,113
A.J. Cole,0.301,104
Patrick Murphy,0.298,115
Sean Reid-Foley,0.297,118
Ryan Borucki,0.298,118
Anthony Kay,0.302,118
Clay Buchholz,0.289,113
Rafael Dolis,0.292,85
Wilmer Font,0.3,111
Turner Larkins,0.306,117
Joey Murray,0.294,121
Brian Moran,0.299,98
Clayton Richard,0.302,123
Tim Mayza,0.301,98
Sam Gaviglio,0.291,102
Anthony Bass,0.289,100
John Axford,0.3,96
Justin Miller,0.295,99
Curtis Taylor,0.298,108
Kirby Snead,0.299,101
Buddy Boshers,0.299,100
Graham Spraker,0.301,124
Jake Fishman,0.299,103
Brad Wilson,0.297,102
Yennsy Diaz,0.299,126
Tom Hatch,0.305,126
Julian Merryweather,0.3,126
Danny Barnes,0.287,104
Jake Petricka,0.305,105
Justin Dillon,0.3,127
Matt Dermody,0.298,107
Nick Kingham,0.304,127
Jordan Romano,0.296,126
Ty Tice,0.301,109
Shawn Morimando,0.304,130
Elvis Luciano,0.295,125
Phillippe Aumont,0.3,128
Mark Leiter Jr.,0.296,116
Andrew Sopko,0.304,133
Travis Bergen,0.297,121
T.J. Zeuch,0.296,132
Zach Jackson,0.301,116
Ryan Dull,0.297,117
Hector Perez,0.306,134
Thomas Pannone,0.296,132
Corey Copping,0.305,128
Hobie Harris,0.305,134
Jackson McClelland,0.297,131
Zach Logue,0.298,140
Jon Harris,0.297,141
Bryan Baker,0.305,137
Willy Ortiz,0.302,153
Ryan Feierabend,0.3,140
Mike Ellenbest,0.305,167
Tayler Saucedo,0.3,162
Lucas Giolito,0.28,76
Bernardo Flores,0.302,109
Dylan Cease,0.305,106
Reynaldo Lopez,0.292,111
Michael Kopech,0.3,100
Carlos Rodon,0.302,104
Ivan Nova,0.297,114
Kyle Kubat,0.301,110
Aaron Bummer,0.288,87
Alex Colome,0.28,89
Odrisamer Despaigne,0.301,118
Lincoln Henzman,0.304,119
Dane Dunning,0.296,117
Tanner Banks,0.3,120
Matt Tomshaw,0.302,119
Jace Fry,0.299,95
Bennett Sousa,0.298,98
Jimmy Lambert,0.299,121
Ian Hamilton,0.295,97
Tyler Johnson,0.298,99
Matt Foster,0.3,100
Evan Marshall,0.303,99
Colton Turner,0.299,114
Vince Arobio,0.3,104
Codi Heuer,0.298,102
Juan Minaya,0.295,102
Kelvin Herrera,0.3,103
Manny Banuelos,0.301,126
Zack Burdi,0.304,111
Jimmy Cordero,0.293,109
Donn Roach,0.295,129
John Parke,0.303,129
Hector Santiago,0.286,128
Tayron Guerrero,0.303,113
Ryan Burr,0.295,118
Danny Dopico,0.297,118
Zach Thompson,0.296,114
Carson Fulmer,0.292,130
James Shields,0.283,134
Caleb Frare,0.288,121
Thyago Vieira,0.299,120
Jose Ruiz,0.311,121
Hunter Schryver,0.302,121
Alec Hansen,0.291,125
